#Procedure: <sagnac.procedures.PHEProcedure.sagnacPHEProcedure>
#Parameters:
#	Applied Magnetic Field: 0.25 T
#	Applied Sample Voltage: 1 V
#	Applied Sample Voltage frequency: 3137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Field Azimuth stop: 170 deg
#	Field Azimuth start: -170 deg
#	Field Azimuth step: 1 deg
#	Field Polar: 0 deg
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.2 s
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Time Queued: 08:59am 2021-04-16
#	Sample Name: C5R6
#	Saturate First?: False
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.2 s
#	Settling: 2 s
#Data:
ThetaK,Ratio,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,field_azimuth,elapsed_time
-0.006388857796449775,-0.023532985348545594,0.004890235644361903,9.341605834539678e-05,0.7296070062537985,-0.20780345425507749,1.9026972598307315e-06,-1.4563059410478698e-06,-2.2617570715964262e-07,-0.004057283169218697,2.987863867978352e-05,3.8994246912241174e-07,4.556794836491011e-06,-170.0,2.2100305557250977
-0.006392361689375345,-0.02354589314000922,0.004892797387108353,9.241440754297323e-05,0.72897536872065,-0.20779833485248023,-3.332991445178521e-06,2.5509763255457025e-06,3.6655448202241457e-07,-0.004057354288729455,2.98258225366565e-05,2.2308219258563834e-07,4.678279799101769e-06,-169.0,5.558096408843994
-0.006396124529471,-0.02355975485477124,0.004895474776691797,9.1094105619485e-05,0.7284075249212638,-0.20778971627119383,1.2452903055245381e-06,-9.530700525238013e-07,2.000352918994669e-06,-0.004058000098875719,2.9853856531223217e-05,2.66954314982313e-07,4.524846715478973e-06,-168.0,8.92305612564087
-0.00638846377646633,-0.023531533840928178,0.004889702074135321,9.443571942718125e-05,0.7292065816570371,-0.20779359761201405,3.835069475125889e-06,-2.93518557395369e-06,-2.1006237606864677e-06,-0.004058513185753883,2.991464892257089e-05,2.718615963560112e-07,4.618140764265022e-06,-167.0,12.260035276412964
-0.006398086416280887,-0.023566982140184826,0.004897182682064474,9.258471496764927e-05,0.7290181177267875,-0.2077984636698192,1.4781086641145718e-06,-1.1313027975692698e-06,6.601457658835603e-08,-0.004059265277636895,2.974131320157205e-05,3.0672795673592207e-07,4.580404271256748e-06,-166.0,15.602122068405151
-0.006398013608263908,-0.023566713926778275,0.004897042806919193,9.257044378306626e-05,0.7286594414270486,-0.20779489334551662,7.036990939870853e-07,-5.385822400824422e-07,8.86956381908636e-07,-0.004059872109283068,2.9850564455487593e-05,1.4340146528968494e-07,4.665787060873791e-06,-165.0,18.94712233543396
-0.00639207095180358,-0.023544822108349586,0.004892608221423171,9.451796822985724e-05,0.729000458915334,-0.2077997531222854,1.0840075279959685e-06,-8.296740209954369e-07,9.719359992011619e-07,-0.004060365737700412,2.9961586243876225e-05,1.9360652538950632e-07,4.624767812620221e-06,-164.0,22.28415012359619
-0.006398812492687385,-0.023569656892752797,0.004897627879528525,9.42526564730815e-05,0.7291832002448678,-0.20779377068634586,7.687106113480044e-07,-5.883361933650385e-07,1.5346476135790257e-06,-0.004060837731366559,2.985651463596928e-05,2.4390457658712606e-07,4.511911404112158e-06,-163.0,25.626123428344727
-0.006398652786295918,-0.023569068559234355,0.0048976064442262535,9.21727415481871e-05,0.729002596408038,-0.2077980481883478,-1.4579987753844706e-07,1.1159090231524651e-07,-4.012019086456417e-07,-0.004061537159967886,2.9906257020413576e-05,2.689134113488354e-07,4.521671230673228e-06,-162.0,28.910120725631714
-0.006394854364332941,-0.023555075764637334,0.004894864247704898,9.326485163775845e-05,0.7294304033691751,-0.20780507337842824,-2.65426295862488e-06,2.031562831980432e-06,4.190566525447234e-07,-0.00406203965384786,2.9847969625160827e-05,1.9762129424791556e-07,4.513146703206745e-06,-161.0,32.2561993598938
