#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 4 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Time Queued: 07:39pm 2021-04-12
#	Reverse?: False
#	Sample Name: C5R7_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.15 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.25 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.01 T
#	Pre Measurement Wait Time: 30 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.00805604963754795,0.005048178219394956,0.00017460663579274105,0.7760952111334671,-0.17011585645569208,4.823048009052929e-05,-7.555036305588947e-06,1.7300788697000548e-06,-0.008321300952889148,3.541671188358356e-05,1.499049690270593e-06,1.4524361928378191e-05,0.25,15.284454584121704
-0.00805678245877165,0.005049352773818089,0.00017264909308445286,0.7761506300046204,-0.1701399576198618,4.5023501553458324e-05,-7.053680153041603e-06,1.5847309736384048e-06,-0.008307020480824719,3.540085685880842e-05,1.4792341564979141e-06,1.4327557462062985e-05,0.24,30.987762689590454
-0.008066253842129544,0.00504304371257751,0.00017314479382954753,0.7747622573914525,-0.16972780825146738,5.0071858189672235e-05,-7.825586321925741e-06,1.811020547601026e-06,-0.008294534611417506,3.548160482020969e-05,1.4589756777868029e-06,1.4309254920593942e-05,0.23,46.64594221115112
-0.008084974501743999,0.005052427037559771,0.00017369797885540648,0.7744907184185493,-0.1696498095098294,4.962630897888895e-05,-7.752388457591572e-06,1.4694292008229394e-06,-0.008283506217295287,3.554587388813585e-05,1.5293572498076855e-06,1.4181275474326767e-05,0.22,62.271053075790405
-0.0080862931520186,0.0050441306878325,0.00017284439084750149,0.7733544812542913,-0.1693436110709358,4.7313290971062036e-05,-7.377719654410264e-06,2.088784020785021e-06,-0.00827230575723571,3.543756269829569e-05,1.4336338998789364e-06,1.4059022947913283e-05,0.21,77.91278266906738
-0.008088803412239063,0.005038402759107368,0.00017294969454251553,0.7723850585643183,-0.1690988075378505,4.250347248293326e-05,-6.618127544274269e-06,1.9803485294591e-06,-0.008260987777688397,3.5525306715160393e-05,1.5211541986696389e-06,1.4002296711626181e-05,0.2,93.49303793907166
-0.008098113441982456,0.005040029029403974,0.000175735661089006,0.7718657935951083,-0.16895888655117663,4.160685519888763e-05,-6.4731564708103945e-06,2.1205542018358426e-06,-0.00825249811704982,3.553792994870008e-05,1.463477346162337e-06,1.3876619086644617e-05,0.19,109.08112907409668
-0.00810533518381266,0.005041509810660237,0.00017621473781185437,0.7714374715568252,-0.1688579167516814,4.3314340882065934e-05,-6.734778422484199e-06,1.654071123729354e-06,-0.008243177267557812,3.547357739859566e-05,1.4853923454187975e-06,1.3746443727400903e-05,0.18,124.60271835327148
-0.008118920760922627,0.005045537391601039,0.0001762787372947741,0.7708413625191729,-0.16870998546315089,3.422453429027167e-05,-5.316777792444606e-06,3.4028090967450013e-06,-0.008234155796327245,3.557876781846984e-05,1.4413631228670866e-06,1.3683479868711373e-05,0.17,140.10421776771545
-0.008118830747324751,0.005042203693990325,0.00017637644614829247,0.7703792498907671,-0.16860038464519153,4.1479984576463585e-05,-6.439725004298685e-06,2.028988448527636e-06,-0.008228183929022389,3.551099838524289e-05,1.4902690658124357e-06,1.3515827642775346e-05,0.16,155.58257031440735
-0.008122003655395947,0.005044189463737289,0.00017551517556247103,0.770390161735105,-0.168600882241972,4.283438564259104e-05,-6.650014005187576e-06,2.5527167890515262e-06,-0.00821948036959949,3.562006795987861e-05,1.4578031285965693e-06,1.3375408783551529e-05,0.15,171.02527403831482
-0.008135825739414057,0.005055147426376709,0.00017734132316567222,0.770742142590928,-0.16868003811350987,3.327310698602317e-05,-5.1680561275849714e-06,2.716055115539762e-06,-0.008212055228961367,3.556856873445525e-05,1.4902737258695948e-06,1.3286910606215924e-05,0.14,186.43740034103394
-0.008140564636593801,0.005058979588928018,0.00017720608601379988,0.7708801905753951,-0.16870962349241492,3.293715627932195e-05,-5.116772776054545e-06,1.3779499226824885e-06,-0.00820583341004704,3.555343802802618e-05,1.488856829121625e-06,1.3081046443559895e-05,0.13,201.84340500831604
-0.008145110558572768,0.0050633729355930536,0.00017707349581710805,0.7711107741745516,-0.16876187713982008,3.338970187288815e-05,-5.188682104242698e-06,2.619915091542765e-06,-0.008199929324812947,3.5452983636854374e-05,1.4358231649948076e-06,1.3038208453260652e-05,0.12,217.27989840507507
-0.008157148600051756,0.005075669296010607,0.00017767013954569225,0.771773526890431,-0.1689220119526629,4.038158427395507e-05,-6.281158804228823e-06,1.631673435044948e-06,-0.008194570899804257,3.556337543076126e-05,1.4537656397150546e-06,1.287873279699295e-05,0.11,232.67515015602112
-0.008161211065322995,0.00508244532477473,0.0001771977131636629,0.7723143810861751,-0.1690633104440607,3.812531749059944e-05,-5.935167943546583e-06,1.3720010742625322e-06,-0.008189652055024223,3.5503262671971876e-05,1.4800329430397e-06,1.267310335663048e-05,0.1,248.0763897895813
-0.008165632249520185,0.00509138759022635,0.0001762701919655371,0.7731319199957665,-0.16926905279498997,3.748130602179878e-05,-5.842012125072774e-06,4.6092086615150196e-06,-0.008184958796130843,3.5537011548513606e-05,1.4641676307354774e-06,1.2540202814865048e-05,0.09,263.45038866996765
-0.008171587638227758,0.005097732876704812,0.00017745582760733,0.7734637041580995,-0.1693564714941092,4.208299106857216e-05,-6.5626398501763285e-06,2.529059568558947e-06,-0.008180919399943053,3.552095775532366e-05,1.4627923758286671e-06,1.238731209904903e-05,0.08,278.8277921676636
-0.008180054509058796,0.005109513858449851,0.00017628991531647278,0.7742751902299165,-0.16957212730731475,3.3142096339306055e-05,-5.1749316571639925e-06,2.672227668733341e-06,-0.008178365399861774,3.548501286126962e-05,1.4745040946955202e-06,1.2286942305346374e-05,0.07,294.2202179431915
-0.008181545305755324,0.005114114923231389,0.00017607531967588132,0.7747263936477795,-0.16969389341304777,3.294284900965182e-05,-5.147514096285435e-06,1.7642460364787419e-06,-0.008175215039135863,3.5464525396552915e-05,1.474625219471728e-06,1.2061933525226747e-05,0.06,309.6083688735962
-0.008180429741030582,0.005119502188851851,0.00017743270596067037,0.7754429531342492,-0.16989582050913787,3.680439945160168e-05,-5.757747369406935e-06,3.276037692795804e-06,-0.008172577276155907,3.5478302334941114e-05,1.4405037672273208e-06,1.197106333191118e-05,0.05,324.9954092502594
-0.008176950987931397,0.005121501554297473,0.0001777399440197155,0.7759287593662751,-0.1700344920504814,2.6448207879573325e-05,-4.1409830501370075e-06,1.932946635610058e-06,-0.008170411418541343,3.550450941325763e-05,1.5246956256864381e-06,1.1829374204245396e-05,0.04,340.38787484169006
-0.008186979846400337,0.005129158413067451,0.0001760245407626257,0.7760653148808889,-0.1700800638302894,3.68288287808867e-05,-5.767817265053415e-06,1.2967850268971408e-06,-0.00816881842400556,3.552025110670223e-05,1.4991405119745968e-06,1.171375276489565e-05,0.03,355.78502106666565
-0.008190401788275391,0.0051379153721084255,0.00017660143781382455,0.7768005723850006,-0.17029924643151842,4.407020001842568e-05,-6.910793603337184e-06,1.7927350389815312e-06,-0.008168196376189553,3.550591730067764e-05,1.486904246901411e-06,1.1470425339002865e-05,0.02,371.16629219055176
-0.008191941869625317,0.00513881321148303,0.00017575288685629586,0.7767881932020472,-0.17029697834381144,2.5348608055750663e-05,-3.974946001027564e-06,8.819272077798098e-07,-0.008167462041262796,3.551539895667316e-05,1.4197459970941285e-06,1.1428301619434032e-05,0.01,386.5485827922821
-0.008198255733009243,0.005145127814678186,0.00017676516687065077,0.7770355384942236,-0.17037490184073378,2.798750599897841e-05,-4.390762971770621e-06,1.787301626402251e-06,-0.008167914053453766,3.550451345720676e-05,1.4615210068502384e-06,1.1230355726408834e-05,0.0,401.93190908432007
-0.008194571604892946,0.005144700185899167,0.00017621836604622142,0.7772509990154587,-0.17043734618332046,3.766605091599583e-05,-5.911327586858338e-06,2.5616445121938315e-06,-0.008168484882683657,3.549991969586921e-05,1.4455587685324444e-06,1.1103992126026794e-05,-0.01,417.30728483200073
-0.008206025886513953,0.005150383486218424,0.0001766566433676691,0.7770741572288122,-0.1703874182709084,3.804487996968249e-05,-5.969032114604783e-06,2.7862168723057652e-06,-0.008169023931618025,3.5514514468999865e-05,1.416012773971969e-06,1.0987867411835818e-05,-0.02,432.72243762016296
-0.008186159784193577,0.005141073432425219,0.00017771811380767918,0.7774134740889462,-0.17049223998608842,4.3691936187159e-05,-6.8592413166463826e-06,2.4192071312102507e-06,-0.008171227573839281,3.5518776582745905e-05,1.4664736796557225e-06,1.085613834210058e-05,-0.03,448.13445687294006
-0.008186549975246746,0.005143130122213851,0.00017754070161286433,0.7775818130984874,-0.17055231473603202,3.2294982928931044e-05,-5.071808556988792e-06,2.4279083703661738e-06,-0.00817293235007048,3.546637358115743e-05,1.4640433738601118e-06,1.0716632430571224e-05,-0.04,463.5385317802429
-0.008186673364290818,0.005141859990846192,0.0001763681544127282,0.777437153061058,-0.17050762528985866,3.4688821879928424e-05,-5.4463247171726385e-06,2.2443583523186578e-06,-0.008176281407055747,3.546296908971033e-05,1.4603274512606682e-06,1.06281726702534e-05,-0.05,478.91579389572144
-0.008185875638536223,0.005140392451077866,0.00017737962766114587,0.7773747238493874,-0.17047557510682337,3.585038213321082e-05,-5.627637672153314e-06,3.1856863334169974e-06,-0.008179925503993407,3.5433350701719324e-05,1.4765173620368343e-06,1.059194225047416e-05,-0.06,494.33643317222595
