#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 5.75 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 2 V
#	Time Queued: 09:03pm 2021-04-07
#	Reverse?: False
#	Sample Name: C5R7_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.25 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.01 T
#	Pre Measurement Wait Time: 5 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.00779296263991574,0.005466953685958893,0.00012209058504566956,0.7933988022158066,-0.19044846034939725,9.358186572350742e-06,-1.6411162286985284e-06,8.530400005317987e-07,-0.008843816498405746,-9.206157379374318e-05,6.11416231585659e-06,-6.617340271303621e-05,0.25,15.260045289993286
-0.007797659848827316,0.005472564108411679,0.00012267057145546573,0.7932676376533796,-0.1905290467145807,2.3850867679640496e-05,-4.184422727732511e-06,5.058931021526856e-07,-0.008830770122516995,-9.199388570683327e-05,6.1336048099279195e-06,-6.457962859814381e-05,0.24,30.914992332458496
-0.0078106738080700976,0.005481886133373495,0.00012326668534880017,0.7932777328263793,-0.1905355486163685,1.3902720137783061e-05,-2.439191904891648e-06,-5.275101455308904e-07,-0.00881968032795926,-9.200280336655597e-05,6.085859031830222e-06,-6.26340900798933e-05,0.23,46.52199983596802
-0.007816737875168574,0.005491300190135599,0.0001237172992793839,0.7931198373818076,-0.1907146642255284,2.546191293876428e-05,-4.4714182105488645e-06,4.236338010646635e-07,-0.00880980461040228,-9.192536838378418e-05,6.114999025700026e-06,-6.191741861289813e-05,0.22,62.120978116989136
-0.007832063412380874,0.005505049291872739,0.00012406464124952823,0.7930405563512605,-0.19081799515253123,1.1651946712244234e-05,-2.0473306733467516e-06,8.415184192346154e-07,-0.008800249735046822,-9.192681506509995e-05,6.120073956818115e-06,-5.979811871716069e-05,0.21,77.69697833061218
-0.007829578323367725,0.005506691475320129,0.00012367452823559984,0.7929681059766353,-0.19093551024629152,1.8600684247391726e-05,-3.2702864988083754e-06,-3.7113633069699465e-08,-0.008790920826423894,-9.195070407213259e-05,6.1380511449900066e-06,-5.868607730623413e-05,0.2,93.23300170898438
-0.007842457271544463,0.005519358692946851,0.00012291962029269355,0.792843849760169,-0.1910603966960501,1.3839920830950166e-05,-2.434862582139287e-06,1.1024080212762753e-06,-0.008782840908117808,-9.196026491222063e-05,6.121263708722573e-06,-5.7006298338461163e-05,0.19,108.74600124359131
-0.007853428927102214,0.005529568809912216,0.000125335522830114,0.7927948401819209,-0.1911463751709011,1.4926191380570109e-05,-2.6271522813104274e-06,2.3027909118508323e-06,-0.008770758861527306,-9.201049244202048e-05,6.154405070851001e-06,-5.656165479367314e-05,0.18,124.23799991607666
-0.00786880565455731,0.005542440005539694,0.00012429508594803917,0.7926638833029511,-0.1912168498371938,1.1870073445136913e-05,-2.0900166220213688e-06,1.1427781622419563e-06,-0.00876274257601033,-9.192436810259002e-05,6.12033584115587e-06,-5.5423383510052086e-05,0.17,139.71299743652344
-0.007874780027440196,0.005548857947884445,0.00012491410268317707,0.7926071021544463,-0.19129300914403183,1.2227330725078908e-05,-2.1537779817676068e-06,8.947857771530491e-07,-0.008755815413484781,-9.189717745542879e-05,6.144105134118737e-06,-5.38019202980047e-05,0.16,155.14199709892273
-0.007873824374977537,0.005552314797130891,0.00012341420170983454,0.7924934047004304,-0.1914354173057099,1.2706333563482454e-05,-2.2398179264740434e-06,1.8733311647262326e-07,-0.008748562646684865,-9.192241457094886e-05,6.132426587163471e-06,-5.368609404961233e-05,0.15,170.5992648601532
-0.007880877024231079,0.005559668247863129,0.00012519441509821271,0.7924439525425638,-0.19151738107075744,1.6020783167868453e-05,-2.8252840101405512e-06,9.65568339717888e-08,-0.008742535506444446,-9.188219273743509e-05,6.143033793889263e-06,-5.272911173395312e-05,0.14,185.99821305274963
-0.00788455095681549,0.005560891172593823,0.00012437575175296703,0.7924641830256485,-0.191470232922222,1.3782206261815468e-05,-2.4299099844676927e-06,4.389977686637788e-07,-0.008734806290992015,-9.185299993503251e-05,6.1638155142905885e-06,-5.282516451100409e-05,0.13,201.37601137161255
-0.007886552046134586,0.005561602898028201,0.0001261087708852314,0.7924724248217018,-0.19144614189497153,1.668017363003195e-05,-2.940474113819391e-06,1.6520659605399695e-06,-0.008727477664779644,-9.186955190532839e-05,6.141928589056175e-06,-5.161003809408496e-05,0.12,216.75955605506897
-0.007898751226365328,0.005570026602915065,0.0001256417468162503,0.7924995150781108,-0.19143993482808838,8.599329689465095e-06,-1.5158886881366878e-06,1.1968749912876424e-06,-0.008722170713880144,-9.179882566751409e-05,6.113107373101051e-06,-5.150258836059981e-05,0.11,232.1355848312378
-0.007899034747447499,0.005566337545915366,0.0001254215458103584,0.7926739490374859,-0.19130627521365917,5.591462017451651e-06,-9.84974006958865e-07,-1.3081280324761446e-06,-0.008718361108990274,-9.18929627445221e-05,6.156244379203084e-06,-5.006529267075948e-05,0.1,247.51460242271423
-0.007910060930707919,0.005573751790000342,0.00012508533327986222,0.7926697149885285,-0.19129402120279218,3.4908801179928345e-06,-6.149028501912771e-07,2.521681166617671e-07,-0.008713617654196733,-9.184931055316941e-05,6.095077962572649e-06,-5.046304166733071e-05,0.09,262.878657579422
-0.007911963078321545,0.00557814500871812,0.00012625889313842874,0.7924836039317021,-0.19139876500979558,1.4600121978029145e-06,-2.573154065918188e-07,2.802457223029739e-07,-0.008709441353497794,-9.184320813562979e-05,6.131120592667677e-06,-5.050715567366199e-05,0.08,278.23959946632385
-0.007916378716322227,0.005581740580299164,0.00012726326763102297,0.7924542841399455,-0.19141529116656342,6.269957470142902e-06,-1.1051249859570652e-06,1.5221091925776535e-06,-0.008706784643045721,-9.19137501662318e-05,6.110537107672357e-06,-5.025910357588971e-05,0.07,293.6136054992676
