#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 7 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 2 V
#	Time Queued: 03:42pm 2021-04-07
#	Reverse?: False
#	Sample Name: C5R7_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.25 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.01 T
#	Pre Measurement Wait Time: 1 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.007326282409708708,0.005246146103975324,0.00018166735299302638,0.7860417713807666,-0.19439964947855906,2.522163644139969e-05,-4.514804128438077e-06,8.577376724291598e-07,-0.006697582554948998,-9.682358746645168e-05,8.417445131225105e-06,0.0012844052281085216,0.25,15.2843759059906
-0.007340808474746997,0.0052539079072679625,0.00018211779947267844,0.7862091939772209,-0.19430196427132332,2.1576009666931824e-05,-3.860277218620547e-06,6.574640989910001e-07,-0.006693490641892596,-9.673269897842929e-05,8.33221077230913e-06,0.0012842163367122693,0.24,31.03174614906311
-0.007354409618954978,0.005267822933278244,0.00018298479816067383,0.7859631962127516,-0.19445623198005801,1.4325918997966358e-05,-2.565160430935604e-06,1.4069438881869728e-06,-0.006689708127618117,-9.680025688899752e-05,8.338120518770804e-06,0.0012851714195095093,0.23,46.731078147888184
-0.007369189100910427,0.005278720932258138,0.0001821252851074267,0.7859002939616624,-0.19446765998544627,2.5750863426666765e-05,-4.611151153949075e-06,8.889590427618162e-07,-0.006681511579297513,-9.678493649312858e-05,8.363884057097132e-06,0.001284604362635576,0.22,62.39547300338745
-0.007386221150037826,0.005295448472914161,0.00018241538774928185,0.7855358077770839,-0.19463398778834745,1.7542646824951404e-05,-3.144010412433595e-06,-5.25764315991258e-07,-0.00667706137505463,-9.682409643066969e-05,8.363126004300677e-06,0.0012851778344827433,0.21,78.08016324043274
-0.007388710030026571,0.00529819043853321,0.00018243383209155415,0.7855285874155412,-0.19466916285187075,1.513228852050318e-05,-2.712513755358497e-06,4.934819418671169e-07,-0.006672728225586291,-9.679663381118032e-05,8.360609845025725e-06,0.0012852393131155115,0.2,93.70362114906311
-0.00740104987418687,0.005310303573637329,0.0001814499538914868,0.7851204275405832,-0.19478886733030165,1.2161278005380114e-05,-2.181290578229192e-06,1.0788824277982198e-06,-0.006669973718924985,-9.675299275517167e-05,8.408024332321651e-06,0.001286069651758271,0.19,109.31196713447571
-0.007408582487967347,0.005319945318344241,0.00018272921763398906,0.7848141177648746,-0.19494410058245853,1.499269197941206e-05,-2.69128623686586e-06,8.214399130322657e-07,-0.006664039700114657,-9.67650781208542e-05,8.319880917006281e-06,0.0012855592318161304,0.18,124.91558384895325
-0.007421785729542624,0.005331320493793581,0.0001818747373444401,0.7846799022170936,-0.19501333757894962,5.582934739930617e-06,-1.0025292238667906e-06,-6.851590382408194e-08,-0.00665950985355567,-9.67766355166864e-05,8.401424115886043e-06,0.001285306917289032,0.17,140.42988228797913
-0.00742763993476329,0.0053395190091635476,0.00018173991828030777,0.784274690626625,-0.19515926782289125,1.3993024046546699e-05,-2.5146117196612933e-06,4.1531613044846274e-07,-0.00665834190131733,-9.677667636484865e-05,8.424733989707266e-06,0.0012860476146682538,0.16,155.92785358428955
