#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 3 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: False
#	input range: 2 V
#	Time Queued: 11:10am 2021-04-11
#	Reverse?: False
#	Sample Name: C5R7_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.15 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.005 T
#	Pre Measurement Wait Time: 0 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.008950809720309396,0.005780588575584408,0.00017223016517547903,0.7897174792682223,-0.1753206908715333,4.150272346269398e-05,-6.700079328296226e-06,1.6668949322414932e-06,-0.00891901655300985,8.085339441159199e-05,8.870547819390253e-07,1.5426831225150686e-05,0.15,15.20806097984314
-0.008952941406644998,0.005784974595327493,0.0001742930075062033,0.7898834544442417,-0.17541193110946363,3.256125469017567e-05,-5.259330169936274e-06,2.8183174596423293e-06,-0.008915380251539,8.084614648314528e-05,8.624149110217691e-07,1.5346431811861528e-05,0.145,30.536824703216553
-0.00896248974668883,0.005793682176892355,0.0001742516369002515,0.7899954914328029,-0.1754887629045423,1.997016594345543e-05,-3.2270163134580246e-06,3.7219796625223943e-06,-0.008911281536502167,8.096511876534533e-05,8.971515526381846e-07,1.5286345153101445e-05,0.14,45.89258694648743
-0.008971934705747224,0.005799358351945865,0.00017531102108257236,0.7900097570767262,-0.17547573078377043,3.6866498167987794e-05,-5.9568837085324045e-06,2.838555610539017e-06,-0.008907611158897977,8.094721028891353e-05,9.0590479867373e-07,1.5274525723330578e-05,0.135,61.21310257911682
-0.008967525633246678,0.0058000100521674825,0.0001748967181310061,0.7901497567036085,-0.17558175433539136,2.878941484747954e-05,-4.654600336288969e-06,1.945075673988828e-06,-0.008903830306537417,8.093026193980136e-05,8.788089067394744e-07,1.5209342093672982e-05,0.13,76.51621317863464
-0.008979673660323014,0.005804790652187936,0.00017465809366981334,0.790011690567056,-0.17548869568306094,2.922236529461679e-05,-4.7220946319762865e-06,2.0504318867320416e-06,-0.00890018685942242,8.097777627355677e-05,8.516603743890895e-07,1.5197817580045096e-05,0.125,91.82111620903015
-0.008984059407665336,0.005811590804517521,0.00017446965156759807,0.7902187554506885,-0.17560848874940607,2.6476293244551544e-05,-4.281272416539416e-06,1.9545755142164692e-06,-0.008896055387372391,8.095640185794227e-05,8.908849888380041e-07,1.5095119687548794e-05,0.12,107.14382147789001
-0.008988374956137576,0.005813222951665682,0.00017517484429193172,0.790164188753197,-0.17557345128036486,3.283362489616533e-05,-5.308207035971141e-06,2.269859296296166e-06,-0.008892565658339922,8.099219536307396e-05,8.998560924288789e-07,1.5119465344931395e-05,0.115,122.4601378440857
-0.008994207151618966,0.0058131866274333845,0.00017440492185950778,0.7900098970079289,-0.1754584816837854,3.471654969546155e-05,-5.60894392160715e-06,-7.011024030702171e-09,-0.00888947254952435,8.094228890568025e-05,8.828414102726896e-07,1.5016553285502212e-05,0.11,137.78577637672424
-0.008998134433719737,0.005814694609267255,0.00017373111260383172,0.7899433404263579,-0.17542738070480582,3.3838435572111545e-05,-5.4661032408506955e-06,1.011510894129826e-06,-0.008886125472626969,8.099426316972698e-05,8.460150257964145e-07,1.4966993410444048e-05,0.105,153.0854353904724
