#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 3.5 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: False
#	input range: 2 V
#	Time Queued: 11:10am 2021-04-11
#	Reverse?: False
#	Sample Name: C5R7_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.15 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.005 T
#	Pre Measurement Wait Time: 0 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.008924075564921835,0.005775914293330259,0.00017099319932595305,0.7902598736877887,-0.17570382498053896,2.886192573712977e-05,-4.669567908211751e-06,2.2604327506916994e-06,-0.010410443372231655,9.478059246550779e-05,1.2092956944931473e-06,1.762411465468165e-05,0.15,15.24085021018982
-0.008927787861178187,0.005777652253893904,0.0001707573330273658,0.7902002162030863,-0.17568359633263134,3.5843514333268584e-05,-5.798450739658234e-06,3.487684510600561e-06,-0.010406347440483533,9.481505456709278e-05,1.132648094150579e-06,1.7558290982180822e-05,0.145,30.59331440925598
-0.008925290421859066,0.005776600707383181,0.00017063970291726274,0.7902334524665432,-0.1757007820844323,3.3989924313894144e-05,-5.499131017441861e-06,2.1032477867650795e-06,-0.010402999945186248,9.487534660557995e-05,1.1681901451000588e-06,1.7516465584291694e-05,0.14,45.940009355545044
-0.008937687103167988,0.005787600441678553,0.00017027933853053343,0.7903606404705225,-0.17579113432854093,3.18162463051025e-05,-5.15010499820462e-06,3.253560876417992e-06,-0.010397600386958446,9.48949439620868e-05,1.1809949437451181e-06,1.7364770014457658e-05,0.135,61.28138041496277
-0.008940203952872693,0.005788058322443602,0.00017072220939112336,0.7902643640436937,-0.17575553863491733,3.803821936263071e-05,-6.156010803676153e-06,2.567384362424806e-06,-0.010393017775421436,9.483777894599642e-05,1.1733451806100882e-06,1.7357078601864956e-05,0.13,76.61012125015259
-0.008953554077009042,0.005795457261280574,0.00017000208814457371,0.7902323723192525,-0.17571775904109077,3.592357329570059e-05,-5.812532040763241e-06,2.0790957861566836e-06,-0.010388255290438369,9.48741004550288e-05,1.1882390617845558e-06,1.724521669530842e-05,0.125,91.92385363578796
-0.008949013981096921,0.005796807051570282,0.00017142024416462557,0.7904203852370536,-0.17584787113402145,3.777244794270629e-05,-6.11621045878964e-06,1.36626845913453e-06,-0.010382545112990638,9.488246974838901e-05,1.1754572467593493e-06,1.713770709010361e-05,0.12,107.24048352241516
-0.008952928055123764,0.005798284615742285,0.00017140053410586044,0.7903836611350317,-0.17581577964083359,4.6947291852613274e-05,-7.600437126236609e-06,2.3787551612335984e-06,-0.010378412936636211,9.492042908459674e-05,1.149751636946424e-06,1.7057648598630634e-05,0.115,122.54072451591492
-0.008950552201732515,0.005793658898143561,0.00017137786961972897,0.7902575908041236,-0.17572216012385244,4.094265400111628e-05,-6.624798897126742e-06,1.8109355267427787e-06,-0.010374506312216274,9.488766573721927e-05,1.211481756728516e-06,1.7007282064320758e-05,0.11,137.87831139564514
-0.00896411574647088,0.00579966426035286,0.00017136994965512384,0.7901177134970762,-0.17563808670359268,3.0786986302100294e-05,-4.979159640396511e-06,3.649496465349538e-06,-0.010370532742119848,9.484694453708085e-05,1.1279991996832494e-06,1.691705269088903e-05,0.105,153.20749616622925
-0.008967706952590656,0.005800589137011873,0.0001717310555832241,0.7900347047196447,-0.1755957335477515,3.15445984591529e-05,-5.1004575560812376e-06,2.5600127351841905e-06,-0.010367458690518878,9.48500063230438e-05,1.1514379773737955e-06,1.686295375131232e-05,0.1,168.48425388336182
-0.008969173934538653,0.005802157512569014,0.00017104902722997876,0.790079543822239,-0.1756144774437229,3.396336497636259e-05,-5.4921349839358705e-06,3.590280747744167e-06,-0.01036400902979672,9.487803005104349e-05,1.1945382644689713e-06,1.6820370970772694e-05,0.095,183.80406856536865
-0.008971117893801535,0.005801519056154086,0.00016987834206417336,0.7900068506088767,-0.17555709519036747,3.765886379434616e-05,-6.0877354842588504e-06,1.4286561028241306e-06,-0.010361667730780504,9.48583549108007e-05,1.1198870313267543e-06,1.679872519758684e-05,0.09,199.10201048851013
-0.008974939692381143,0.005805873682914267,0.00016980583473060528,0.7900940693645839,-0.1756140388913104,3.3665855967998863e-05,-5.444011914616396e-06,1.582117039997774e-06,-0.010358636543428648,9.483558672088841e-05,1.1673458972415395e-06,1.6691629449595877e-05,0.085,214.4260139465332
-0.008973186921260484,0.0058037858135120005,0.0001708976555963697,0.7900425720566295,-0.17558518422120256,3.4492336415788355e-05,-5.576743318403215e-06,1.1566149634422298e-06,-0.010356634570893907,9.484742275040744e-05,1.16385024474196e-06,1.6564846860215602e-05,0.08,229.70944952964783
-0.008981774785279626,0.005812836109447544,0.00017088775640919287,0.790165740884909,-0.17569080537135937,2.981692415502548e-05,-4.823719538207335e-06,1.4187036855204928e-06,-0.010355239060853724,9.489473079554633e-05,1.1933647981243121e-06,1.6568171668105154e-05,0.075,245.0224986076355
-0.008984651928713106,0.005810149126776689,0.00017240529856704865,0.7899743160758496,-0.17555334498798553,1.957984054680071e-05,-3.1651072765398273e-06,1.3818689547071684e-06,-0.010354085350753117,9.491348278508873e-05,1.1557707555243997e-06,1.6543821431569937e-05,0.07,260.31152868270874
-0.00897929479527599,0.005813164838530446,0.0001697366556592144,0.7902834528636223,-0.17574927828467776,3.905658311983446e-05,-6.320595115632076e-06,2.3650391558124677e-06,-0.010351615179818526,9.486655025683285e-05,1.1857410757943354e-06,1.6521029879423286e-05,0.065,275.6052258014679
