#Procedure: <sagnac.procedures.PHEProcedure.sagnacPHEProcedure>
#Parameters:
#	Applied Magnetic Field: 0.1 T
#	Applied Sample Voltage: 6.25 V
#	Applied Sample Voltage frequency: 3137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Field Azimuth stop: 170 deg
#	Field Azimuth start: -170 deg
#	Field Azimuth step: 1 deg
#	Field Polar: 0 deg
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.2 s
#	50 Ohm Input Impedance: False
#	input range: 2 V
#	Time Queued: 02:06pm 2021-04-12
#	Sample Name: C5R7
#	Saturate First?: False
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.2 s
#	Settling: 2 s
#Data:
ThetaK,Ratio,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,field_azimuth,elapsed_time
-0.008302380369865947,-0.030582480636531482,0.005197949458446027,0.00014704511539248582,0.7758483904834739,-0.16996493908466523,1.4577144594440753e-05,-9.12561139234799e-06,4.219918584725421e-06,-0.010322726327594156,0.00018038891540674928,1.6415455807079851e-06,0.0006474935083033454,-170.0,2.3190081119537354
-0.00830551105014619,-0.03059401486839055,0.00519922552801909,0.00014958439840881814,0.7756531320975774,-0.16994257047939404,6.56517091323734e-06,-4.1093997076688925e-06,5.858532831635561e-06,-0.010322914144036842,0.0001803649687130584,1.7272986389063434e-06,0.0006470248693530934,-169.0,5.570068836212158
-0.008301912175105315,-0.03058075568674569,0.005199084994753501,0.0001505149254696825,0.7760042417379127,-0.17001165857411718,1.3522013557696986e-05,-8.467403138879423e-06,2.6368037561467755e-06,-0.010323719385056768,0.0001804390400419172,1.688397317457461e-06,0.0006472402854211479,-168.0,8.81999921798706
-0.008305020071734665,-0.03059220597740648,0.005201620753645194,0.00014855602144770284,0.7760819249945374,-0.17003091432787784,1.2676346140264604e-05,-7.938750366725067e-06,3.833795127662556e-06,-0.010323614948982655,0.00018048372950721917,1.6776052402366515e-06,0.0006468013257621769,-167.0,12.09309434890747
-0.008301015129012263,-0.030577450738621517,0.005196656841459574,0.00015137138784489346,0.7758084069284826,-0.16995062426495297,1.4842776154153038e-05,-9.291119975039655e-06,3.1742909775486423e-06,-0.010322918929633535,0.0001804698824931959,1.6897350557816783e-06,0.0006470368699611432,-166.0,15.461092472076416
-0.008300046460866342,-0.03057388191668666,0.005194675526977928,0.00014998806624033536,0.7756462097539851,-0.1699056580755213,3.776084846698966e-06,-2.363087222200338e-06,3.2564527311231385e-06,-0.010324457404254932,0.0001803931627969988,1.7105013160904744e-06,0.0006476454956066443,-165.0,18.814133644104004
-0.008298749063465264,-0.030569101972208964,0.005194121186932693,0.00014958202000490132,0.7756746582542895,-0.16991409141344033,9.290554289120156e-06,-5.814350242221333e-06,4.855184418427983e-06,-0.010325995735512338,0.00018043121814262223,1.561596428615888e-06,0.0006471557259746346,-164.0,22.161123275756836
-0.00830699013099691,-0.03059946418373294,0.005200567393752609,0.00015023794634523094,0.7758174140016316,-0.1699561587917378,6.911355830486009e-06,-4.326436423544321e-06,5.1441477536413805e-06,-0.010326114052850248,0.00018048511821585042,1.6746001729533057e-06,0.0006467445357506434,-163.0,25.52012014389038
-0.008295438933376215,-0.03055690660662053,0.005190960539021475,0.00015128169196414087,0.7755138306359999,-0.16987846989383373,9.14269844310593e-06,-5.720617393059193e-06,4.965293921592328e-06,-0.010328136730735012,0.00018038823243632672,1.6027080221844014e-06,0.0006477243268097889,-162.0,28.879135847091675
-0.008304840161163245,-0.030591543140516528,0.005195502000305294,0.00015154050069658787,0.7753535886870224,-0.1698345839057784,1.0984148797962367e-05,-6.871043612011398e-06,4.894365863542403e-06,-0.01032887707314662,0.00018037228071290305,1.6439438826165976e-06,0.0006472862498061353,-161.0,32.22512221336365
-0.008301407405440489,-0.030578895985676192,0.005196830368405194,0.0001504358796683706,0.7758115079085425,-0.16994826663590146,1.4336836074349049e-05,-8.974292596238241e-06,6.206559254562105e-06,-0.010329935350366687,0.00018046876173602003,1.6841444438375647e-06,0.0006469787328600486,-160.0,35.580095291137695
