#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 5 V
#	Apply a Bias Field?: False
#	Number of Averages: 1
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Time Queued: 12:45pm 2021-06-30
#	Reverse?: False
#	Sample Name: C5R8_M-
#	Saturate First?: True
#	Saturating Magnetic Field: -0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.1 s
#	Settling: 1 s
#	Bias Magnetic Field: 0.1 T
#	Bias Magnetic Field Azimuth: -45 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.01 T
#	Pre Measurement Wait Time: 30 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-3.002384899452073e-05,-3.2758272873575517e-06,-2.652449001112425e-06,0.04095880888810885,0.029622687870929674,-4.698891290810346e-05,-1.281710773914408e-06,1.0459298842133786e-06,0.03123587081040772,0.00019113886067632945,1.8652801165565996e-06,-2.8366365276322935e-05,0.1,1.2619998455047607
-3.974516829657939e-05,-4.3504909603278055e-06,-3.04357529827488e-06,0.04108902946579771,0.02971828636948692,-5.2765944854128355e-05,-1.4439350457933158e-06,-1.0270107936856054e-06,0.031274223086705306,0.00019136714091173168,1.8295651975900248e-06,-2.777054029807745e-05,0.09,2.6450037956237793
-4.499534217594907e-05,-4.920886144328092e-06,-1.7871752265712049e-06,0.04105164720458718,0.029692419703226492,-3.4269273409748895e-05,-9.369591611481434e-07,-5.113003711167031e-07,0.03130792189320951,0.00019148437702516322,1.8361474783895955e-06,-2.7173241728754986e-05,0.08,4.017014265060425
-6.123430826043964e-05,-6.749711653805038e-06,-2.6072033937169424e-06,0.041379242253803294,0.029926796870997356,-3.853066293544423e-05,-1.061785748594757e-06,-4.631071357733398e-07,0.03133873289967674,0.00019168693124879088,1.8236778373661823e-06,-2.6640806787166546e-05,0.07,5.387999534606934
-6.416211554575368e-05,-7.046589137573924e-06,-5.173936378818156e-06,0.04122586433914684,0.029817423008530942,4.611957178504297e-05,1.2662677540395346e-06,2.3470613425597296e-06,0.03136450071844298,0.00019179259101489713,1.782781783204215e-06,-2.6045690582435307e-05,0.06,6.780018329620361
-6.043548968477583e-05,-6.613281525542287e-06,-2.160391840064258e-06,0.041074121080940065,0.02970946268171039,2.9945523225055837e-05,8.192130798702469e-07,9.976580902881363e-07,0.03138750491912468,0.0001918278312145866,1.7682954775170957e-06,-2.552344738870293e-05,0.05,8.158002376556396
-6.657742220819027e-05,-7.268150555643956e-06,-3.017277340444368e-06,0.04097854957695589,0.029639220005009768,6.327229299196989e-05,1.7268337129009513e-06,-1.7915755749665582e-06,0.03140423744974918,0.00019194828663319667,1.8258653861911975e-06,-2.509450102877389e-05,0.04,9.534011363983154
-8.254061913694929e-05,-9.002045517906228e-06,-2.629835991222734e-06,0.04093786458433775,0.02961033442037524,-6.295662006715783e-06,-1.716543806781814e-07,8.656573964310041e-07,0.03141833104800749,0.00019203666569617977,1.8473217065084252e-06,-2.4553707289269576e-05,0.03,10.935997724533081
-9.139883847501466e-05,-9.998755649520099e-06,-1.7590214862563992e-06,0.04106440684250685,0.029701276010744928,-1.1590603036674062e-05,-3.1699419882434127e-07,-1.4501489421295562e-06,0.03142834013733209,0.00019208779156051174,1.800541928594225e-06,-2.4005204473911996e-05,0.02,12.329010009765625
-8.509992496339244e-05,-9.330004947525935e-06,-3.1984404975791092e-06,0.04115618357739576,0.029766140450574883,5.4136440362653424e-05,1.4838240214815036e-06,-1.737749890085449e-06,0.031433300453182725,0.00019213536031475342,1.768562641362112e-06,-2.347162681795554e-05,0.01,13.712997913360596
-0.00010078250776586654,-1.1042765310769781e-05,-4.611913771613771e-06,0.04113215334100927,0.029748324463568652,-7.308899620940013e-06,-2.002095003640676e-07,-2.5289107314912936e-06,0.031433640167215865,0.00019210378288349932,1.8008123357737743e-06,-2.2854487811956348e-05,0.0,15.127999782562256
-7.833940292845023e-05,-8.582897842545249e-06,-4.245907129949416e-06,0.04112938935622942,0.029745653631179994,-2.221668659567815e-06,-6.08517370448915e-08,-5.360667715995142e-07,0.03143090645686521,0.00019212293020094286,1.81576962099392e-06,-2.2425389724650354e-05,-0.01,16.516001224517822
-7.736209039749535e-05,-8.461007844980646e-06,-1.964554999653397e-06,0.04106021596959917,0.029693660031394127,2.0542085039757518e-05,5.61666380761093e-07,-5.0235781154410904e-08,0.031424119374880224,0.0001920940206801799,1.854282345577014e-06,-2.1839403440890893e-05,-0.02,17.903001070022583
-7.96503162541844e-05,-8.718898080522255e-06,-2.876763596739453e-06,0.04109078136927539,0.02971966616282825,2.6612445023813163e-06,7.28280830464408e-08,-1.7002837427618642e-07,0.031414500799043836,0.00019200152974827443,1.7362577544745232e-06,-2.1349510827753315e-05,-0.03,19.287999868392944
-8.588619759971835e-05,-9.417342557887646e-06,-2.848882197233498e-06,0.04116080789204248,0.029769724947376463,7.445457428480465e-06,2.0409688743394503e-07,1.4525762602457992e-06,0.031398410699153896,0.00019194491921189287,1.81016739070977e-06,-2.0736576018863483e-05,-0.04,20.688023567199707
-6.787399910398418e-05,-7.3995441319647055e-06,-2.730197654339886e-06,0.040925054162946985,0.029598612812109112,1.427333775082611e-05,3.8901565158670565e-07,-7.334185213248423e-07,0.03137843175257817,0.0001918259788836727,1.7755007651307102e-06,-2.023111232153119e-05,-0.05,22.105008125305176
-5.5269117241259855e-05,-5.989851038257041e-06,-3.1290927197242506e-06,0.040678639255101096,0.029424109365894128,0.00011155684950119843,3.02252388603854e-06,-7.800765597419436e-08,0.03135464473335513,0.000191713746464933,1.7963835322292262e-06,-1.9692216351200383e-05,-0.06,23.487012147903442
-5.7262808529601765e-05,-6.248768583890175e-06,-1.7298279142341072e-06,0.040963149820670224,0.02962726954322929,3.8138339210344356e-05,1.0404556682467612e-06,-3.780116445294923e-07,0.03132789989427021,0.0001916340200230316,1.8193835236710057e-06,-1.906490851204423e-05,-0.07,24.877012491226196
-4.198669348836072e-05,-4.566990285719575e-06,-3.3187206563754356e-06,0.040832199817948986,0.02953168627108267,-1.4080389151607803e-05,-3.828891666667012e-07,-1.2628607336562957e-06,0.031296263243766186,0.0001914078929431731,1.7683969424175612e-06,-1.8470358282855852e-05,-0.08,26.265016078948975
-3.714625855497093e-05,-4.054440591657523e-06,-3.381943325775941e-06,0.04097196261673867,0.02963368752147186,-0.00010542253991505653,-2.8766653826544015e-06,-4.307167039513954e-07,0.031260197908624485,0.00019127278681757378,1.7230181806884272e-06,-1.778365661433877e-05,-0.09,27.65800929069519
-2.5409677603480477e-05,-2.746687655074882e-06,-1.3969372834936065e-06,0.040579203250055575,0.029348097577149627,5.481998360563399e-05,1.4814569318930839e-06,7.392981686201728e-07,0.031218478312277677,0.0001909756145144645,1.7163286284418025e-06,-1.7155774904851713e-05,-0.1,29.0330069065094
