#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 2.5 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Time Queued: 04:44pm 2021-04-13
#	Reverse?: False
#	Sample Name: C5R8_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.13 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.005 T
#	Pre Measurement Wait Time: 0 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.008500965026173396,0.005328169787033288,0.00015595671381993072,0.7770413407312169,-0.1701522948016597,3.1506177240803556e-05,-4.936324454834759e-06,3.146995862595616e-06,-0.005365536277307769,2.8540022953956513e-05,5.152954730622593e-07,6.5782415791959155e-06,0.13,15.205136060714722
-0.008499654236117536,0.005326352483197226,0.0001571174395008407,0.7769407513195843,-0.17012049662060363,2.807200863266339e-05,-4.397443876359638e-06,2.8298674154206216e-06,-0.005361623689835558,2.850998582873416e-05,5.026547283538549e-07,6.487899971698148e-06,0.125,30.503226041793823
-0.008513032312328824,0.005336268469696492,0.00015577576429192904,0.7770974620017882,-0.17016931663515028,3.137919522046217e-05,-4.916921001129854e-06,3.0163791271678237e-06,-0.005357224354659716,2.852139701372909e-05,4.899346126480382e-07,6.423492476787448e-06,0.12,45.79729461669922
-0.008522471035881538,0.005342647360002474,0.00015637691457026236,0.7771233777410739,-0.1701840082939568,3.191875325097648e-05,-5.001898128910628e-06,2.7672919776574612e-06,-0.005352825532856332,2.85110439141242e-05,4.671237938725305e-07,6.41653821973908e-06,0.115,61.10137414932251
-0.008528267394275413,0.005347379526805336,0.00015699982915495114,0.7772539938206108,-0.1702189532623925,2.6184886529012376e-05,-4.10420255641161e-06,2.356030756991012e-06,-0.00534832067976899,2.856402017809003e-05,4.7394379196461664e-07,6.353464920453847e-06,0.11,76.41749978065491
-0.008541433041248369,0.005351381172153797,0.00015554710632221172,0.7768229712475109,-0.17008371405131859,2.9840225034925866e-05,-4.6734220092701e-06,1.5701100279950988e-06,-0.005344613102553662,2.8567447495134785e-05,5.197157572165603e-07,6.217859136197189e-06,0.105,91.70267462730408
-0.008530950591298034,0.0053480898971285185,0.0001563567656906295,0.777165033781921,-0.1701880103132605,1.890017354695048e-05,-2.961862735295416e-06,3.4211921623333618e-06,-0.005340486149744007,2.8541244924977008e-05,4.803249191716664e-07,6.222467337546948e-06,0.1,107.01372528076172
-0.008553857248221294,0.005358662599384981,0.00015809866287579483,0.7768125611876429,-0.17006771517453792,2.0708231922085336e-05,-3.242911315187369e-06,3.3081056103021375e-06,-0.005337255857732838,2.854700682480191e-05,4.5340902888106276e-07,6.128352959492777e-06,0.095,122.29483890533447
-0.008564892718029663,0.005366711887298651,0.0001583655301750106,0.7769031462952908,-0.17010367876580285,2.1909552955267363e-05,-3.4317638653822702e-06,2.44100378107503e-07,-0.005334368810264834,2.8525265303100796e-05,5.066486314220464e-07,6.126642448913105e-06,0.09,137.5729706287384
-0.008560892985821024,0.005365379853955489,0.0001573213537899466,0.7770314563739471,-0.17014092844661147,1.756523049397358e-05,-2.7519011276458527e-06,2.288672649200521e-06,-0.005331565045421753,2.8550360322562903e-05,4.838692498473508e-07,6.092215927360282e-06,0.085,152.84895062446594
