[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,Blank
FILEOPENTIME,3827503558.58519,04/13/2021,7:25 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,SampleHolder,SAMPLE_MATERIAL
INFO,Blank,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827503869.708,300.001281738281,5000.21435546875,-1.38110826040884E-5,6.86274723142146E-6,1,2.99776006220938,40.0298881530762,1.9990125208933,11.1300004646182,-6.97154227670394E-5,-5.0899016996801E-5,0.25,-6.70474381010614E-6,-1.37843529293854E-5,-6.75385128900867E-6,300.001220703125,300.001220703125,5000.1904296875,5000.23828125,49.5364890347745,19.4981417582195,34.8532943725586,0,0,0,120,300.235870361328,1,4,1,2.138671875,33.7243423461914,,,,,,,,,,,,,,,,
,3827503881.831,299.999481201172,4959.18212890625,-1.24552086087945E-5,7.16297115857064E-6,1,2.99776006220938,40.0298881530762,1.99897845543263,11.1300004646182,-6.26287657300616E-5,-4.72381494742652E-5,0.25,-6.28813036028489E-6,-1.24302245846108E-5,-6.33237671396E-6,300.000061035156,300.000061035156,4918.08935546875,5000.27490234375,49.8256915868899,19.4972677727327,34.8764686584473,0,0,0,120,300.236328125,1,6,1,2.13851928710938,35.190616607666,,,,,,,,,,,,,,,,
,3827503884.714,299.999038696289,4843.09204101562,-1.20447011720425E-5,7.00121651699829E-6,1,2.99776006220938,40.0298881530762,1.99901197687623,11.1300004646182,-5.8275287890578E-5,-5.83623247898936E-5,0.25,-8.37267418980565E-6,-1.20122031027342E-5,-8.41507482090552E-6,299.998901367188,299.998901367188,4768.0947265625,4918.08935546875,49.5489950910822,19.4990190094357,34.870002746582,0,0,0,120,300.238800048828,1,6,1,2.13958740234375,35.190616607666,,,,,,,,,,,,,,,,
,3827503887.693,299.999145507812,4693.25537109375,-1.07689413714766E-5,6.94488265436578E-6,1,2.99776006220938,40.0298881530762,1.99898820465304,11.1300004646182,-5.25313530693729E-5,-4.98042361058244E-5,0.25,-7.05644972269235E-6,-1.07414472528581E-5,-7.09443236904823E-6,299.999176025391,299.999176025391,4618.416015625,4768.0947265625,49.5489950910822,19.4980876904898,34.86083984375,0,0,0,120,300.244262695313,1,6,1,2.138671875,35.190616607666,,,,,,,,,,,,,,,,
,3827503890.6695,299.999069213867,4545.97387695313,-8.58950714443324E-6,6.53603651146316E-6,1,2.99776006220938,40.0298881530762,1.99896499288111,11.1300004646182,-4.05252219490895E-5,-4.73330856696737E-5,0.25,-7.0035617389341E-6,-8.56257407487161E-6,-7.03362493895731E-6,299.999114990234,299.999114990234,4473.53173828125,4618.416015625,49.6857800819476,19.4982253973471,34.8675765991211,0,0,0,120,300.240997314453,1,6,1,2.14004516601562,36.1681327819824,,,,,,,,,,,,,,,,
,3827503893.6665,299.999389648438,4398.87084960937,-8.44053506768342E-6,6.0357864128047E-6,1,2.99776006220938,40.0298881530762,1.99898190458782,11.1300004646182,-3.93214825099082E-5,-4.92875473268747E-5,0.25,-7.38364493676148E-6,-8.41224410799798E-6,-7.41310201270927E-6,299.9990234375,299.9990234375,4324.2099609375,4473.53173828125,49.3598409894283,19.4986935227743,34.8737754821777,0,0,0,120,300.245513916016,1,6,1,2.14126586914062,35.6793746948242,,,,,,,,,,,,,,,,
,3827503896.6685,300.000183105469,4249.470703125,-4.55699048805007E-6,5.51020649282376E-6,1,2.99776006220938,40.0298881530762,1.99893354470439,11.1300004646182,-1.8974519161175E-5,-3.90909086309508E-5,0.25,-6.24232597894287E-6,-4.53350885511208E-6,-6.25784769385876E-6,299.999755859375,299.999755859375,4174.7314453125,4324.2099609375,49.6920331101014,19.4986279407324,34.8694648742676,0,0,0,120,300.247100830078,1,6,1,2.138671875,36.1681327819824,,,,,,,,,,,,,,,,
,3827503899.689,300.001037597656,4097.25451660156,-5.34376868690914E-6,5.22175625749406E-6,1,2.99776006220938,40.0298881530762,1.99896064519464,11.1300004646182,-2.2302413297428E-5,-4.55550263092136E-5,0.25,-7.26845377852266E-6,-5.31642035397174E-6,-7.28666402257554E-6,300.000610351562,300.000610351562,4019.77758789063,4174.7314453125,49.7037575378899,19.4988766678261,34.881591796875,0,0,0,120,300.247222900391,1,6,1,2.13821411132813,36.1681327819824,,,,,,,,,,,,,,,,
,3827503902.69,300.001190185547,3947.29321289063,-2.8815488219148E-6,4.89032359996189E-6,1,2.99776006220938,40.0298881530762,1.99894206840058,11.1300004646182,-9.89303606876352E-6,-3.63746292896928E-5,0.25,-6.05396678130533E-6,-2.85903565468065E-6,-6.0634249498105E-6,300.00146484375,300.00146484375,3874.80883789063,4019.77758789063,49.5732255751783,19.4991848311387,34.8753929138184,0,0,0,120,300.245056152344,1,6,1,2.1380615234375,36.1681327819824,,,,,,,,,,,,,,,,
,3827503905.673,300.000839233398,3799.89819335937,-5.37348675743768E-7,4.66492323446652E-6,1,2.99776006220938,40.0298881530762,1.99896692404212,11.1300004646182,4.25059406708804E-6,-4.0530836794355E-5,0.25,-7.22848648656804E-6,-5.10959161069923E-7,-7.22921730020105E-6,300.000915527344,300.000915527344,3724.98754882812,3874.80883789063,49.7115738230822,19.5000707327451,34.8799743652344,0,0,0,120,300.246337890625,1,6,1,2.13790893554687,36.6568908691406,,,,,,,,,,,,,,,,
