[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S1
FILEOPENTIME,3827491888.2378,04/13/2021,4:11 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S1,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 32.5 mm touchdown = 3.47000011242926 mm,3827492604.985,300.00390625,750.1455078125,1.80311315818058E-5,6.23008904162589E-7,1,2.99776006220938,40.0298881530762,2.00897548584237,11.230000294745,0.000104415146667176,-4.95622111228519E-6,0.25,-4.14821268752056E-6,1.80431696347703E-5,-4.08189771631206E-6,300.00390625,300.00390625,750.1455078125,750.1455078125,49.1222259195821,19.5239117127089,37.4241218566895,0,0,0,120,300.240509033203,1,4,1,2.1453857421875,31.7693061828613,,,,,,,,,,,,,,,,
,3827492615.5095,300.004180908203,738.533020019531,1.79112157823982E-5,5.34538395231519E-7,1,2.99776006220938,40.0298881530762,2.00906748385124,11.230000294745,0.000104318462328457,-8.20718247002946E-6,0.25,-4.71121403920488E-6,1.79253226469499E-5,-4.6452399750505E-6,300.004272460937,300.004272460937,726.944641113281,750.121398925781,49.6654577404476,19.5242510885433,37.4200782775879,0,0,0,120,300.244689941406,1,6,1,2.16583251953125,33.2355842590332,,,,,,,,,,,,,,,,
,3827492618.366,300.00456237793,712.015716552734,1.77274478962623E-5,5.31270569495965E-7,1,2.99776006220938,40.0298881530762,2.00912788906635,11.230000294745,0.000102801716616811,-5.63473394430031E-6,0.25,-4.21532565074434E-6,1.7739781246461E-5,-4.15010430674559E-6,300.004089355469,300.004089355469,697.086791992188,726.944641113281,49.4989708658514,19.5241145740643,37.4211578369141,0,0,0,120,300.248260498047,1,6,1,2.14431762695313,33.2355842590332,,,,,,,,,,,,,,,,
,3827492621.3605,300.0048828125,682.118011474609,1.72335497172258E-5,5.03557880538594E-7,1,2.99776006220938,40.0298881530762,2.00914895468924,11.2399999052286,0.000100196561569349,-6.90592939774349E-6,0.25,-4.35472897713119E-6,1.72464738800034E-5,-4.29128114071133E-6,300.005035400391,300.005035400391,667.149230957031,697.086791992188,49.3535879612745,19.5235607023431,37.4168472290039,0,0,0,120,300.246673583984,1,6,1,2.16659545898438,33.7243423461914,,,,,,,,,,,,,,,,
,3827492624.379,300.0048828125,652.108764648438,1.74635133906895E-5,4.93038296690721E-7,1,2.99776006220938,40.0298881530762,2.00918597328557,11.230000294745,0.000101643844434256,-7.59859679899673E-6,0.25,-4.52081494926287E-6,1.74770029341073E-5,-4.45650206700996E-6,300.004730224609,300.004730224609,637.068298339844,667.149230957031,49.7959897031591,19.5237202017309,37.4273567199707,0,0,0,120,300.244689941406,1,6,1,2.14569091796875,33.7243423461914,,,,,,,,,,,,,,,,
,3827492627.382,300.004150390625,622.045074462891,1.68995895887146E-5,5.10926512559742E-7,1,2.99776006220938,40.0298881530762,2.00917667175352,11.230000294745,9.83094475630126E-5,-7.06684970865861E-6,0.25,-4.32333364167676E-6,1.69124565985057E-5,-4.26110608340808E-6,300.005035400391,300.005035400391,607.021850585938,637.068298339844,49.2379069404283,19.5237655631812,37.4284324645996,0,0,0,120,300.246276855469,1,6,1,2.14492797851562,34.2131004333496,,,,,,,,,,,,,,,,
,3827492630.365,300.00260925293,592.037292480469,1.66674730165187E-5,4.34862425477048E-7,1,2.99776006220938,40.0298881530762,2.00921462881786,11.2399999052286,9.63862909464793E-5,-3.78829815402893E-6,0.25,-3.69176547560863E-6,1.66780821175164E-5,-3.63048933392021E-6,300.003265380859,300.003265380859,577.052734375,607.021850585938,49.4380038413514,19.5232681450379,37.4303207397461,0,0,0,120,300.2470703125,1,6,1,2.16629028320313,34.7018585205078,,,,,,,,,,,,,,,,
,3827492633.382,300.003021240234,562.076812744141,1.65733725781803E-5,4.81743634137436E-7,1,2.99776006220938,40.0298881530762,2.00919795096394,11.230000294745,9.68514051853396E-5,-9.35909766802501E-6,0.25,-4.67664497984303E-6,1.65875812298566E-5,-4.61554429610988E-6,300.001953125,300.001953125,547.100891113281,577.052734375,49.5646276614668,19.5244088258677,37.4287033081055,0,0,0,120,300.246063232422,1,6,1,2.14508056640625,34.7018585205078,,,,,,,,,,,,,,,,
,3827492636.3815,300.004089355469,532.194671630859,1.55785050524054E-5,4.28112355589448E-7,1,2.99776006220938,40.0298881530762,2.00918615084746,11.2399999052286,9.09269064819444E-5,-8.18727266878009E-6,0.25,-4.28621601914317E-6,1.55914610274723E-5,-4.22880169937944E-6,300.004089355469,300.004089355469,517.288452148438,547.100891113281,49.5185115788322,19.523052941335,37.4351692199707,0,0,0,120,300.249237060547,1,6,1,2.16522216796875,34.7018585205078,,,,,,,,,,,,,,,,
,3827492639.3485,300.004364013672,502.27555847168,1.60234732458509E-5,4.60507275474913E-7,1,2.99776006220938,40.0298881530762,2.00912845433644,11.230000294745,9.32936696346033E-5,-7.1598910725415E-6,0.25,-4.18185336943067E-6,1.60359738872585E-5,-4.12283751800943E-6,300.004089355469,300.004089355469,487.262664794922,517.288452148438,49.7092289375245,19.5236615935755,37.4287033081055,0,0,0,120,300.248260498047,1,6,1,2.14447021484375,35.190616607666,,,,,,,,,,,,,,,,
