[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S1
FILEOPENTIME,3827492768.42273,04/13/2021,4:26 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S1,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 32.5 mm,3827492933.23,300.003387451172,2000.34387207031,2.58760843564875E-5,2.29061313801413E-6,1,2.99776006220938,40.0298881530762,2.00906706958571,11.230000294745,0.000149628228984141,-5.88196483614316E-6,0.25,-5.73161716094167E-6,2.58925539332825E-5,-5.6364940691978E-6,300.003387451172,300.003387451172,2000.34387207031,2000.34387207031,49.5380522918129,19.5259470115641,37.606559753418,0,0,0,120,300.242095947266,1,4,1,2.14492797851562,34.7018585205078,,,,,,,,,,,,,,,,
,3827492942.26,300.003067016602,1982.48571777344,2.60511774762307E-5,2.33551319347059E-6,1,2.99776006220938,40.0298881530762,2.00901264274418,11.230000294745,0.000150641978465117,-5.95067136713005E-6,0.25,-5.77562800070221E-6,2.60677778206637E-5,-5.67986019727712E-6,300.002716064453,300.002716064453,1964.51904296875,2000.45239257813,49.9030728102937,19.5272153151934,37.604133605957,0,0,0,120,300.243103027344,1,6,1,2.14324951171875,35.6793746948242,,,,,,,,,,,,,,,,
,3827492945.142,300.003570556641,1933.40209960938,2.55097971000679E-5,2.45403504716931E-6,1,2.99776006220938,40.0298881530762,2.00902024465655,11.230000294745,0.000146845927340736,-2.1395000921043E-6,0.25,-4.99236820463772E-6,2.55236388254624E-5,-4.89870281406411E-6,300.00341796875,300.00341796875,1902.28515625,1964.51904296875,49.4270610420822,19.5277859265287,37.6038627624512,0,0,0,120,300.242492675781,1,6,1,2.147216796875,35.190616607666,,,,,,,,,,,,,,,,
,3827492948.158,300.002746582031,1872.41162109375,2.48970919753032E-5,2.12075320672199E-6,1,2.99776006220938,40.0298881530762,2.00908338364115,11.230000294745,0.000145058271529288,-1.16937928785403E-5,0.25,-6.60006057370013E-6,2.49168880356838E-5,-6.50835162477855E-6,300.003723144531,300.003723144531,1842.5380859375,1902.28515625,49.707665680486,19.5264655665224,37.6127586364746,0,0,0,120,300.244079589844,1,6,1,2.14370727539062,35.6793746948242,,,,,,,,,,,,,,,,
,3827492951.123,300.002914428711,1813.51293945313,2.51313851184257E-5,2.14964353568842E-6,1,2.99776006220938,40.0298881530762,2.00910523816437,11.230000294745,0.000145022064752382,-4.03722037748033E-6,0.25,-5.26531216349778E-6,2.51462847524936E-5,-5.17297660325755E-6,300.001770019531,300.001770019531,1784.48779296875,1842.5380859375,49.6552965696976,19.5259649914343,37.6049423217773,0,0,0,120,300.242095947266,1,6,1,2.14218139648438,35.6793746948242,,,,,,,,,,,,,,,,
,3827492954.1245,300.004165649414,1753.31652832031,2.52996070924321E-5,1.95065519226929E-6,1,2.99776006220938,40.0298881530762,2.00916059767081,11.230000294745,0.000146438123643083,-6.50823184124683E-6,0.25,-5.74007933085083E-6,2.53162046463803E-5,-5.64705112120333E-6,300.004058837891,300.004058837891,1722.14526367187,1784.48779296875,49.412991728736,19.5274466843282,37.6176071166992,0,0,0,120,300.241485595703,1,6,1,2.14492797851562,35.6793746948242,,,,,,,,,,,,,,,,
,3827492957.1415,300.004119873047,1693.15539550781,2.55729517731808E-5,2.00786965779463E-6,1,2.99776006220938,40.0298881530762,2.00912284695987,11.230000294745,0.000147586436558182,-4.19141747331707E-6,0.25,-5.37279397619911E-6,2.55881666675458E-5,-5.27883308723309E-6,300.004272460937,300.004272460937,1664.16552734375,1722.14526367187,49.6584230837745,19.5263333746617,37.6079063415527,0,0,0,120,300.240509033203,1,6,1,2.14385986328125,36.1681327819824,,,,,,,,,,,,,,,,
,3827492960.1195,300.004486083984,1634.16729736328,2.47419336111593E-5,1.78683238544694E-6,1,2.99776006220938,40.0298881530762,2.00906416029454,11.2399999052286,0.00014379613237622,-9.6454580144728E-6,0.25,-6.20365339927869E-6,2.47603122717722E-5,-6.11257518077777E-6,300.003967285156,300.003967285156,1604.16906738281,1664.16552734375,49.5216380929091,19.5279405305632,37.6229972839355,0,0,0,120,300.24169921875,1,6,1,2.16781616210938,36.6568908691406,,,,,,,,,,,,,,,,
,3827492963.0995,300.004501342773,1574.138671875,2.50740650512858E-5,1.73919061550671E-6,1,2.99776006220938,40.0298881530762,2.0090447684672,11.230000294745,0.000144466670335015,-2.80778119496694E-6,0.25,-5.03385841590791E-6,2.50881309865085E-5,-4.94176967517476E-6,300.005004882812,300.005004882812,1544.10827636719,1604.16906738281,49.738149192736,19.5268795639334,37.6308135986328,0,0,0,120,300.238311767578,1,6,1,2.1429443359375,36.6568908691406,,,,,,,,,,,,,,,,
,3827492966.1135,300.003814697266,1513.11712646484,2.40621389822761E-5,1.63176498787689E-6,1,2.99776006220938,40.0298881530762,2.00910366109194,11.230000294745,0.000139678388775104,-8.44180354136678E-6,0.25,-5.86435802297707E-6,2.40793989701333E-5,-5.77581010811931E-6,300.003997802734,300.003997802734,1482.1259765625,1544.10827636719,49.8921300110245,19.527892695127,37.6270408630371,0,0,0,120,300.235931396484,1,6,1,2.14340209960938,36.6568908691406,,,,,,,,,,,,,,,,
