[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S2_2
FILEOPENTIME,3827504522.36926,04/13/2021,7:42 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,SampleHolder,SAMPLE_MATERIAL
INFO,S2_2,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827504834.9875,300.00114440918,5001.21533203125,4.05578126993467E-5,6.67309803603132E-6,1,2.99776006220938,40.0298881530762,1.99999022306619,11.119999922812,0.000238903228134083,-3.91341001371376E-5,0.25,-1.43950606991348E-5,4.06033122340591E-5,-1.42450792667022E-5,300.001098632812,300.001098632812,5000.1904296875,5002.240234375,50.0445475722745,19.5037809105553,35.2133178710937,0,0,0,120,300.238250732422,1,4,1,2.14569091796875,33.7243423461914,,,,,,,,,,,,,,,,
,3827504847.1245,300.00129699707,4961.51025390625,4.26681963311668E-5,6.31863642550061E-6,1,2.99776006220938,40.0298881530762,2.00001609832812,11.119999922812,0.000250739623242314,-3.78608843220603E-5,0.25,-1.45461430371946E-5,4.27138879972917E-5,-1.43884582951661E-5,300.000885009766,300.000885009766,4922.91455078125,5000.10595703125,49.9835805477745,19.504636043176,35.2178993225098,0,0,0,120,300.243286132812,1,6,1,2.13394165039062,35.190616607666,,,,,,,,,,,,,,,,
,3827504849.977,300.001937866211,4847.86010742188,4.08155484428954E-5,6.32389777120864E-6,1,2.99776006220938,40.0298881530762,1.99996044216514,11.119999922812,0.000241825349412989,-4.7174540312016E-5,0.25,-1.58942418498079E-5,4.086645742811E-5,-1.57430673224143E-5,300.001708984375,300.001708984375,4772.8056640625,4922.91455078125,49.9061993243707,19.5026302587293,35.2184371948242,0,0,0,120,300.242828369141,1,6,1,2.13150024414062,35.190616607666,,,,,,,,,,,,,,,,
,3827504852.961,300.002182006836,4698,4.06632487216377E-5,6.00355401925964E-6,1,2.99776006220938,40.0298881530762,1.99999989034672,11.119999922812,0.000239609089268575,-3.96992762641761E-5,0.25,-1.4516172651644E-5,4.07091702813994E-5,-1.43657839623096E-5,300.002166748047,300.002166748047,4623.1943359375,4772.8056640625,50.0304782589284,19.5047878309465,35.2208633422852,0,0,0,120,300.244079589844,1,6,1,2.14324951171875,35.6793746948242,,,,,,,,,,,,,,,,
,3827504855.9435,300.001663208008,4548.30395507812,4.04500878443042E-5,6.0203174108147E-6,1,2.99776006220938,40.0298881530762,2.00004064009476,11.119999922812,0.000239006436285253,-4.30832928006049E-5,0.25,-1.50888383603149E-5,4.04981300421318E-5,-1.49391264682322E-5,300.002197265625,300.002197265625,4473.41357421875,4623.1943359375,50.0695596848899,19.504196810961,35.2224807739258,0,0,0,120,300.239593505859,1,6,1,2.13455200195313,35.6793746948242,,,,,,,,,,,,,,,,
,3827504858.9455,300.001312255859,4401.22534179687,4.10942382627111E-5,5.56807949899257E-6,1,2.99776006220938,40.0298881530762,2.00001695432026,11.119999922812,0.000241831374045711,-3.83522583905942E-5,0.25,-1.43506260965329E-5,4.11394866961584E-5,-1.41986941749172E-5,300.001129150391,300.001129150391,4329.037109375,4473.41357421875,50.2563689009861,19.5048791539104,35.2273330688477,0,0,0,120,300.243133544922,1,6,1,2.14324951171875,35.6793746948242,,,,,,,,,,,,,,,,
,3827504861.9515,300.001098632812,4254.1845703125,4.07624775379319E-5,5.32167589820393E-6,1,2.99776006220938,40.0298881530762,2.00004434818042,11.119999922812,0.00023962629216189,-3.66261118714836E-5,0.25,-1.39787933092377E-5,4.0806430122109E-5,-1.38281297030747E-5,300.001495361328,300.001495361328,4179.33203125,4329.037109375,50.0578352571015,19.5049978916179,35.230297088623,0,0,0,120,300.247497558594,1,6,1,2.13333129882813,36.1681327819824,,,,,,,,,,,,,,,,
,3827504864.972,300.000991821289,4101.92504882812,3.9520308405977E-5,5.10440362714743E-6,1,2.99776006220938,40.0298881530762,1.99999361735145,11.119999922812,0.000232244855675156,-3.51022793252542E-5,0.25,-1.34793198829439E-5,3.95626547686421E-5,-1.33332583610835E-5,300.000701904297,300.000701904297,4024.51806640625,4179.33203125,50.005466146313,19.5064999680119,35.2340698242188,0,0,0,120,300.246643066406,1,6,1,2.16064453125,36.1681327819824,,,,,,,,,,,,,,,,
,3827504867.9565,300.001068115234,3952.03234863281,4.09363292225765E-5,4.89081249126385E-6,1,2.99776006220938,40.0298881530762,1.99998521306201,11.119999922812,0.000240179041661649,-3.42215829572223E-5,0.25,-1.3576009355125E-5,4.09787878019399E-5,-1.342477825852E-5,300.001281738281,300.001281738281,3879.54663085937,4024.51806640625,49.8944748965822,19.5060146258407,35.238109588623,0,0,0,120,300.241271972656,1,6,1,2.1343994140625,36.6568908691406,,,,,,,,,,,,,,,,
,3827504870.9265,300.001113891602,3804.69165039063,4.01334376623155E-5,4.5781554265473E-6,1,2.99776006220938,40.0298881530762,1.9999801358961,11.119999922812,0.000234556350171612,-2.85041209681256E-5,0.25,-1.23981452110288E-5,4.01717472371741E-5,-1.22500331129701E-5,300.000854492188,300.000854492188,3729.83666992188,3879.54663085937,50.015627317063,19.5057165241983,35.2391891479492,0,0,0,120,300.24658203125,1,6,1,2.13211059570313,36.6568908691406,,,,,,,,,,,,,,,,
