[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,S5
FILEOPENTIME,3827497702.99633,04/13/2021,5:48 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC553,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 E1,VSM_HW_VERSION
INFO,VSM440,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,440,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB355,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,LB690,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Co Pt,SAMPLE_MATERIAL
INFO,S5,SAMPLE_COMMENT
INFO,6.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3x3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3827499415.158,300.010498046875,5000.298828125,2.30252070576393E-5,6.52400624210964E-6,1,2.99776006220938,40.0298881530762,1.99790937378012,11.2500004470348,0.000140959762717329,-5.25524081344802E-5,2.5,-1.36630390076053E-5,2.30710037540096E-5,-1.35769618542831E-5,300.010498046875,300.010498046875,5000.298828125,5000.298828125,49.9101074669668,19.5129961820605,35.6754760742188,0,0,0,120,300.2646484375,1,4,1,2.14126586914062,32.2580642700195,,,,,,,,,,,,,,,,
,3827499428.7485,300.01106262207,4989.07177734375,2.26178325714226E-5,6.58294317345427E-6,1,2.99776006220938,40.0298881530762,1.99795906223339,11.2500004470348,0.000139775173722363,-5.87761749964601E-5,0.25,-1.47136242061678E-5,2.26675196277717E-5,-1.46288506118124E-5,300.010833740234,300.010833740234,4977.9052734375,5000.23828125,50.4345802033707,19.5145095983114,35.6792488098145,0,0,0,120,300.253723144531,1,6,1,2.1392822265625,33.7243423461914,,,,,,,,,,,,,,,,
,3827499430.984,300.012573242188,4903.08740234375,2.09703074166956E-5,6.6585879496113E-6,1,2.99776006220938,40.0298881530762,1.9979957223728,11.2500004470348,0.000130497295045177,-5.94858322009363E-5,0.25,-1.45441855937371E-5,2.10196565602703E-5,-1.4465433247506E-5,300.011291503906,300.011291503906,4828.26953125,4977.9052734375,49.8452322998707,19.5128911999244,35.6746673583984,0,0,0,120,300.260833740234,1,6,1,2.14080810546875,34.2131004333496,,,,,,,,,,,,,,,,
,3827499433.9805,300.013595581055,4753.20263671875,2.39716058899967E-5,6.33902686009369E-6,1,2.99776006220938,40.0298881530762,1.99797092506754,11.2500004470348,0.000145950012500322,-5.01576446319007E-5,0.25,-1.33996106017739E-5,2.40162815288749E-5,-1.33101335225855E-5,300.013854980469,300.013854980469,4678.1357421875,4828.26953125,50.0547087430245,19.5136273863568,35.6776313781738,0,0,0,120,300.256042480469,1,6,1,2.14492797851562,34.2131004333496,,,,,,,,,,,,,,,,
,3827499436.9795,300.013168334961,4603.25952148438,2.30894718722186E-5,5.87038023341835E-6,1,2.99776006220938,40.0298881530762,1.99804099633453,11.2500004470348,0.000141618775761546,-5.40426657391076E-5,0.25,-1.39424679147652E-5,2.31362728751186E-5,-1.38561067773885E-5,300.013336181641,300.013336181641,4528.38330078125,4678.1357421875,49.9945233470437,19.514026897337,35.677360534668,0,0,0,120,300.252563476562,1,6,1,2.14324951171875,34.7018585205078,,,,,,,,,,,,,,,,
,3827499439.995,300.013092041016,4453.66137695313,2.3889109974897E-5,5.79809790305039E-6,1,2.99776006220938,40.0298881530762,1.99807999853823,11.2500004470348,0.000144533849338146,-4.488502286449E-5,0.25,-1.24308439889871E-5,2.39302767459083E-5,-1.23418295315205E-5,300.013000488281,300.013000488281,4378.939453125,4528.38330078125,50.0046845177938,19.5128743796725,35.6811332702637,0,0,0,120,300.253387451172,1,6,1,2.14202880859375,34.7018585205078,,,,,,,,,,,,,,,,
,3827499443.009,300.012908935547,4304.13305664063,2.32942114935342E-5,5.4321301970405E-6,1,2.99776006220938,40.0298881530762,1.99803810121681,11.2500004470348,0.000142412453852401,-5.19645136887953E-5,0.25,-1.36036881383009E-5,2.33397464546609E-5,-1.3516637841472E-5,300.01318359375,300.01318359375,4229.32666015625,4378.939453125,50.0695596848899,19.5149285601272,35.6857147216797,0,0,0,120,300.258544921875,1,6,1,2.14157104492187,34.7018585205078,,,,,,,,,,,,,,,,
,3827499445.985,300.012939453125,4154.43408203125,2.54639238833434E-5,5.04105592906471E-6,1,2.99776006220938,40.0298881530762,1.99803455744823,11.2500004470348,0.000152387408769838,-3.85915025233386E-5,0.25,-1.15774583217008E-5,2.55017197424244E-5,-1.14828577717042E-5,300.012634277344,300.012634277344,4079.54150390625,4229.32666015625,50.1625734786784,19.5142120171055,35.6846351623535,0,0,0,120,300.259490966797,1,6,1,2.13882446289062,34.7018585205078,,,,,,,,,,,,,,,,
,3827499448.9805,300.012985229492,4004.47265625,2.55350311909359E-5,4.84969437953776E-6,1,2.99776006220938,40.0298881530762,1.99805997724231,11.2500004470348,0.000154210900432882,-4.64290603010977E-5,0.25,-1.30074031212082E-5,2.55780173512068E-5,-1.29123001764694E-5,300.013244628906,300.013244628906,3929.40380859375,4079.54150390625,50.2548056439476,19.5152556869974,35.6932601928711,0,0,0,120,300.252990722656,1,6,1,2.13851928710938,35.190616607666,,,,,,,,,,,,,,,,
,3827499451.979,300.012619018555,3854.57397460937,2.68692994442592E-5,4.67147133721232E-6,1,2.99776006220938,40.0298881530762,1.99812062519404,11.2500004470348,0.000160154098399904,-3.71218377233342E-5,0.25,-1.15652677353458E-5,2.6906813432521E-5,-1.14655545115979E-5,300.012725830078,300.012725830078,3779.744140625,3929.40380859375,49.9742010055438,19.5147698889114,35.691104888916,0,0,0,120,300.251159667969,1,6,1,2.13897705078125,35.190616607666,,,,,,,,,,,,,,,,
