#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 0.8 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 2 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.15 T
#	Lockin AC Gain: 40 dB
#	Lockin Frequency: 1713 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 09:49am 2021-07-07
#	Sample Name: C5R7_20x80
#	First Harmonic Lockin Sensitivity: 0.001 V
#	Second Harmonic Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.2 s
#	Second Harmonic Lockin Time Constant: 0.2 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
3.53e-05,-8e-08,7.4e-06,1.53e-07,0.0,0.0,0.855999231338501
-9.8e-06,-1e-09,7.5e-06,1.04e-07,1.9995,2.0,3.715994119644165
-5.48e-05,1.04e-07,7.7e-06,1.05e-07,4.0,4.0,6.5769946575164795
-9.94e-05,2.07e-07,7.8e-06,7.1e-08,6.0,6.0,9.456999778747559
-0.0001433,2.93e-07,7.9e-06,3.9e-08,8.0005,8.0,12.320995092391968
-0.0001862,3.75e-07,8.1e-06,-2.5e-08,9.9995,10.0,15.216994524002075
-0.0002277,4.62e-07,8.2e-06,-6e-08,12.0,12.0,18.096994400024414
-0.0002677,5.43e-07,8.3e-06,-8.7e-08,14.0,14.0,20.976994514465332
-0.0003058,6.26e-07,8.4e-06,-9.1e-08,16.0005,16.0,23.85699462890625
-0.000342,7.01e-07,8.5e-06,-1.21e-07,18.0,18.0,26.71799659729004
-0.0003759,7.76e-07,8.6e-06,-1.4e-07,20.0,20.0,29.57899498939514
-0.0004075,8.37e-07,8.7e-06,-1.55e-07,22.0005,22.0,32.48599457740784
-0.0004365,8.99e-07,8.8e-06,-1.7e-07,24.0,24.0,35.35799479484558
-0.0004629,9.52e-07,8.8e-06,-1.77e-07,26.0,26.0,38.23799419403076
-0.0004864,1.001e-06,8.9e-06,-1.89e-07,28.0,28.0,41.116995096206665
-0.0005071,1.036e-06,9e-06,-1.9e-07,30.0,30.0,43.978994607925415
-0.0005248,1.078e-06,9e-06,-2.13e-07,31.9995,32.0,46.85999584197998
-0.0005397,1.109e-06,9e-06,-2.16e-07,34.0,34.0,49.74199390411377
-0.0005514,1.129e-06,9.1e-06,-2.1e-07,36.0005,36.0,52.61899423599243
-0.0005602,1.15e-06,9.1e-06,-2.12e-07,38.0005,38.0,55.49899435043335
-0.000566,1.164e-06,9.1e-06,-2.13e-07,40.0,40.0,58.39799642562866
-0.0005687,1.171e-06,9.1e-06,-1.96e-07,41.9995,42.0,61.260998010635376
-0.0005686,1.173e-06,9.1e-06,-1.97e-07,44.0,44.0,64.12499618530273
-0.0005656,1.175e-06,9.1e-06,-1.74e-07,46.001,46.0,67.0059974193573
-0.0005598,1.144e-06,9.1e-06,-1.55e-07,48.0,48.0,69.87999439239502
-0.0005512,1.141e-06,9.1e-06,-1.4e-07,50.0005,50.0,72.75999450683594
-0.0005401,1.114e-06,9.1e-06,-1.28e-07,52.0,52.0,75.64000010490417
-0.0005263,1.084e-06,9e-06,-9e-08,54.001,54.0,78.51999378204346
-0.0005101,1.052e-06,9e-06,-4.7e-08,56.0,56.0,81.40799713134766
-0.0004915,1.02e-06,8.9e-06,-3.1e-08,58.0,58.0,84.27999520301819
-0.0004707,9.89e-07,8.9e-06,1e-08,60.001,60.0,87.16399717330933
-0.0004477,9.28e-07,8.8e-06,2.2e-08,62.0,62.0,90.04299521446228
-0.0004227,8.84e-07,8.7e-06,6.4e-08,64.0005,64.0,92.90399670600891
-0.0003959,8.32e-07,8.7e-06,8.4e-08,66.0005,66.0,95.77999496459961
