#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 05:37pm 2021-04-24
#	RF Frequency: 6.5 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R6_40x80_2x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
5.425e-06,-2e-08,-1.0678e-05,-3.83e-07,0.2,0.194000244140625
5.31e-06,-2.5e-08,-1.053e-05,-4.21e-07,0.1995,0.42700743675231934
5.49e-06,-3.5e-08,-1.0571e-05,-4.35e-07,0.199,0.6370055675506592
5.09e-06,-1.5e-08,-1.0543e-05,-4.19e-07,0.1985,0.8419997692108154
5.395e-06,-3.5e-08,-1.0584e-05,-4.54e-07,0.198,1.052002191543579
5.23e-06,-2.5e-08,-1.0513e-05,-4.07e-07,0.1975,1.2659995555877686
5.12e-06,-2e-08,-1.0604e-05,-4.13e-07,0.197,1.4769995212554932
4.71e-06,1e-08,-1.0559e-05,-4.36e-07,0.1965,1.6820018291473389
5.115e-06,-2.5e-08,-1.0576e-05,-4.45e-07,0.196,1.9059998989105225
5.055e-06,-1.5e-08,-1.058e-05,-3.96e-07,0.1955,2.114999771118164
5.395e-06,-1e-08,-1.0599e-05,-4.43e-07,0.195,2.318999767303467
5.335e-06,-2e-08,-1.0606e-05,-4.04e-07,0.1945,2.5440025329589844
5.395e-06,-3.5e-08,-1.0609e-05,-4.2e-07,0.194,2.755000352859497
5.2e-06,-1.5e-08,-1.0587e-05,-4.39e-07,0.1935,2.9619994163513184
5.445e-06,-2.5e-08,-1.0625e-05,-4.04e-07,0.193,3.183999538421631
4.935e-06,0.0,-1.0629e-05,-4.04e-07,0.1925,3.4180004596710205
5.29e-06,-2e-08,-1.0626e-05,-4.22e-07,0.192,3.647000312805176
4.99e-06,-1.5e-08,-1.064e-05,-4.31e-07,0.1915,3.86200213432312
5.04e-06,-3.5e-08,-1.0657e-05,-4e-07,0.191,4.068000078201294
4.91e-06,2e-08,-1.0661e-05,-4.34e-07,0.1905,4.275000810623169
4.975e-06,-2.5e-08,-1.0692e-05,-4.04e-07,0.19,4.492000579833984
4.81e-06,-2.5e-08,-1.0718e-05,-4.33e-07,0.1895,4.700999736785889
4.905e-06,-5e-09,-1.0675e-05,-4.4e-07,0.189,4.916007041931152
5.005e-06,-3e-08,-1.0697e-05,-4.64e-07,0.1885,5.153999328613281
5.14e-06,-3e-08,-1.0682e-05,-4.15e-07,0.188,5.358999967575073
5.075e-06,-3e-08,-1.0704e-05,-3.96e-07,0.1875,5.567999601364136
5.075e-06,-2e-08,-1.0722e-05,-4.57e-07,0.187,5.7769997119903564
