#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 150 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 05:39pm 2021-04-24
#	RF Frequency: 9 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R6_40x80_2x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
-4.935e-06,1.3e-07,3.17e-07,1.01e-07,0.2,0.21899986267089844
-5.035e-06,1.05e-07,4.12e-07,3.7e-08,0.1995,0.42599964141845703
-4.895e-06,1.1e-07,3.83e-07,-1.3e-08,0.199,0.6309995651245117
-4.815e-06,1.1e-07,4.12e-07,2.6e-08,0.1985,0.8389999866485596
-4.88e-06,9.5e-08,3.95e-07,-8e-09,0.198,1.1010000705718994
-4.885e-06,1.1e-07,3.59e-07,5e-09,0.1975,1.3390004634857178
-5.005e-06,1.15e-07,3.79e-07,-7e-09,0.197,1.553999900817871
-4.965e-06,1.25e-07,3.43e-07,1.5e-08,0.1965,1.764000415802002
-5.065e-06,1.1e-07,3.47e-07,1.3e-08,0.196,1.9670002460479736
-5.15e-06,1e-07,3.31e-07,2.3e-08,0.1955,2.1689999103546143
-5.195e-06,1.35e-07,3.22e-07,2.2e-08,0.195,2.3849997520446777
-5.21e-06,1.35e-07,3e-07,4e-09,0.1945,2.5919995307922363
-5.31e-06,1.25e-07,2.79e-07,-4.8e-08,0.194,2.809999465942383
-5.365e-06,1.2e-07,3.03e-07,-9e-09,0.1935,3.022000551223755
