#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 04:29pm 2021-04-24
#	RF Frequency: 9 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R6_40x80_6x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
3.47e-06,-5e-09,-2.029e-06,-5.5e-08,0.2,0.18699979782104492
3.495e-06,0.0,-1.936e-06,-9.6e-08,0.1995,0.4100022315979004
3.495e-06,3e-08,-1.928e-06,-5.5e-08,0.199,0.6160006523132324
3.52e-06,2e-08,-1.933e-06,-8.5e-08,0.1985,0.8229999542236328
3.53e-06,-2e-08,-1.95e-06,-7.2e-08,0.198,1.0240004062652588
3.565e-06,-1e-08,-1.951e-06,-6.7e-08,0.1975,1.233001470565796
3.575e-06,1e-08,-1.976e-06,-9.4e-08,0.197,1.4350004196166992
3.6e-06,-1.5e-08,-1.973e-06,-8.7e-08,0.1965,1.6379995346069336
3.615e-06,-1.5e-08,-1.991e-06,-5.9e-08,0.196,1.846998929977417
3.62e-06,0.0,-1.973e-06,-9.5e-08,0.1955,2.053999900817871
3.645e-06,0.0,-1.987e-06,-5.8e-08,0.195,2.256999969482422
3.66e-06,-5e-09,-2.021e-06,-1.08e-07,0.1945,2.485999345779419
3.665e-06,-2e-08,-2.021e-06,-9.5e-08,0.194,2.6949996948242188
3.725e-06,-5e-09,-2.048e-06,-1.09e-07,0.1935,2.9060001373291016
3.7e-06,1.5e-08,-2.061e-06,-5e-08,0.193,3.125000476837158
3.76e-06,-2e-08,-2.052e-06,-8.1e-08,0.1925,3.4089996814727783
3.785e-06,-1e-08,-2.065e-06,-7.4e-08,0.192,3.618999719619751
