#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 12:01pm 2021-04-24
#	RF Frequency: 10 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R7_40x80_2x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
5.455e-06,-3e-08,-1.3011e-05,-9.14e-07,0.2,0.19499897956848145
5.49e-06,0.0,-1.3276e-05,-5.26e-07,0.1995,0.4029989242553711
5.51e-06,-3.5e-08,-1.3292e-05,-5.47e-07,0.199,0.609999418258667
5.53e-06,-5e-09,-1.3294e-05,-5.64e-07,0.1985,0.8139989376068115
5.54e-06,-1e-08,-1.3311e-05,-5.14e-07,0.198,1.0249989032745361
5.575e-06,-5e-09,-1.3301e-05,-5.48e-07,0.1975,1.2330048084259033
5.59e-06,-1e-08,-1.3345e-05,-5.24e-07,0.197,1.4659996032714844
5.615e-06,0.0,-1.336e-05,-5.41e-07,0.1965,1.7130000591278076
5.645e-06,0.0,-1.3338e-05,-5.26e-07,0.196,1.9370009899139404
5.635e-06,-5e-09,-1.3354e-05,-5.18e-07,0.1955,2.1570019721984863
5.69e-06,-1e-08,-1.3349e-05,-5.31e-07,0.195,2.365999698638916
5.705e-06,-5e-09,-1.3382e-05,-5.52e-07,0.1945,2.5709991455078125
5.74e-06,1.5e-08,-1.3384e-05,-5.49e-07,0.194,2.806001901626587
5.74e-06,3.5e-08,-1.3402e-05,-5.63e-07,0.1935,3.0109992027282715
5.75e-06,-5e-09,-1.3432e-05,-5.47e-07,0.193,3.2149994373321533
5.825e-06,-5e-09,-1.3417e-05,-5.28e-07,0.1925,3.424002170562744
5.855e-06,5e-09,-1.3449e-05,-5.62e-07,0.192,3.634003162384033
5.845e-06,5e-09,-1.3434e-05,-5.61e-07,0.1915,3.857999563217163
