#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 10:41am 2021-04-24
#	RF Frequency: 9 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R7_40x80_6x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
5.33e-06,5e-09,-6.8e-08,-3.2e-08,0.2,0.20799732208251953
5.54e-06,1.5e-08,-1.88e-07,-3.4e-08,0.1995,0.41699719429016113
5.255e-06,-2.5e-08,-1.84e-07,2.3e-08,0.199,0.6319968700408936
5.195e-06,1e-08,-1.88e-07,-1.2e-08,0.1985,0.8349969387054443
5.255e-06,2e-08,-2.23e-07,-1.3e-08,0.198,1.0419981479644775
5.44e-06,-2e-08,-1.93e-07,-2.3e-08,0.1975,1.2489979267120361
5.315e-06,5e-09,-2.23e-07,2.1e-08,0.197,1.486997127532959
5.38e-06,2e-08,-1.92e-07,-3.6e-08,0.1965,1.70499849319458
5.355e-06,1.5e-08,-1.97e-07,-1.8e-08,0.196,1.9729976654052734
5.385e-06,1e-08,-2.5e-07,-1.6e-08,0.1955,2.179997682571411
5.46e-06,2e-08,-2.03e-07,-4e-09,0.195,2.382997512817383
5.52e-06,1.5e-08,-2.5e-07,4e-09,0.1945,2.6120004653930664
5.455e-06,-1.5e-08,-2.53e-07,5e-09,0.194,2.818997621536255
5.455e-06,1e-08,-2.45e-07,2.2e-08,0.1935,3.0219979286193848
5.495e-06,-1e-08,-2.12e-07,0.0,0.193,3.250997543334961
5.425e-06,1e-08,-2.49e-07,1.1e-08,0.1925,3.4529974460601807
5.41e-06,5e-09,-2.54e-07,6e-09,0.192,3.652996778488159
5.445e-06,1e-08,-2.53e-07,1.8e-08,0.1915,3.8869969844818115
5.415e-06,5e-09,-1.99e-07,1e-08,0.191,4.096997261047363
