#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 15 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 10:42am 2021-04-24
#	RF Frequency: 10 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R7_40x80_6x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
2.88e-06,0.0,-3.587e-06,-2.3e-08,0.2,0.2030010223388672
2.865e-06,5e-09,-3.595e-06,-1.29e-07,0.1995,0.41700100898742676
2.86e-06,1.5e-08,-3.525e-06,-1.46e-07,0.199,0.6519999504089355
2.905e-06,1e-08,-3.573e-06,-1.57e-07,0.1985,0.8610000610351562
2.87e-06,-1e-08,-3.577e-06,-1.17e-07,0.198,1.065999984741211
2.895e-06,5e-09,-3.558e-06,-1.41e-07,0.1975,1.2920000553131104
2.91e-06,-5e-09,-3.54e-06,-1.06e-07,0.197,1.5
2.905e-06,-5e-09,-3.546e-06,-1.55e-07,0.1965,1.7060003280639648
2.91e-06,-5e-09,-3.56e-06,-1.15e-07,0.196,1.929999828338623
2.915e-06,-1e-08,-3.535e-06,-1.17e-07,0.1955,2.13700795173645
2.895e-06,0.0,-3.578e-06,-1.62e-07,0.195,2.3600008487701416
2.925e-06,0.0,-3.582e-06,-1.09e-07,0.1945,2.5859997272491455
2.945e-06,1e-08,-3.56e-06,-1.13e-07,0.194,2.82099986076355
2.935e-06,0.0,-3.564e-06,-1.55e-07,0.1935,3.0430054664611816
2.935e-06,1.5e-08,-3.545e-06,-9.4e-08,0.193,3.2550008296966553
2.96e-06,0.0,-3.554e-06,-1.13e-07,0.1925,3.468000888824463
2.96e-06,-5e-09,-3.57e-06,-1.21e-07,0.192,3.692000389099121
2.955e-06,5e-09,-3.569e-06,-1.36e-07,0.1915,3.9010009765625
2.975e-06,2.5e-08,-3.567e-06,-1.73e-07,0.191,4.1070005893707275
2.985e-06,0.0,-3.542e-06,-1.63e-07,0.1905,4.311999797821045
3.015e-06,-5e-09,-3.575e-06,-1.19e-07,0.19,4.523000001907349
2.99e-06,-5e-09,-3.535e-06,-1.56e-07,0.1895,4.728001832962036
2.985e-06,0.0,-3.554e-06,-1.12e-07,0.189,4.936000347137451
3.005e-06,1e-08,-3.537e-06,-1.22e-07,0.1885,5.144000768661499
3.01e-06,4e-08,-3.546e-06,-1.02e-07,0.188,5.349999904632568
3.015e-06,1e-08,-3.552e-06,-1.28e-07,0.1875,5.5550010204315186
3.055e-06,-5e-09,-3.534e-06,-1.36e-07,0.187,5.764001131057739
3.04e-06,0.0,-3.536e-06,-1.25e-07,0.1865,5.972999811172485
3.045e-06,0.0,-3.554e-06,-1.62e-07,0.186,6.178999423980713
3.05e-06,-1e-08,-3.539e-06,-1.55e-07,0.1855,6.403002500534058
3.035e-06,0.0,-3.55e-06,-1.54e-07,0.185,6.6120054721832275
3.06e-06,2.5e-08,-3.51e-06,-1.28e-07,0.1845,6.8190062046051025
3.07e-06,5e-09,-3.527e-06,-1.25e-07,0.184,7.0420002937316895
3.08e-06,1.5e-08,-3.49e-06,-1.18e-07,0.1835,7.284003973007202
3.075e-06,1e-08,-3.49e-06,-1.73e-07,0.183,7.508007049560547
3.06e-06,-5e-09,-3.492e-06,-1.54e-07,0.1825,7.72100305557251
3.085e-06,-5e-09,-3.522e-06,-1.36e-07,0.182,7.937001943588257
3.13e-06,0.0,-3.482e-06,-1.55e-07,0.1815,8.143999814987183
3.11e-06,5e-09,-3.504e-06,-1.51e-07,0.181,8.351001024246216
3.12e-06,-1e-08,-3.535e-06,-1.47e-07,0.1805,8.556006908416748
3.14e-06,-1e-08,-3.551e-06,-1.38e-07,0.18,8.755001068115234
3.15e-06,2e-08,-3.528e-06,-1.75e-07,0.1795,8.959999561309814
3.17e-06,5e-09,-3.517e-06,-1.35e-07,0.179,9.161000728607178
3.17e-06,5e-09,-3.53e-06,-1.5e-07,0.1785,9.358004331588745
3.175e-06,-1e-08,-3.517e-06,-1.25e-07,0.178,9.589001417160034
3.185e-06,1e-08,-3.497e-06,-1.56e-07,0.1775,9.788000345230103
3.195e-06,0.0,-3.502e-06,-1.58e-07,0.177,9.989002227783203
3.21e-06,1e-08,-3.515e-06,-1.54e-07,0.1765,10.187000513076782
3.215e-06,1.5e-08,-3.51e-06,-1.53e-07,0.176,10.383999824523926
3.215e-06,2e-08,-3.501e-06,-1.2e-07,0.17550000000000002,10.582000494003296
3.21e-06,-5e-09,-3.511e-06,-1.31e-07,0.17500000000000002,10.783000707626343
3.23e-06,1e-08,-3.472e-06,-1.57e-07,0.17450000000000002,11.010999917984009
3.265e-06,1e-08,-3.469e-06,-1.89e-07,0.17400000000000002,11.211005687713623
3.28e-06,-1e-08,-3.494e-06,-1.52e-07,0.17350000000000002,11.411000967025757
3.27e-06,0.0,-3.477e-06,-1.41e-07,0.17300000000000001,11.607001304626465
3.255e-06,2e-08,-3.526e-06,-1.43e-07,0.17250000000000001,11.810003280639648
3.28e-06,5e-09,-3.466e-06,-1.51e-07,0.17200000000000001,12.006001234054565
3.305e-06,0.0,-3.48e-06,-1.46e-07,0.1715,12.206000089645386
3.29e-06,-2e-08,-3.521e-06,-1.45e-07,0.171,12.405006408691406
3.31e-06,1e-08,-3.457e-06,-1.4e-07,0.1705,12.606001138687134
3.335e-06,2e-08,-3.431e-06,-1.09e-07,0.17,12.808004140853882
3.38e-06,2.5e-08,-3.435e-06,-1.01e-07,0.1695,13.008000373840332
3.37e-06,-5e-09,-3.461e-06,-1.3e-07,0.169,13.22300100326538
3.385e-06,5e-09,-3.47e-06,-1.49e-07,0.1685,13.432000875473022
3.375e-06,-2e-08,-3.463e-06,-1.61e-07,0.168,13.635999917984009
3.395e-06,5e-09,-3.475e-06,-1.13e-07,0.1675,13.83299970626831
