#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.1 T
#	Lockin AC Gain: 50 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 03:43pm 2021-04-23
#	Sample Name: C5R8_40x80_2x05_PT_R
#	First Harmonic Lockin Sensitivity: 0.002 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
-5.68e-05,-1.05e-07,4.52e-05,3.05e-07,0.0,0.0,1.5570027828216553
-3.5e-05,-9.5e-08,4.78e-05,3e-07,1.0,1.0,4.623000383377075
-9.2e-06,-1.05e-07,4.8e-05,2.8e-07,2.0,2.0,7.701000690460205
1.64e-05,-7.5e-08,4.8e-05,2.95e-07,3.002,3.0,10.748000144958496
4.16e-05,-8e-08,4.82e-05,2.9e-07,4.0005,4.0,13.801000595092773
6.7e-05,-8e-08,4.82e-05,2.95e-07,5.0005,5.0,16.854007244110107
9.18e-05,-3.5e-08,4.84e-05,2.7e-07,6.0,6.0,19.894006967544556
0.0001166,-7.5e-08,4.84e-05,2.55e-07,7.0005,7.0,22.95899987220764
0.000141,-3.5e-08,4.86e-05,2.45e-07,8.0,8.0,26.01699995994568
0.0001652,-1e-07,4.88e-05,2.65e-07,9.0005,9.0,29.069000720977783
0.0001888,-5e-08,4.88e-05,2.4e-07,10.0,10.0,32.11900091171265
0.0002124,-3e-08,4.9e-05,2.75e-07,11.0,11.0,35.155001163482666
