#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 09:32am 2021-04-24
#	RF Frequency: 11 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R8_40x80_2x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
6.665e-06,1.5e-08,5.026e-06,4.68e-07,0.2,0.20800447463989258
7.94e-06,1.5e-08,4.994e-06,1.95e-07,0.1995,0.410999059677124
7.725e-06,2e-08,4.967e-06,2.29e-07,0.199,0.617999792098999
7.315e-06,1.5e-08,4.948e-06,1.95e-07,0.1985,0.8210008144378662
7.545e-06,3e-08,4.98e-06,2.16e-07,0.198,1.0249993801116943
7e-06,1.5e-08,4.957e-06,1.57e-07,0.1975,1.2259995937347412
7.495e-06,3e-08,4.965e-06,2.12e-07,0.197,1.4439997673034668
7.585e-06,2e-08,4.938e-06,2.24e-07,0.1965,1.6539995670318604
7.455e-06,3.5e-08,4.955e-06,2.12e-07,0.196,1.855999231338501
7.825e-06,2e-08,4.974e-06,1.96e-07,0.1955,2.0809993743896484
7.845e-06,1.5e-08,4.922e-06,1.98e-07,0.195,2.2879996299743652
7.405e-06,5e-09,4.963e-06,2.13e-07,0.1945,2.493999481201172
7.65e-06,2e-08,4.974e-06,2.09e-07,0.194,2.721999168395996
7.955e-06,3.5e-08,4.94e-06,1.71e-07,0.1935,2.958000898361206
7.82e-06,4e-08,4.921e-06,1.84e-07,0.193,3.181999683380127
7.865e-06,4e-08,4.901e-06,1.87e-07,0.1925,3.393000364303589
8.065e-06,3.5e-08,4.978e-06,2.11e-07,0.192,3.601999521255493
7.97e-06,3.5e-08,4.929e-06,2.17e-07,0.1915,3.809999942779541
7.94e-06,4e-08,4.901e-06,1.88e-07,0.191,4.020002126693726
7.65e-06,3e-08,4.928e-06,1.62e-07,0.1905,4.222999095916748
7.735e-06,2e-08,4.961e-06,1.68e-07,0.19,4.4549994468688965
7.865e-06,3e-08,4.938e-06,2.02e-07,0.1895,4.659000873565674
