#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 120 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 10:19am 2021-04-24
#	RF Frequency: 11 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R8_40x80_2x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
-3.365e-06,-2.5e-08,3.812e-06,3.12e-07,0.2,0.22199797630310059
-3.26e-06,-1e-08,3.577e-06,1.18e-07,0.1995,0.44899868965148926
-3.23e-06,-3e-08,3.57e-06,1.68e-07,0.199,0.6659979820251465
-3.29e-06,-2e-08,3.565e-06,1.42e-07,0.1985,0.8769991397857666
-3.295e-06,-2.5e-08,3.597e-06,9.7e-08,0.198,1.101999282836914
-3.29e-06,-2.5e-08,3.529e-06,1.53e-07,0.1975,1.310997486114502
-3.395e-06,-3e-08,3.524e-06,1.26e-07,0.197,1.516000747680664
-3.53e-06,-2.5e-08,3.501e-06,1.19e-07,0.1965,1.7199978828430176
-3.505e-06,-2.5e-08,3.485e-06,1.52e-07,0.196,1.9239990711212158
-3.555e-06,-1.5e-08,3.495e-06,1.62e-07,0.1955,2.1290042400360107
-3.6e-06,-3e-08,3.461e-06,1.27e-07,0.195,2.337998628616333
-3.625e-06,-3.5e-08,3.459e-06,1.4e-07,0.1945,2.5449986457824707
-3.595e-06,-2.5e-08,3.473e-06,1.29e-07,0.194,2.752998113632202
-3.68e-06,-3e-08,3.387e-06,1.51e-07,0.1935,2.957998752593994
-3.735e-06,0.0,3.427e-06,1.44e-07,0.193,3.1769981384277344
-3.845e-06,-3.5e-08,3.422e-06,1.38e-07,0.1925,3.385997772216797
-3.835e-06,-3.5e-08,3.399e-06,1.3e-07,0.192,3.5920000076293945
-3.78e-06,-5e-08,3.378e-06,1.38e-07,0.1915,3.8159987926483154
-3.82e-06,-4e-08,3.34e-06,1.35e-07,0.191,4.022998332977295
-3.855e-06,-3e-08,3.343e-06,1.47e-07,0.1905,4.230997800827026
-3.92e-06,-2.5e-08,3.331e-06,1.05e-07,0.19,4.4620041847229
-3.9e-06,-3e-08,3.295e-06,1.36e-07,0.1895,4.705005884170532
-3.985e-06,-3.5e-08,3.293e-06,1.23e-07,0.189,4.918999195098877
-3.99e-06,-4e-08,3.266e-06,9e-08,0.1885,5.1389992237091064
-4.06e-06,-3e-08,3.286e-06,1.38e-07,0.188,5.343998908996582
-4.075e-06,-4e-08,3.207e-06,1.26e-07,0.1875,5.550997972488403
-4.13e-06,-4e-08,3.221e-06,1.26e-07,0.187,5.760998725891113
-4.18e-06,-2.5e-08,3.171e-06,1.25e-07,0.1865,5.967999219894409
-4.26e-06,-4.5e-08,3.194e-06,1.41e-07,0.186,6.1749982833862305
-4.295e-06,-5e-08,3.152e-06,9.3e-08,0.1855,6.378998756408691
-4.235e-06,-4.5e-08,3.178e-06,1.05e-07,0.185,6.5870020389556885
-4.33e-06,-4e-08,3.114e-06,1.33e-07,0.1845,6.793999910354614
-4.38e-06,-2.5e-08,3.108e-06,1.15e-07,0.184,7.010998010635376
-4.47e-06,-3e-08,3.118e-06,1.54e-07,0.1835,7.221999168395996
-4.44e-06,-2.5e-08,3.05e-06,1.19e-07,0.183,7.4269983768463135
-4.45e-06,-2.5e-08,3.06e-06,1.01e-07,0.1825,7.647999286651611
-4.5e-06,-5e-08,3.064e-06,9.2e-08,0.182,7.853999137878418
-4.565e-06,-4e-08,3.003e-06,1.26e-07,0.1815,8.055999517440796
-4.63e-06,-4.5e-08,2.969e-06,1.18e-07,0.181,8.288999795913696
-4.71e-06,-1e-08,2.958e-06,1.51e-07,0.1805,8.495999097824097
-4.79e-06,-3e-08,2.973e-06,9e-08,0.18,8.692999124526978
-4.75e-06,-3e-08,2.95e-06,1.34e-07,0.1795,8.928999185562134
-4.89e-06,-3e-08,2.953e-06,1.31e-07,0.179,9.169005393981934
-4.805e-06,-6e-08,2.925e-06,1.27e-07,0.1785,9.392999649047852
-4.915e-06,-5e-08,2.842e-06,7.9e-08,0.178,9.607999801635742
-4.94e-06,-3e-08,2.855e-06,1.27e-07,0.1775,9.808001041412354
-5.04e-06,-2.5e-08,2.806e-06,7.5e-08,0.177,10.008998394012451
-5.155e-06,-2e-08,2.781e-06,1.43e-07,0.1765,10.21199893951416
-5.17e-06,-4e-08,2.79e-06,7.5e-08,0.176,10.419998168945312
-5.255e-06,-5e-08,2.752e-06,9.2e-08,0.17550000000000002,10.619998455047607
-5.285e-06,-4.5e-08,2.732e-06,9e-08,0.17500000000000002,10.844999074935913
-5.375e-06,-6.5e-08,2.711e-06,7.1e-08,0.17450000000000002,11.045998334884644
-5.41e-06,-4e-08,2.664e-06,1.11e-07,0.17400000000000002,11.244998216629028
-5.51e-06,-2.5e-08,2.637e-06,1.15e-07,0.17350000000000002,11.473999261856079
-5.635e-06,-3.5e-08,2.606e-06,8.7e-08,0.17300000000000001,11.670998096466064
-5.65e-06,-2e-08,2.604e-06,7.7e-08,0.17250000000000001,11.869000673294067
-5.705e-06,-5.5e-08,2.568e-06,7.4e-08,0.17200000000000001,12.067999362945557
-5.76e-06,-5.5e-08,2.527e-06,7.5e-08,0.1715,12.264997959136963
-5.87e-06,-3e-08,2.507e-06,1.36e-07,0.171,12.464998483657837
-5.98e-06,-3.5e-08,2.473e-06,9.9e-08,0.1705,12.661998510360718
-6e-06,-3e-08,2.469e-06,7.7e-08,0.17,12.861998558044434
-6.075e-06,-4.5e-08,2.435e-06,8.7e-08,0.1695,13.081998586654663
-6.155e-06,-2e-08,2.413e-06,9e-08,0.169,13.281999826431274
-6.205e-06,-3.5e-08,2.385e-06,9.5e-08,0.1685,13.480997800827026
-6.285e-06,-4.5e-08,2.312e-06,9.5e-08,0.168,13.68199896812439
-6.36e-06,-4e-08,2.318e-06,8.8e-08,0.1675,13.882997989654541
-6.42e-06,-3.5e-08,2.304e-06,9.3e-08,0.167,14.081997871398926
-6.49e-06,-3e-08,2.236e-06,6.7e-08,0.1665,14.28199815750122
-6.585e-06,-3.5e-08,2.22e-06,7.8e-08,0.166,14.484004974365234
-6.74e-06,-4.5e-08,2.185e-06,8.7e-08,0.1655,14.686005592346191
-6.69e-06,-7e-08,2.113e-06,8e-08,0.165,14.889999628067017
-6.855e-06,-5.5e-08,2.106e-06,7.5e-08,0.1645,15.087998628616333
-6.95e-06,-6.5e-08,2.01e-06,7.3e-08,0.164,15.314998388290405
-7.02e-06,-6e-08,2.007e-06,2e-09,0.1635,15.516998529434204
-7.135e-06,-5e-08,2.007e-06,9.4e-08,0.163,15.74499797821045
-7.175e-06,-3.5e-08,1.927e-06,7.3e-08,0.1625,15.956999063491821
-7.3e-06,-6e-08,1.869e-06,6.3e-08,0.162,16.153998374938965
-7.35e-06,-5.5e-08,1.837e-06,7.5e-08,0.1615,16.35099768638611
-7.47e-06,-6e-08,1.821e-06,6.3e-08,0.161,16.552002906799316
-7.52e-06,-5.5e-08,1.763e-06,6.4e-08,0.1605,16.749997854232788
-7.665e-06,-6.5e-08,1.724e-06,3.7e-08,0.16,16.950998067855835
-7.78e-06,-7e-08,1.647e-06,6.7e-08,0.1595,17.14999747276306
-7.86e-06,-6e-08,1.605e-06,2.9e-08,0.159,17.351998329162598
-8.095e-06,-1e-07,1.554e-06,4.5e-08,0.1585,17.554998636245728
-8.195e-06,-4.5e-08,1.557e-06,5e-08,0.158,17.754998207092285
-8.305e-06,-6.5e-08,1.481e-06,5.1e-08,0.1575,17.95599889755249
-8.435e-06,-6e-08,1.426e-06,5.4e-08,0.157,18.158998250961304
-8.595e-06,-6.5e-08,1.372e-06,5.3e-08,0.1565,18.35900330543518
