#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 09:32am 2021-04-24
#	RF Frequency: 11.5 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R8_40x80_2x05_Pt_R
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
7.74e-06,0.0,1.7121e-05,5.29e-07,0.2,0.19100069999694824
8.345e-06,5e-09,1.7098e-05,6.6e-07,0.1995,0.39299964904785156
8.055e-06,-5e-09,1.7078e-05,6.33e-07,0.199,0.5969994068145752
8.34e-06,2.5e-08,1.7063e-05,6.66e-07,0.1985,0.7990002632141113
8.425e-06,5e-09,1.711e-05,6.86e-07,0.198,1.0009996891021729
8.545e-06,1e-08,1.7066e-05,7.07e-07,0.1975,1.2089998722076416
8.52e-06,5e-09,1.7064e-05,6.78e-07,0.197,1.4370002746582031
8.455e-06,3e-08,1.7079e-05,6.53e-07,0.1965,1.6410002708435059
8.7e-06,0.0,1.7053e-05,6.5e-07,0.196,1.8470001220703125
8.6e-06,1.5e-08,1.7021e-05,6.83e-07,0.1955,2.0510001182556152
8.43e-06,2e-08,1.7075e-05,6.54e-07,0.195,2.257005214691162
8.335e-06,5e-09,1.7051e-05,6.43e-07,0.1945,2.4620001316070557
8.44e-06,1.5e-08,1.6987e-05,6.79e-07,0.194,2.6659998893737793
8.61e-06,5e-09,1.7031e-05,6.95e-07,0.1935,2.8690004348754883
8.69e-06,1.5e-08,1.701e-05,6.63e-07,0.193,3.0830001831054688
8.59e-06,5e-09,1.7007e-05,6.69e-07,0.1925,3.303999423980713
8.6e-06,5e-09,1.7028e-05,6.59e-07,0.192,3.539003610610962
8.69e-06,2e-08,1.7012e-05,6.53e-07,0.1915,3.7720000743865967
8.72e-06,1.5e-08,1.6979e-05,6.77e-07,0.191,3.9870059490203857
8.83e-06,1e-08,1.6984e-05,6.55e-07,0.1905,4.189001798629761
8.75e-06,1e-08,1.6967e-05,6.66e-07,0.19,4.399003028869629
8.725e-06,1e-08,1.701e-05,6.52e-07,0.1895,4.606000185012817
8.85e-06,5e-09,1.6974e-05,6.79e-07,0.189,4.815000057220459
8.92e-06,5e-09,1.6969e-05,6.47e-07,0.1885,5.020999908447266
9.05e-06,2e-08,1.697e-05,6.47e-07,0.188,5.230000019073486
9.21e-06,2.5e-08,1.6956e-05,6.81e-07,0.1875,5.433999300003052
9.225e-06,0.0,1.6926e-05,6.2e-07,0.187,5.641000509262085
9.16e-06,1.5e-08,1.694e-05,6.64e-07,0.1865,5.8490002155303955
9.145e-06,1e-08,1.6944e-05,6.91e-07,0.186,6.054000377655029
9.115e-06,2e-08,1.6966e-05,6.6e-07,0.1855,6.277999401092529
9.155e-06,2e-08,1.694e-05,6.58e-07,0.185,6.48900032043457
9.29e-06,3e-08,1.6918e-05,6.52e-07,0.1845,6.693000793457031
