#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 08:36am 2021-04-24
#	RF Frequency: 11.5 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R8_40x80_6x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
6.39e-06,5e-09,3.448e-06,-2.4e-08,0.2,0.18999981880187988
6.425e-06,3.5e-08,3.351e-06,1.34e-07,0.1995,0.4080049991607666
6.445e-06,0.0,3.37e-06,1.07e-07,0.199,0.609999418258667
6.44e-06,-5e-09,3.333e-06,1.05e-07,0.1985,0.8149991035461426
6.465e-06,-5e-09,3.321e-06,1.44e-07,0.198,1.0199999809265137
6.52e-06,3e-08,3.344e-06,1.21e-07,0.1975,1.2249987125396729
6.54e-06,0.0,3.314e-06,1.23e-07,0.197,1.4310014247894287
6.555e-06,5e-08,3.312e-06,1.33e-07,0.1965,1.6340010166168213
6.605e-06,5e-08,3.329e-06,1.07e-07,0.196,1.8399994373321533
6.67e-06,-1e-08,3.295e-06,9.5e-08,0.1955,2.04699969291687
6.64e-06,0.0,3.343e-06,1.05e-07,0.195,2.2520012855529785
6.67e-06,0.0,3.311e-06,1.39e-07,0.1945,2.4569995403289795
6.74e-06,5e-09,3.328e-06,1.71e-07,0.194,2.661999225616455
6.75e-06,5e-09,3.272e-06,1.46e-07,0.1935,2.8690052032470703
6.81e-06,3e-08,3.305e-06,1.3e-07,0.193,3.0709993839263916
6.855e-06,4e-08,3.285e-06,1.17e-07,0.1925,3.2779996395111084
6.895e-06,3e-08,3.298e-06,1.36e-07,0.192,3.48099946975708
6.92e-06,4e-08,3.292e-06,1.13e-07,0.1915,3.684999704360962
6.96e-06,4e-08,3.305e-06,1.27e-07,0.191,3.8899998664855957
7.01e-06,3e-08,3.284e-06,1.34e-07,0.1905,4.103999853134155
7.04e-06,0.0,3.276e-06,1.22e-07,0.19,4.311002731323242
7.08e-06,1e-08,3.248e-06,1.31e-07,0.1895,4.5139994621276855
7.135e-06,2.5e-08,3.261e-06,1.43e-07,0.189,4.742998838424683
7.145e-06,3.5e-08,3.294e-06,1.3e-07,0.1885,4.951000213623047
7.205e-06,4e-08,3.257e-06,1.01e-07,0.188,5.152999639511108
7.225e-06,2.5e-08,3.293e-06,1.29e-07,0.1875,5.3819990158081055
7.3e-06,2e-08,3.283e-06,9.9e-08,0.187,5.585005044937134
7.31e-06,3e-08,3.234e-06,1.28e-07,0.1865,5.814005613327026
7.38e-06,5e-09,3.23e-06,1.1e-07,0.186,6.041999101638794
7.4e-06,3e-08,3.263e-06,1.21e-07,0.1855,6.26300048828125
7.48e-06,5.5e-08,3.269e-06,1.26e-07,0.185,6.472999334335327
7.505e-06,4e-08,3.244e-06,1.6e-07,0.1845,6.684999227523804
7.525e-06,3.5e-08,3.233e-06,1.11e-07,0.184,6.889999628067017
7.585e-06,1.5e-08,3.236e-06,9.8e-08,0.1835,7.092004776000977
7.645e-06,0.0,3.239e-06,1.09e-07,0.183,7.301998853683472
7.685e-06,3e-08,3.228e-06,1.13e-07,0.1825,7.505999803543091
7.725e-06,4e-08,3.227e-06,1.42e-07,0.182,7.72999906539917
7.81e-06,3.5e-08,3.232e-06,1.02e-07,0.1815,7.938000440597534
7.845e-06,5e-08,3.181e-06,1.17e-07,0.181,8.153998851776123
7.88e-06,3.5e-08,3.229e-06,1.44e-07,0.1805,8.387999534606934
7.955e-06,2e-08,3.224e-06,1.47e-07,0.18,8.582999467849731
7.99e-06,1e-08,3.188e-06,1.12e-07,0.1795,8.789004564285278
