#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.1 T
#	Lockin AC Gain: 50 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 04:36pm 2021-04-23
#	Sample Name: C5R9_40x80_2x05_PT_L
#	First Harmonic Lockin Sensitivity: 0.002 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
8.6e-06,0.0,3.16e-05,1.55e-07,0.0,0.0,1.5689992904663086
3.88e-05,-3e-08,3.36e-05,1.95e-07,1.0005,1.0,4.64099907875061
6.88e-05,1.5e-08,3.38e-05,1.85e-07,2.0045,2.0,7.693999528884888
9.84e-05,-1.5e-08,3.38e-05,2.2e-07,3.0,3.0,10.747999429702759
0.000128,-5e-09,3.4e-05,2.55e-07,4.0005,4.0,13.804999113082886
0.0001574,1.5e-08,3.42e-05,2.55e-07,4.9995,5.0,16.852999687194824
0.0001866,2e-08,3.44e-05,2.55e-07,6.0,6.0,19.89099907875061
0.0002156,-5e-09,3.46e-05,2.7e-07,7.0,7.0,22.942999362945557
0.0002444,2e-08,3.46e-05,2.85e-07,8.0015,8.0,25.996000051498413
0.0002728,2.5e-08,3.48e-05,3.1e-07,9.002,9.0,29.030999422073364
0.0003012,-1.5e-08,3.5e-05,3.15e-07,10.0,10.0,32.09999895095825
0.000329,1e-08,3.5e-05,3.05e-07,11.001,11.0,35.150999784469604
0.0003566,0.0,3.52e-05,3.15e-07,12.002,12.0,38.202998638153076
0.0003838,2e-08,3.54e-05,3.25e-07,13.001,13.0,41.23900032043457
0.0004106,3e-08,3.56e-05,3.75e-07,14.0,14.0,44.27899932861328
0.000437,3.5e-08,3.56e-05,3.9e-07,15.0005,15.0,47.34300422668457
0.0004628,2e-08,3.58e-05,3.95e-07,16.0,16.0,50.400002241134644
0.0004882,0.0,3.6e-05,4.1e-07,17.0,17.0,53.43500018119812
0.000513,3.5e-08,3.6e-05,4e-07,18.0,18.0,56.46699929237366
0.0005374,5e-08,3.62e-05,4.2e-07,19.0,19.0,59.520999908447266
0.0005612,3.5e-08,3.64e-05,4.25e-07,20.0,20.0,62.56899952888489
0.0005844,3.5e-08,3.64e-05,4.05e-07,21.0,21.0,65.62199997901917
0.000607,2e-08,3.66e-05,4.1e-07,22.0,22.0,68.65700173377991
0.000629,5e-08,3.66e-05,4.1e-07,23.0,23.0,71.70799946784973
0.0006502,6e-08,3.68e-05,4e-07,24.0,24.0,74.74500012397766
0.0006708,4.5e-08,3.68e-05,4.2e-07,25.0,25.0,77.79700016975403
0.0006906,7e-08,3.7e-05,4.4e-07,26.0,26.0,80.83299922943115
0.0007098,6e-08,3.7e-05,4.25e-07,27.0,27.0,83.88700032234192
0.0007282,5e-08,3.72e-05,4.55e-07,28.0,28.0,86.93399858474731
0.0007458,6e-08,3.72e-05,4.25e-07,29.0,29.0,89.98900008201599
0.0007628,8.5e-08,3.72e-05,4.35e-07,30.0,30.0,93.0439989566803
0.0007788,4.5e-08,3.74e-05,4.45e-07,31.0,31.0,96.09799933433533
