#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 45 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: False
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 07:02pm 2021-04-23
#	RF Frequency: 8.5 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R9_40x80_6x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
5.425e-06,2.5e-08,3.595e-06,1.99e-07,0.2,0.19800353050231934
5.44e-06,5e-08,3.524e-06,1.26e-07,0.1995,0.44699859619140625
5.405e-06,2e-08,3.498e-06,1.39e-07,0.199,0.6519994735717773
5.4e-06,1e-08,3.507e-06,1.32e-07,0.1985,0.8539986610412598
5.37e-06,3.5e-08,3.492e-06,1.34e-07,0.198,1.0920000076293945
5.41e-06,2.5e-08,3.491e-06,1.47e-07,0.1975,1.2990012168884277
5.43e-06,3.5e-08,3.475e-06,1.43e-07,0.197,1.5009994506835938
5.395e-06,5e-08,3.5e-06,1.18e-07,0.1965,1.734999179840088
5.385e-06,4e-08,3.493e-06,1.54e-07,0.196,1.9419994354248047
5.395e-06,1.5e-08,3.497e-06,1.16e-07,0.1955,2.1499991416931152
5.4e-06,3e-08,3.495e-06,1.46e-07,0.195,2.3789994716644287
5.4e-06,3e-08,3.48e-06,1.51e-07,0.1945,2.600998878479004
5.445e-06,3e-08,3.487e-06,1.46e-07,0.194,2.8459994792938232
5.46e-06,3e-08,3.484e-06,1.63e-07,0.1935,3.074005603790283
5.435e-06,1e-08,3.496e-06,1.52e-07,0.193,3.282999277114868
5.44e-06,3e-08,3.503e-06,1.38e-07,0.1925,3.4940013885498047
5.5e-06,1.5e-08,3.491e-06,1.65e-07,0.192,3.7019994258880615
5.535e-06,3.5e-08,3.518e-06,1.78e-07,0.1915,3.9069998264312744
5.57e-06,2.5e-08,3.512e-06,1.36e-07,0.191,4.112000465393066
5.575e-06,4e-08,3.477e-06,1.39e-07,0.1905,4.315999269485474
5.59e-06,4e-08,3.481e-06,1.36e-07,0.19,4.52099871635437
5.615e-06,3e-08,3.482e-06,1.45e-07,0.1895,4.726999998092651
5.635e-06,1e-08,3.493e-06,1.48e-07,0.189,4.9349987506866455
5.625e-06,3e-08,3.49e-06,1.3e-07,0.1885,5.1650002002716064
5.645e-06,2.5e-08,3.489e-06,1.2e-07,0.188,5.367000341415405
5.8e-06,4.5e-08,3.51e-06,1.17e-07,0.1875,5.573998928070068
5.87e-06,3.5e-08,3.504e-06,1.37e-07,0.187,5.780999183654785
5.885e-06,4e-08,3.506e-06,1.52e-07,0.1865,5.983999490737915
5.845e-06,1.5e-08,3.53e-06,1.39e-07,0.186,6.210999488830566
5.85e-06,4e-08,3.468e-06,1.38e-07,0.1855,6.41499924659729
5.905e-06,2e-08,3.546e-06,1.34e-07,0.185,6.618999004364014
5.945e-06,1.5e-08,3.528e-06,8.6e-08,0.1845,6.849999189376831
5.905e-06,3e-08,3.492e-06,1.21e-07,0.184,7.074003219604492
5.875e-06,5e-08,3.508e-06,1.49e-07,0.1835,7.322999000549316
5.885e-06,3.5e-08,3.503e-06,1.36e-07,0.183,7.54699969291687
5.88e-06,4e-08,3.501e-06,1.18e-07,0.1825,7.752999305725098
5.88e-06,4.5e-08,3.501e-06,1.38e-07,0.182,7.959999084472656
5.885e-06,3e-08,3.474e-06,1.25e-07,0.1815,8.157999038696289
5.995e-06,5.5e-08,3.509e-06,1.26e-07,0.181,8.361999034881592
5.93e-06,3e-08,3.506e-06,1.28e-07,0.1805,8.568000793457031
5.945e-06,2.5e-08,3.489e-06,1.22e-07,0.18,8.768999338150024
5.93e-06,2e-08,3.464e-06,1.48e-07,0.1795,8.975999355316162
5.975e-06,6e-08,3.47e-06,1.45e-07,0.179,9.173999786376953
5.975e-06,6e-08,3.497e-06,1.46e-07,0.1785,9.40799880027771
6.005e-06,3e-08,3.465e-06,1.26e-07,0.178,9.608999967575073
6.005e-06,5e-08,3.485e-06,1.3e-07,0.1775,9.828000783920288
6.005e-06,4e-08,3.473e-06,1.64e-07,0.177,10.046998739242554
5.99e-06,3.5e-08,3.474e-06,1.43e-07,0.1765,10.246999025344849
6.015e-06,5e-08,3.485e-06,1.28e-07,0.176,10.441998958587646
6.035e-06,3e-08,3.478e-06,1.28e-07,0.17550000000000002,10.638999223709106
6.07e-06,4.5e-08,3.455e-06,1.33e-07,0.17500000000000002,10.834001541137695
6.08e-06,3.5e-08,3.525e-06,1.52e-07,0.17450000000000002,11.031001329421997
6.1e-06,3e-08,3.486e-06,1.06e-07,0.17400000000000002,11.225000619888306
6.14e-06,4.5e-08,3.466e-06,1.55e-07,0.17350000000000002,11.420999765396118
6.13e-06,3e-08,3.453e-06,1.16e-07,0.17300000000000001,11.621999502182007
6.15e-06,2.5e-08,3.466e-06,1.58e-07,0.17250000000000001,11.826000928878784
6.115e-06,3e-08,3.461e-06,1.3e-07,0.17200000000000001,12.021004438400269
6.135e-06,3e-08,3.469e-06,1.49e-07,0.1715,12.21899962425232
6.125e-06,4e-08,3.472e-06,1.64e-07,0.171,12.422999620437622
6.16e-06,6e-08,3.463e-06,1.29e-07,0.1705,12.624999523162842
6.215e-06,3e-08,3.46e-06,1.26e-07,0.17,12.827999114990234
6.275e-06,3.5e-08,3.434e-06,1.3e-07,0.1695,13.03700041770935
6.285e-06,3e-08,3.45e-06,1.18e-07,0.169,13.241999864578247
6.32e-06,5e-08,3.445e-06,1.52e-07,0.1685,13.445000410079956
6.33e-06,3e-08,3.413e-06,1.28e-07,0.168,13.642005920410156
6.375e-06,5.5e-08,3.465e-06,1.4e-07,0.1675,13.875999927520752
6.375e-06,3.5e-08,3.442e-06,1.19e-07,0.167,14.072001218795776
6.395e-06,3e-08,3.434e-06,1.65e-07,0.1665,14.267998933792114
6.445e-06,5.5e-08,3.44e-06,1.3e-07,0.166,14.517998695373535
6.515e-06,5.5e-08,3.461e-06,1.26e-07,0.1655,14.71500039100647
6.52e-06,4e-08,3.465e-06,1.16e-07,0.165,14.910999774932861
6.495e-06,2.5e-08,3.45e-06,1.33e-07,0.1645,15.10699987411499
6.505e-06,4e-08,3.485e-06,1.53e-07,0.164,15.299998998641968
6.505e-06,3e-08,3.445e-06,1.11e-07,0.1635,15.4979989528656
6.52e-06,5e-08,3.449e-06,1.33e-07,0.163,15.69599962234497
6.565e-06,3.5e-08,3.459e-06,1.38e-07,0.1625,15.892999410629272
6.58e-06,3e-08,3.447e-06,1.4e-07,0.162,16.091001987457275
6.6e-06,1e-08,3.422e-06,1.18e-07,0.1615,16.294000148773193
6.6e-06,4.5e-08,3.451e-06,1.2e-07,0.161,16.488998889923096
6.63e-06,6e-08,3.444e-06,1.79e-07,0.1605,16.689000606536865
6.605e-06,3e-08,3.469e-06,1.35e-07,0.16,16.89199995994568
6.615e-06,4.5e-08,3.453e-06,9.7e-08,0.1595,17.091999053955078
6.655e-06,4.5e-08,3.427e-06,1.12e-07,0.159,17.302009105682373
6.695e-06,5e-08,3.449e-06,1.43e-07,0.1585,17.499998807907104
6.7e-06,4.5e-08,3.444e-06,1.64e-07,0.158,17.714999198913574
6.735e-06,3e-08,3.428e-06,1.44e-07,0.1575,17.91399884223938
6.745e-06,5e-08,3.432e-06,1.4e-07,0.157,18.12399911880493
6.745e-06,5e-08,3.413e-06,1.43e-07,0.1565,18.35399866104126
6.79e-06,5e-08,3.409e-06,1.28e-07,0.156,18.553999185562134
6.82e-06,3e-08,3.45e-06,1.34e-07,0.1555,18.74799919128418
6.875e-06,4.5e-08,3.431e-06,1.31e-07,0.155,18.947999000549316
6.865e-06,5e-08,3.424e-06,1.22e-07,0.1545,19.14800000190735
6.865e-06,6.5e-08,3.428e-06,1.42e-07,0.154,19.344998836517334
6.925e-06,5.5e-08,3.412e-06,1.4e-07,0.1535,19.541998624801636
6.97e-06,5.5e-08,3.43e-06,1.18e-07,0.153,19.74399995803833
7.015e-06,1.5e-08,3.439e-06,1.26e-07,0.1525,19.943999767303467
7.025e-06,6.5e-08,3.404e-06,1.26e-07,0.152,20.14699912071228
7.055e-06,6e-08,3.425e-06,1.33e-07,0.1515,20.345998525619507
7.07e-06,7e-08,3.413e-06,1.44e-07,0.151,20.551002979278564
7.115e-06,6e-08,3.431e-06,1.26e-07,0.1505,20.749998807907104
7.135e-06,4e-08,3.428e-06,1.49e-07,0.15,20.95599889755249
7.155e-06,3.5e-08,3.42e-06,1.22e-07,0.1495,21.155999183654785
7.135e-06,8e-08,3.388e-06,1.27e-07,0.149,21.36499857902527
7.205e-06,4e-08,3.412e-06,1.23e-07,0.1485,21.562000036239624
7.235e-06,7e-08,3.385e-06,1.23e-07,0.148,21.7649986743927
7.255e-06,5.5e-08,3.41e-06,1.45e-07,0.1475,21.96600031852722
7.33e-06,5e-08,3.42e-06,1.27e-07,0.147,22.186003923416138
7.355e-06,4.5e-08,3.384e-06,1.41e-07,0.1465,22.384998559951782
7.375e-06,5.5e-08,3.398e-06,1.31e-07,0.146,22.582998991012573
7.41e-06,4.5e-08,3.39e-06,1.24e-07,0.1455,22.782999992370605
7.44e-06,5.5e-08,3.394e-06,1.13e-07,0.145,22.988001823425293
7.48e-06,5e-08,3.397e-06,1.56e-07,0.1445,23.19200038909912
7.53e-06,4.5e-08,3.403e-06,1.23e-07,0.14400000000000002,23.396998643875122
7.55e-06,6.5e-08,3.403e-06,1.46e-07,0.14350000000000002,23.59799861907959
7.585e-06,6e-08,3.394e-06,1.42e-07,0.14300000000000002,23.80599880218506
7.66e-06,5.5e-08,3.394e-06,1.43e-07,0.14250000000000002,24.00499963760376
7.735e-06,6.5e-08,3.376e-06,1.32e-07,0.14200000000000002,24.201999187469482
7.805e-06,5e-08,3.375e-06,1.56e-07,0.14150000000000001,24.400999307632446
7.82e-06,4e-08,3.383e-06,1.4e-07,0.14100000000000001,24.603999376296997
7.915e-06,6e-08,3.407e-06,1.22e-07,0.1405,24.814000129699707
7.945e-06,7e-08,3.364e-06,1.38e-07,0.14,25.009999752044678
8.005e-06,4.5e-08,3.38e-06,1.42e-07,0.1395,25.213998317718506
8.005e-06,5.5e-08,3.369e-06,1.38e-07,0.139,25.42400050163269
8.01e-06,5e-08,3.363e-06,1.49e-07,0.1385,25.626999139785767
8.11e-06,7e-08,3.369e-06,1.35e-07,0.138,25.832998752593994
8.17e-06,6.5e-08,3.381e-06,1.32e-07,0.1375,26.02799940109253
8.21e-06,5e-08,3.376e-06,1.32e-07,0.137,26.233999252319336
8.245e-06,7.5e-08,3.384e-06,1.24e-07,0.1365,26.472001314163208
8.245e-06,6.5e-08,3.357e-06,1.28e-07,0.136,26.667998790740967
8.28e-06,4e-08,3.357e-06,1.26e-07,0.1355,26.868000268936157
8.365e-06,7e-08,3.357e-06,1.04e-07,0.135,27.065000295639038
8.42e-06,4.5e-08,3.372e-06,1.33e-07,0.1345,27.291999578475952
8.45e-06,5.5e-08,3.349e-06,1.41e-07,0.134,27.488999128341675
8.5e-06,6e-08,3.375e-06,1.49e-07,0.1335,27.685999631881714
8.535e-06,4e-08,3.323e-06,1.52e-07,0.133,27.88399887084961
8.595e-06,6e-08,3.351e-06,1.39e-07,0.1325,28.081000804901123
8.69e-06,4e-08,3.348e-06,1.08e-07,0.132,28.27799916267395
8.73e-06,6.5e-08,3.327e-06,1.23e-07,0.1315,28.474998950958252
8.795e-06,6e-08,3.344e-06,1.5e-07,0.131,28.674999713897705
8.86e-06,5.5e-08,3.346e-06,1.31e-07,0.1305,28.876999139785767
8.895e-06,8e-08,3.308e-06,1.23e-07,0.13,29.077999114990234
8.94e-06,5.5e-08,3.29e-06,1.58e-07,0.1295,29.281999349594116
9.015e-06,5.5e-08,3.309e-06,9.9e-08,0.129,29.481999397277832
9.07e-06,6.5e-08,3.297e-06,1.34e-07,0.1285,29.683000087738037
9.17e-06,7e-08,3.331e-06,1.51e-07,0.128,29.89099931716919
9.255e-06,8.5e-08,3.311e-06,1.44e-07,0.1275,30.099998950958252
9.31e-06,7e-08,3.331e-06,1.44e-07,0.127,30.3009991645813
9.37e-06,9.5e-08,3.311e-06,1.26e-07,0.1265,30.500999450683594
9.44e-06,8e-08,3.333e-06,1.36e-07,0.126,30.707000255584717
9.495e-06,5.5e-08,3.289e-06,1.56e-07,0.1255,30.904999494552612
9.575e-06,9e-08,3.308e-06,1.52e-07,0.125,31.13299822807312
9.62e-06,7.5e-08,3.317e-06,1.27e-07,0.1245,31.332999229431152
9.69e-06,1.05e-07,3.279e-06,1.21e-07,0.124,31.529998540878296
9.78e-06,8.5e-08,3.292e-06,1.46e-07,0.1235,31.727998971939087
9.83e-06,9e-08,3.3e-06,1.35e-07,0.123,31.927999258041382
9.895e-06,8e-08,3.265e-06,1.16e-07,0.1225,32.131999254226685
9.985e-06,1.1e-07,3.282e-06,1.36e-07,0.122,32.32899880409241
1.0055e-05,8.5e-08,3.277e-06,1.32e-07,0.1215,32.531999349594116
1.0155e-05,8.5e-08,3.277e-06,1.1e-07,0.121,32.73200011253357
1.023e-05,1.05e-07,3.269e-06,1.1e-07,0.1205,32.938002586364746
1.0255e-05,7.5e-08,3.265e-06,1.21e-07,0.12,33.141000509262085
1.0385e-05,8.5e-08,3.273e-06,1.55e-07,0.11950000000000001,33.34999990463257
1.0435e-05,7.5e-08,3.255e-06,1.43e-07,0.11900000000000001,33.54999899864197
1.0515e-05,8.5e-08,3.278e-06,1.24e-07,0.11850000000000001,33.78000020980835
1.0585e-05,8.5e-08,3.25e-06,1.22e-07,0.11800000000000001,33.980000019073486
1.0685e-05,1.05e-07,3.219e-06,1.1e-07,0.11750000000000001,34.1800012588501
1.0785e-05,8e-08,3.268e-06,1.33e-07,0.117,34.38099908828735
1.0865e-05,9.5e-08,3.265e-06,1.19e-07,0.1165,34.5790011882782
1.095e-05,8e-08,3.262e-06,1.42e-07,0.116,34.77999973297119
1.104e-05,1e-07,3.229e-06,1.31e-07,0.1155,34.97799873352051
1.1135e-05,9e-08,3.227e-06,1.09e-07,0.115,35.182005643844604
