#Procedure: <daedalus.procedures.STFMRProcedure.PHSTFMRProcedure>
#Parameters:
#	AM Depth: 100
#	AM Frequency: 1713 Hz
#	Magnet Calibration Filename: ./calibrations/daedalus
#	DC Bias Current: 0 A
#	Delay: 0.15 s
#	Magnetic Field Azimuthal Angle: 90 deg
#	Magnetic Field Polar Angle: 0 deg
#	End Magnetic Field: 0.2 T
#	Start Magnetic Field: 0 T
#	Magnetic Field Step: 0.0005 T
#	Swap Field: True
#	Longitudinal Gain: 40 dB
#	Transverse Gain: 40 dB
#	Longitudinal Lockin Phase: 0 deg
#	Transverse Lockin Phase: 0 deg
#	Longitudinal Lockin Sense Mode: A-B
#	Transverse Lockin Sense Mode: A-B
#	Time Queued: 07:03pm 2021-04-23
#	RF Frequency: 11 GHz
#	RF Power: 15 dBmW
#	Sample Name: C5R9_40x80_6x05_Pt_L
#	Longitudinal Lockin Sensitivity: 5e-05 V
#	Transverse Lockin Sensitivity: 1e-05 V
#	Probe Station Name: daedalus
#	Longitudinal Lockin Time Constant: 0.05 s
#	Transverse Lockin Time Constant: 0.05 s
#	Use Bias Current: False
#Data:
X,Y,Xt,Yt,field_strength,elapsed_time
8.5e-07,-4e-08,-1.381e-06,-5.1e-08,0.2,0.21000432968139648
8.25e-07,-2.5e-08,-1.296e-06,-7.2e-08,0.1995,0.479001522064209
8.6e-07,-3e-08,-1.331e-06,-6.2e-08,0.199,0.6829996109008789
8.35e-07,-2e-08,-1.34e-06,-4.9e-08,0.1985,0.8990001678466797
8.4e-07,-3e-08,-1.348e-06,-4.2e-08,0.198,1.2590012550354004
8.3e-07,-2.5e-08,-1.376e-06,-5.6e-08,0.1975,1.4780030250549316
8.35e-07,-4e-08,-1.379e-06,-6.7e-08,0.197,1.7020013332366943
8.55e-07,-3e-08,-1.376e-06,-8.8e-08,0.1965,1.9059996604919434
8.5e-07,-4e-08,-1.384e-06,-7.2e-08,0.196,2.116002321243286
8.55e-07,-3e-08,-1.416e-06,-8.5e-08,0.1955,2.320005416870117
8.4e-07,-2.5e-08,-1.415e-06,-4.3e-08,0.195,2.533999443054199
8.35e-07,-4e-08,-1.453e-06,-6e-08,0.1945,2.7430009841918945
8.35e-07,-4e-08,-1.424e-06,-5.4e-08,0.194,2.949000120162964
8.45e-07,-4e-08,-1.482e-06,-4.4e-08,0.1935,3.1740000247955322
8.45e-07,-4.5e-08,-1.471e-06,-9.4e-08,0.193,3.379999876022339
8.55e-07,-4.5e-08,-1.48e-06,-5.9e-08,0.1925,3.5839993953704834
8.55e-07,-3e-08,-1.487e-06,-3.8e-08,0.192,3.812999725341797
8.45e-07,-3e-08,-1.54e-06,-8.1e-08,0.1915,4.0189995765686035
8.4e-07,-4e-08,-1.515e-06,-5.8e-08,0.191,4.227001428604126
8.5e-07,-4.5e-08,-1.536e-06,-7.7e-08,0.1905,4.450999736785889
8.65e-07,-3e-08,-1.566e-06,-2.9e-08,0.19,4.659000873565674
8.4e-07,-3e-08,-1.606e-06,-7.5e-08,0.1895,4.8810036182403564
8.55e-07,-4e-08,-1.604e-06,-7.6e-08,0.189,5.136001110076904
8.5e-07,-5e-09,-1.612e-06,-7.2e-08,0.1885,5.351000547409058
8.6e-07,-4.5e-08,-1.658e-06,-9.1e-08,0.188,5.560007810592651
8.45e-07,-6e-08,-1.641e-06,-8e-08,0.1875,5.769004821777344
8.4e-07,-5.5e-08,-1.668e-06,-5.9e-08,0.187,5.976000785827637
8.65e-07,-7e-08,-1.69e-06,-5.1e-08,0.1865,6.180999755859375
8.5e-07,-4e-08,-1.716e-06,-7.3e-08,0.186,6.418004989624023
8.8e-07,-5.5e-08,-1.715e-06,-2.6e-08,0.1855,6.624000787734985
8.5e-07,-5e-08,-1.738e-06,-8.7e-08,0.185,6.828000068664551
8.6e-07,-4.5e-08,-1.73e-06,-7.9e-08,0.1845,7.0320000648498535
8.65e-07,-4.5e-08,-1.764e-06,-7.2e-08,0.184,7.237000226974487
8.55e-07,-3.5e-08,-1.769e-06,-8.7e-08,0.1835,7.441999912261963
8.55e-07,-5e-08,-1.789e-06,-6.2e-08,0.183,7.6469995975494385
8.55e-07,-3e-08,-1.812e-06,-8.7e-08,0.1825,7.856001377105713
8.7e-07,-4.5e-08,-1.808e-06,-8.6e-08,0.182,8.061002254486084
8.6e-07,-5e-08,-1.862e-06,-4.6e-08,0.1815,8.286000967025757
8.45e-07,-4.5e-08,-1.9e-06,-7.3e-08,0.181,8.4920015335083
8.6e-07,-4e-08,-1.906e-06,-9.7e-08,0.1805,8.696001529693604
8.85e-07,-4e-08,-1.904e-06,-1.11e-07,0.18,8.925001382827759
8.65e-07,-4.5e-08,-1.935e-06,-1.09e-07,0.1795,9.167999505996704
8.75e-07,-4.5e-08,-1.974e-06,-9.5e-08,0.179,9.38100004196167
8.55e-07,-4e-08,-1.991e-06,-7.3e-08,0.1785,9.613003253936768
8.65e-07,-3e-08,-1.991e-06,-1.05e-07,0.178,9.817999601364136
8.8e-07,-3e-08,-1.997e-06,-8.5e-08,0.1775,10.01799988746643
8.6e-07,-2.5e-08,-2.015e-06,-9.1e-08,0.177,10.22700023651123
8.7e-07,-2e-08,-2.059e-06,-8.5e-08,0.1765,10.427000522613525
8.75e-07,-5e-08,-2.086e-06,-9.7e-08,0.176,10.631999731063843
8.85e-07,-4e-08,-2.124e-06,-1.01e-07,0.17550000000000002,10.842000007629395
8.65e-07,-3.5e-08,-2.145e-06,-1.06e-07,0.17500000000000002,11.042001247406006
8.85e-07,-3e-08,-2.144e-06,-9e-08,0.17450000000000002,11.241001605987549
8.9e-07,-2.5e-08,-2.195e-06,-9.8e-08,0.17400000000000002,11.471000671386719
8.75e-07,-3.5e-08,-2.19e-06,-9.9e-08,0.17350000000000002,11.666999340057373
8.8e-07,-2.5e-08,-2.191e-06,-7.9e-08,0.17300000000000001,11.864999532699585
8.75e-07,-3e-08,-2.236e-06,-8.5e-08,0.17250000000000001,12.062005758285522
8.65e-07,-4e-08,-2.256e-06,-9.3e-08,0.17200000000000001,12.259999752044678
8.8e-07,-3e-08,-2.272e-06,-8.1e-08,0.1715,12.461001634597778
8.75e-07,-3e-08,-2.292e-06,-1.09e-07,0.171,12.661003112792969
8.75e-07,-2.5e-08,-2.34e-06,-9.2e-08,0.1705,12.864999771118164
8.8e-07,-4e-08,-2.402e-06,-1e-07,0.17,13.078999280929565
8.95e-07,-5.5e-08,-2.41e-06,-1.28e-07,0.1695,13.281999588012695
8.85e-07,-4.5e-08,-2.415e-06,-6.4e-08,0.169,13.48099946975708
8.9e-07,-4e-08,-2.466e-06,-1.03e-07,0.1685,13.683005809783936
8.9e-07,-5e-08,-2.5e-06,-8.7e-08,0.168,13.892001152038574
9e-07,-4e-08,-2.528e-06,-1.2e-07,0.1675,14.092002153396606
8.8e-07,-3.5e-08,-2.544e-06,-9.1e-08,0.167,14.301000118255615
8.9e-07,-3e-08,-2.552e-06,-8.9e-08,0.1665,14.501000881195068
9.05e-07,-4e-08,-2.611e-06,-9.8e-08,0.166,14.700999975204468
9.05e-07,-3e-08,-2.64e-06,-8.6e-08,0.1655,14.904999732971191
9.05e-07,-2.5e-08,-2.662e-06,-8.9e-08,0.165,15.114006042480469
8.9e-07,-2.5e-08,-2.716e-06,-1.19e-07,0.1645,15.315000057220459
8.9e-07,-3e-08,-2.714e-06,-1.5e-07,0.164,15.516000270843506
9.1e-07,-3e-08,-2.778e-06,-1.2e-07,0.1635,15.74300479888916
9.25e-07,-4.5e-08,-2.787e-06,-1.21e-07,0.163,15.954001188278198
9.05e-07,-3.5e-08,-2.849e-06,-1.28e-07,0.1625,16.15700054168701
9e-07,-2e-08,-2.872e-06,-1.17e-07,0.162,16.352999687194824
9.1e-07,-2e-08,-2.909e-06,-1.37e-07,0.1615,16.58200168609619
9.15e-07,-2.5e-08,-2.958e-06,-1.21e-07,0.161,16.783000707626343
9.1e-07,-2.5e-08,-2.996e-06,-1.38e-07,0.1605,16.98099994659424
9.1e-07,-5e-08,-3.009e-06,-1.44e-07,0.16,17.17799997329712
9e-07,-4e-08,-3.06e-06,-1.09e-07,0.1595,17.38100004196167
9.25e-07,-3.5e-08,-3.106e-06,-1.37e-07,0.159,17.579999685287476
9.15e-07,-4.5e-08,-3.133e-06,-1.27e-07,0.1585,17.776999473571777
9.2e-07,-1.5e-08,-3.173e-06,-1.21e-07,0.158,17.9760000705719
9.25e-07,-1e-08,-3.217e-06,-1.28e-07,0.1575,18.17400050163269
9.1e-07,-4.5e-08,-3.284e-06,-1.25e-07,0.157,18.402999877929688
9.05e-07,-3.5e-08,-3.327e-06,-1.27e-07,0.1565,18.6010000705719
9.25e-07,-3.5e-08,-3.368e-06,-1.5e-07,0.156,18.798999547958374
9.35e-07,-3.5e-08,-3.408e-06,-1.49e-07,0.1555,18.99899959564209
9.3e-07,-1.5e-08,-3.485e-06,-1.48e-07,0.155,19.202999353408813
9.3e-07,-3e-08,-3.509e-06,-1.6e-07,0.1545,19.3989999294281
9.3e-07,-2.5e-08,-3.571e-06,-1.41e-07,0.154,19.6020028591156
9.5e-07,-3.5e-08,-3.606e-06,-1.54e-07,0.1535,19.798999309539795
9.25e-07,-3.5e-08,-3.648e-06,-1.54e-07,0.153,20.000999927520752
9.5e-07,-3.5e-08,-3.691e-06,-1.54e-07,0.1525,20.20300602912903
9.45e-07,-4e-08,-3.782e-06,-1.71e-07,0.152,20.4259991645813
9.65e-07,-3e-08,-3.833e-06,-1.66e-07,0.1515,20.62999939918518
9.6e-07,-2.5e-08,-3.892e-06,-1.33e-07,0.151,20.82699990272522
9.55e-07,-2.5e-08,-3.942e-06,-1.57e-07,0.1505,21.050999641418457
9.25e-07,-2e-08,-4.014e-06,-1.53e-07,0.15,21.250000953674316
9.35e-07,0.0,-4.062e-06,-1.5e-07,0.1495,21.449999809265137
9.55e-07,-3e-08,-4.127e-06,-2.06e-07,0.149,21.649999856948853
9.65e-07,-5e-08,-4.176e-06,-1.54e-07,0.1485,21.84900140762329
9.5e-07,-1.5e-08,-4.27e-06,-1.61e-07,0.148,22.04600214958191
9.6e-07,-3e-08,-4.332e-06,-1.97e-07,0.1475,22.24399971961975
9.55e-07,-5e-08,-4.418e-06,-2e-07,0.147,22.443999767303467
9.65e-07,-4e-08,-4.481e-06,-1.94e-07,0.1465,22.644002437591553
9.6e-07,-4e-08,-4.548e-06,-1.75e-07,0.146,22.842000007629395
9.8e-07,-3e-08,-4.627e-06,-1.83e-07,0.1455,23.064000606536865
9.9e-07,-2e-08,-4.73e-06,-1.95e-07,0.145,23.262999296188354
9.8e-07,-3e-08,-4.791e-06,-1.8e-07,0.1445,23.46200203895569
1e-06,-1.5e-08,-4.867e-06,-2.27e-07,0.14400000000000002,23.661999464035034
1.015e-06,-2.5e-08,-4.981e-06,-2.26e-07,0.14350000000000002,23.861000061035156
1.01e-06,-2e-08,-5.066e-06,-2.07e-07,0.14300000000000002,24.062999725341797
9.9e-07,-1e-08,-5.144e-06,-1.93e-07,0.14250000000000002,24.26099991798401
1.015e-06,-1.5e-08,-5.219e-06,-2.12e-07,0.14200000000000002,24.46200203895569
9.95e-07,-2e-08,-5.331e-06,-2.26e-07,0.14150000000000001,24.65999960899353
1.02e-06,-2e-08,-5.411e-06,-2.4e-07,0.14100000000000001,24.894002199172974
1.005e-06,-3.5e-08,-5.529e-06,-2.45e-07,0.1405,25.092999696731567
1.005e-06,-1e-08,-5.649e-06,-2.35e-07,0.14,25.290005445480347
1.01e-06,-2.5e-08,-5.745e-06,-2.43e-07,0.1395,25.49000120162964
1.015e-06,-3e-08,-5.871e-06,-2.12e-07,0.139,25.718000173568726
1.025e-06,-2e-08,-5.955e-06,-2.96e-07,0.1385,25.91700005531311
1.025e-06,-3.5e-08,-6.094e-06,-2.57e-07,0.138,26.118000030517578
1.015e-06,-1e-08,-6.22e-06,-2.73e-07,0.1375,26.316999912261963
1.055e-06,-1.5e-08,-6.309e-06,-2.59e-07,0.137,26.5169997215271
1.05e-06,-2.5e-08,-6.474e-06,-2.39e-07,0.1365,26.716999769210815
1.02e-06,1e-08,-6.609e-06,-2.67e-07,0.136,26.915000200271606
1.025e-06,-5e-09,-6.739e-06,-2.81e-07,0.1355,27.116000175476074
1.075e-06,-2.5e-08,-6.903e-06,-3.01e-07,0.135,27.316000938415527
1.055e-06,-5e-09,-7.027e-06,-3.24e-07,0.1345,27.512000560760498
1.06e-06,-2.5e-08,-7.185e-06,-2.77e-07,0.134,27.7239990234375
1.06e-06,-2e-08,-7.323e-06,-2.9e-07,0.1335,27.922001838684082
1.065e-06,-1e-08,-7.51e-06,-2.9e-07,0.133,28.120001554489136
1.07e-06,-2.5e-08,-7.653e-06,-3.3e-07,0.1325,28.319000244140625
1.05e-06,-1.5e-08,-7.813e-06,-3.32e-07,0.132,28.518999576568604
1.09e-06,-4.5e-08,-7.997e-06,-3.3e-07,0.1315,28.73200035095215
1.08e-06,-2e-08,-8.17e-06,-3.4e-07,0.131,28.934000253677368
1.09e-06,-3e-08,-8.339e-06,-3.34e-07,0.1305,29.12899923324585
1.12e-06,-2.5e-08,-8.559e-06,-3.58e-07,0.13,29.359001874923706
