#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.125 T
#	Lockin AC Gain: 20 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 11:55am 2021-04-23
#	Sample Name: C5R9_20x80_6x20_PT_R
#	First Harmonic Lockin Sensitivity: 0.0005 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
3.195e-05,-6.5e-08,0.0001044,1.135e-06,0.0,0.0,1.5600004196166992
3.44e-05,-4e-08,0.0001117,1.23e-06,1.0,1.0,4.6010003089904785
3.44e-05,5e-09,0.00011165,1.255e-06,2.0,2.0,7.648000717163086
3.44e-05,5e-09,0.0001117,1.28e-06,3.0,3.0,10.688000202178955
3.44e-05,1.5e-08,0.0001117,1.245e-06,4.0,4.0,13.719999551773071
3.44e-05,0.0,0.0001117,1.265e-06,5.0,5.0,16.76599955558777
3.44e-05,-3.5e-08,0.00011175,1.245e-06,6.0,6.0,19.819004774093628
3.44e-05,5e-09,0.00011175,1.235e-06,7.0,7.0,22.87200140953064
3.44e-05,-2e-08,0.0001118,1.27e-06,8.0015,8.0,25.9100022315979
3.44e-05,-2.5e-08,0.0001118,1.245e-06,9.0015,9.0,28.945003509521484
3.44e-05,-1e-08,0.0001118,1.215e-06,10.0,10.0,31.99200463294983
3.44e-05,-1.5e-08,0.0001118,1.25e-06,11.0,11.0,35.0440034866333
3.445e-05,1.5e-08,0.0001118,1.245e-06,12.0005,12.0,38.117000102996826
3.44e-05,-1.5e-08,0.00011185,1.26e-06,13.0,13.0,41.190006494522095
3.44e-05,-5e-08,0.00011185,1.215e-06,14.0,14.0,44.24600028991699
3.445e-05,-1.5e-08,0.00011185,1.24e-06,15.0005,15.0,47.294999837875366
3.44e-05,-1.5e-08,0.0001119,1.23e-06,16.0,16.0,50.347999811172485
3.44e-05,-6e-08,0.0001119,1.26e-06,17.0,17.0,53.40100121498108
3.44e-05,-2e-08,0.0001119,1.275e-06,18.0,18.0,56.37700581550598
3.445e-05,-1.5e-08,0.00011195,1.25e-06,19.0,19.0,59.4190034866333
3.44e-05,-1.5e-08,0.00011195,1.27e-06,20.0,20.0,62.465001344680786
3.445e-05,1.5e-08,0.00011195,1.23e-06,21.0,21.0,65.51599979400635
3.44e-05,2.5e-08,0.000112,1.255e-06,22.0,22.0,68.56900072097778
3.44e-05,-2.5e-08,0.00011195,1.255e-06,23.0,23.0,71.64800834655762
3.44e-05,-2e-08,0.000112,1.25e-06,24.0,24.0,74.68200063705444
3.44e-05,0.0,0.000112,1.22e-06,25.0,25.0,77.73100066184998
3.44e-05,-1.5e-08,0.00011195,1.24e-06,26.0,26.0,80.76600050926208
3.44e-05,-5e-09,0.000112,1.23e-06,27.0,27.0,83.81400227546692
3.44e-05,1e-08,0.000112,1.245e-06,28.003,28.0,86.85501050949097
3.445e-05,-5e-09,0.000112,1.245e-06,29.0,29.0,89.90400171279907
3.445e-05,-5e-09,0.000112,1.245e-06,30.0,30.0,92.95600032806396
3.445e-05,-2.5e-08,0.000112,1.26e-06,31.0,31.0,95.99400043487549
3.44e-05,-1.5e-08,0.000112,1.215e-06,32.0,32.0,99.03899955749512
3.44e-05,-2e-08,0.000112,1.245e-06,33.0,33.0,102.09700107574463
3.445e-05,5e-09,0.000112,1.275e-06,34.0,34.0,105.14499974250793
3.44e-05,-1e-08,0.00011205,1.255e-06,35.0,35.0,108.20400142669678
3.44e-05,-2.5e-08,0.00011205,1.245e-06,36.0005,36.0,111.25400590896606
3.445e-05,-3e-08,0.00011205,1.21e-06,37.0,37.0,114.29599952697754
3.445e-05,-2e-08,0.0001121,1.255e-06,38.0005,38.0,117.34100031852722
-7.45e-06,-1.5e-08,3.49e-05,4.1e-07,39.0,39.0,120.38100004196167
-2.315e-05,-5e-08,0.0001035,1.21e-06,40.0,40.0,123.43100023269653
-2.32e-05,-4.5e-08,0.00010355,1.19e-06,41.001,41.0,126.49899959564209
-2.32e-05,-5e-08,0.00010355,1.19e-06,42.0,42.0,129.539000749588
-2.32e-05,-4.5e-08,0.0001035,1.19e-06,43.0,43.0,132.57100200653076
-2.315e-05,-3.5e-08,0.00010355,1.205e-06,44.0,44.0,135.61900067329407
-2.32e-05,-3e-08,0.0001035,1.185e-06,45.0,45.0,138.67300128936768
-2.32e-05,-5e-08,0.0001034,1.185e-06,46.0,46.0,141.72499990463257
-2.32e-05,-5.5e-08,0.0001034,1.2e-06,47.0,47.0,144.77799940109253
