#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.125 T
#	Lockin AC Gain: 50 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 12:00pm 2021-04-23
#	Sample Name: C5R9_20x80_6x20_PT_R
#	First Harmonic Lockin Sensitivity: 0.0005 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
0.0001192,-1.5e-08,4.35e-05,2.45e-07,0.0,0.0,1.557997226715088
0.0001351,-4e-08,4.64e-05,2.4e-07,1.0,1.0,4.596998453140259
0.00014265,-2e-08,4.65e-05,2.2e-07,2.0,2.0,7.66099739074707
0.0001501,1e-08,4.655e-05,1.5e-07,3.0005,3.0,10.732997417449951
0.00015785,1e-08,4.66e-05,1.15e-07,4.001,4.0,13.785996437072754
0.00016515,0.0,4.665e-05,9e-08,5.0,5.0,16.82799792289734
0.000173,-1e-08,4.67e-05,6.5e-08,6.0,6.0,19.860998153686523
0.00018035,5e-09,4.67e-05,3.5e-08,7.0,7.0,22.905999898910522
0.0001878,-1.5e-08,4.675e-05,0.0,8.0015,8.0,25.962997436523438
0.0001951,-2e-08,4.68e-05,-5e-08,9.0,9.0,29.011996507644653
0.0002021,-1.5e-08,4.685e-05,-8e-08,10.0,10.0,32.06999707221985
0.0002092,0.0,4.685e-05,-1.2e-07,11.0,11.0,35.040998458862305
0.0002163,1e-08,4.69e-05,-1.8e-07,12.002,12.0,38.07599687576294
0.0002234,1e-08,4.69e-05,-2.05e-07,13.0,13.0,41.110997676849365
0.00023005,-5e-09,4.7e-05,-2.4e-07,14.0,14.0,44.163997650146484
0.0002367,-2e-08,4.7e-05,-2.7e-07,15.0,15.0,47.200000286102295
0.0002434,-2e-08,4.705e-05,-3.3e-07,16.0005,16.0,50.23499941825867
0.00024975,-2e-08,4.705e-05,-3.3e-07,17.0005,17.0,53.2799973487854
0.000256,-1e-08,4.71e-05,-4.05e-07,18.0,18.0,56.32099795341492
0.0002621,-2.5e-08,4.715e-05,-4.25e-07,19.0,19.0,59.389997482299805
0.00026805,-2.5e-08,4.715e-05,-4.55e-07,20.0,20.0,62.4239981174469
0.0002739,-1.5e-08,4.72e-05,-4.9e-07,21.0005,21.0,65.46099758148193
0.0002794,0.0,4.72e-05,-5.35e-07,22.0,22.0,68.4889976978302
0.00028485,-2e-08,4.725e-05,-5.55e-07,23.0,23.0,71.54399919509888
0.00028995,-3e-08,4.725e-05,-6e-07,24.0025,24.0,74.59700322151184
0.00029495,-2.5e-08,4.73e-05,-6.25e-07,25.0,25.0,77.63299751281738
0.00029985,-1e-08,4.73e-05,-6.75e-07,26.0,26.0,80.67999958992004
0.00030445,-1.5e-08,4.735e-05,-6.75e-07,27.0,27.0,83.73799705505371
0.000309,-2.5e-08,4.735e-05,-7.35e-07,28.0,28.0,86.79799747467041
0.00031315,-4e-08,4.735e-05,-7.7e-07,29.0,29.0,89.83599734306335
