#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.125 T
#	Lockin AC Gain: 50 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 12:45pm 2021-04-23
#	Sample Name: C5R9_20x80_6x6_SQUARE_L
#	First Harmonic Lockin Sensitivity: 0.0005 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
0.0015,3.3e-07,8.615e-05,1.775e-06,0.0,0.0,1.5500035285949707
0.0015,8.25e-07,9.17e-05,1.185e-06,1.0,1.0,4.597001075744629
0.0015,7.2e-07,9.18e-05,1.275e-06,1.9995,2.0,7.635002136230469
0.0015,7.35e-07,9.18e-05,1.32e-06,3.0005,3.0,10.702001571655273
0.0015,7e-07,9.185e-05,1.335e-06,4.001,4.0,13.74200177192688
0.0015,6.8e-07,9.19e-05,1.24e-06,5.0,5.0,16.774000883102417
0.0015,7e-07,9.195e-05,1.225e-06,6.0,6.0,19.78700041770935
0.0015,7.05e-07,9.2e-05,1.14e-06,7.0,7.0,22.841001510620117
0.0015,6.85e-07,9.2e-05,1.13e-06,8.0035,8.0,25.889001846313477
0.0015,6.85e-07,9.21e-05,1.065e-06,9.0,9.0,28.922001361846924
0.0015,7.1e-07,9.225e-05,1.025e-06,10.0,10.0,31.962001085281372
0.0015,6.95e-07,9.23e-05,9.4e-07,11.0,11.0,35.028010845184326
0.0015,7.45e-07,9.235e-05,9.25e-07,12.0025,12.0,38.046000480651855
0.0015,6.95e-07,9.24e-05,8.45e-07,13.001,13.0,41.09700155258179
0.0015,7.3e-07,9.24e-05,8e-07,14.0,14.0,44.151002407073975
0.0015,6.7e-07,9.245e-05,7.55e-07,15.0,15.0,47.18600130081177
0.0015,6.75e-07,9.25e-05,6.7e-07,16.0,16.0,50.23500061035156
0.0015,7.15e-07,9.255e-05,6.45e-07,17.0,17.0,53.28700375556946
0.003,6.75e-07,9.25e-05,5.8e-07,18.0,18.0,56.34100127220154
0.0050064,6.85e-07,9.26e-05,5.45e-07,19.0,19.0,59.38100218772888
0.0050128,7.1e-07,9.26e-05,4.7e-07,20.0,20.0,62.431002140045166
0.005019,6.95e-07,9.24e-05,4.1e-07,21.0,21.0,65.49699997901917
0.0050248,6.95e-07,9.24e-05,3.8e-07,22.0,22.0,68.4760012626648
