#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 1.5 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.125 T
#	Lockin AC Gain: 50 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 12:21pm 2021-04-23
#	Sample Name: C5R9_40x80_6x20_PT_L
#	First Harmonic Lockin Sensitivity: 0.0005 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.5 s
#	Second Harmonic Lockin Time Constant: 0.5 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
3.61e-05,-2.5e-08,4.855e-05,2.9e-07,0.0,0.0,1.553002119064331
5.03e-05,-1.5e-08,5.185e-05,2.7e-07,1.0,1.0,4.640008449554443
6.22e-05,-1.5e-08,5.175e-05,2.3e-07,2.0015,2.0,7.680001735687256
7.415e-05,-3e-08,5.17e-05,1.65e-07,3.0,3.0,10.733003616333008
8.585e-05,-5e-09,5.17e-05,1.3e-07,3.9995,4.0,13.804001569747925
9.725e-05,2e-08,5.18e-05,5.5e-08,5.0,5.0,16.8530011177063
0.00010885,-3e-08,5.185e-05,2.5e-08,6.0,6.0,19.88600182533264
0.0001201,-5e-09,5.195e-05,-3.5e-08,7.0,7.0,22.938000917434692
0.0001313,-1.5e-08,5.2e-05,-9.5e-08,8.001,8.0,25.99100089073181
0.00014255,-3e-08,5.2e-05,-1.45e-07,9.0,9.0,29.026001930236816
0.00015365,-3e-08,5.205e-05,-1.9e-07,10.0,10.0,32.08600163459778
0.00016465,-1e-08,5.215e-05,-2.15e-07,11.0,11.0,35.136001110076904
0.00017535,-1e-08,5.225e-05,-2.7e-07,12.0025,12.0,38.18600106239319
0.0001858,-3e-08,5.23e-05,-3.2e-07,13.0,13.0,41.236000537872314
0.0001962,-3.5e-08,5.235e-05,-3.85e-07,14.0,14.0,44.278000831604004
0.00020645,-1e-08,5.24e-05,-4.3e-07,15.0,15.0,47.325000286102295
0.00021665,-1e-08,5.245e-05,-4.95e-07,16.0,16.0,50.37499952316284
0.0002264,-3e-08,5.255e-05,-5.25e-07,17.0,17.0,53.43200063705444
0.00023615,-3e-08,5.26e-05,-5.8e-07,18.0,18.0,56.46800136566162
