#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 5.5 V
#	Apply a Bias Field?: False
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 1 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 2 V
#	Time Queued: 01:39pm 2021-04-08
#	Reverse?: False
#	Sample Name: C5R8_M+
#	Saturate First?: True
#	Saturating Magnetic Field: 0.1 T
#	Saturating Magnetic Field Azimuth: 90 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 1 s
#	Settling: 15 s
#	Bias Magnetic Field: 0.1 T
#	Bias Magnetic Field Azimuth: 90 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.005 T
#	Pre Measurement Wait Time: 1 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.008455979326923293,0.006380813210114231,0.00017522272531295783,0.7846316459064248,-0.2048521588752048,2.3522999633586942e-05,-4.437142963315779e-06,1.6049973681956424e-06,-0.01631428945855826,0.00015659477708652178,5.545755796477022e-06,-0.0008941048173553666,0.1,15.27996301651001
-0.008452394540727153,0.006388288141923476,0.00017359680959343538,0.7838751055394921,-0.205179136260556,2.5706111399059777e-05,-4.856682995834915e-06,1.0793706382353343e-06,-0.016304726853254285,0.00015669546816438523,5.520721484357482e-06,-0.0008938036943391157,0.095,30.65397810935974
-0.008465048637632328,0.006394637747876856,0.00017448233636596934,0.7841737245069519,-0.2050759946856712,2.1295844794654284e-05,-4.021424082813444e-06,1.3952136750424486e-07,-0.016292218639293695,0.00015673596981208017,5.577448051565169e-06,-0.0008943954912807157,0.09,46.02196478843689
-0.008477762774925296,0.006406836159972903,0.00017532478490667845,0.7839805469111543,-0.20515899871612261,1.835744144373896e-05,-3.467950557631065e-06,2.2474385687353526e-07,-0.016282344306213357,0.00015688820966217198,5.608114141653826e-06,-0.0008939079784792604,0.085,61.38097357749939
-0.008489768643712427,0.006413583738914792,0.0001755861778835068,0.7841512689017427,-0.20508458056661846,1.5635075007340276e-05,-2.9525900552559847e-06,3.1125827660005304e-08,-0.016273531571489187,0.00015691873302168437,5.646069068861436e-06,-0.0008929719321601483,0.08,76.73298001289368
-0.008496756357871399,0.006419210062271095,0.00017407274646309074,0.7841123662182329,-0.20509564969985078,1.1927707858452164e-05,-2.252597599133759e-06,8.490221368178367e-07,-0.01626439017139218,0.00015690209954801563,5.571927985442013e-06,-0.0008930870716244368,0.075,92.08097124099731
-0.0085027671937829,0.006427605751343756,0.00017545490364938743,0.7838745920361966,-0.2052186891853649,9.110685877735799e-06,-1.721623400928689e-06,9.514740848239048e-07,-0.016257878419005112,0.0001570009171698504,5.607680572654208e-06,-0.0008926138162595547,0.07,107.40696859359741
-0.008511846348221446,0.00643181848243031,0.00017580458483511239,0.784003647365982,-0.20513410992986206,1.377580968027525e-05,-2.60210723510722e-06,2.187411618189409e-06,-0.016249439623180092,0.00015716689367419783,5.567915374232533e-06,-0.0008916703054729544,0.065,122.78197360038757
-0.008519877129552942,0.006437656120843411,0.00017633379313329155,0.784046249500655,-0.20512672247298788,1.6871289079776323e-05,-3.186696346987872e-06,1.559466897706523e-06,-0.01624102242212668,0.0001570798360054165,5.586906258998894e-06,-0.0008914101588135832,0.06,138.14997363090515
-0.00852774882245101,0.0064418490277168014,0.00017478207262591552,0.7841510364762294,-0.20507081751116446,1.1549291156957064e-05,-2.1808679366773916e-06,6.704010736452784e-07,-0.01623348507346916,0.0001571126820576803,5.60068385621785e-06,-0.0008922724501360838,0.055,153.51096487045288
-0.008527875507480862,0.006446243080621538,0.00017615348003912064,0.7838757822182808,-0.2052076493914652,1.337800851356941e-05,-2.5278726340778894e-06,1.5158520818935834e-06,-0.0162284242697302,0.0001571337619731204,5.606734443435795e-06,-0.0008916778080847374,0.05,168.82996535301208
-0.008530844082507618,0.0064467329764191774,0.00017617744668012585,0.7840160850587482,-0.2051518168535284,1.0521289666838008e-05,-1.987533785261576e-06,-6.727990000535556e-08,-0.01622207105492457,0.00015713546500658804,5.6489320177253954e-06,-0.0008906950416859856,0.045,184.19196844100952
-0.008535270837184894,0.006451451248901773,0.00017509344677843461,0.7838594233649376,-0.20519546555258245,1.1693137793056606e-05,-2.209372793017262e-06,4.4506562336993206e-07,-0.016216674395047384,0.00015715770848273873,5.633524459776673e-06,-0.0008909790896590319,0.04,199.53796458244324
-0.008541145959823838,0.006455708099169563,0.00017530787428323802,0.783854794929878,-0.2051895927564524,1.3160647912297841e-05,-2.4865819387987563e-06,2.952646696523534e-07,-0.01621326356943597,0.0001572473367922171,5.593485941071603e-06,-0.000891065218524636,0.035,214.9029688835144
-0.008539906660271516,0.006455782924823095,0.000175159831464673,0.7838151441380711,-0.20522175400164056,7.098629553296064e-06,-1.3414302098851755e-06,3.087913196490023e-07,-0.016211806752464784,0.0001573222913296353,5.643531486335556e-06,-0.0008904321750522998,0.03,230.26098656654358
-0.008552181806594767,0.006462385333405482,0.00017613955736370634,0.7840230247015415,-0.20513671859231622,1.2021840060012e-05,-2.2708294855916348e-06,-1.727127762591629e-07,-0.01620909820143112,0.00015727213296254364,5.642072705990271e-06,-0.0008908119354283443,0.025,245.6139693260193
-0.008545135040686585,0.006460651572083303,0.00017659937359533777,0.7837852656761772,-0.2052508375527114,9.899150238548107e-06,-1.870910568620738e-06,1.073848054919873e-06,-0.016207389655850567,0.0001572264280948832,5.6299465960227404e-06,-0.0008911153015316484,0.02,260.9619724750519
-0.008550333368918906,0.006465283515248763,0.00017633837702351379,0.7837294320928724,-0.205273091762201,6.3974523807800096e-06,-1.2092309664863408e-06,-5.312811542153464e-07,-0.016206010730896944,0.0001572938418139396,5.621267288445233e-06,-0.0008905974330546989,0.015,276.3339750766754
-0.008555332474419614,0.006468314396628208,0.00017566417912764977,0.7837581946880565,-0.20524929631044825,5.476944507171983e-06,-1.035118790081422e-06,-7.755034510206659e-07,-0.016204608968140886,0.00015726859847606226,5.591902431233527e-06,-0.0008908834456587127,0.01,291.67997765541077
-0.00855682962260743,0.006467294912544159,0.00017689064941405587,0.7838704554388678,-0.20518103370206714,4.8348975023784735e-06,-9.134707802776775e-07,-3.575166936224709e-07,-0.016203741658322796,0.00015721806902803788,5.563956399558719e-06,-0.0008905510738625615,0.005,307.03098368644714
-0.008549313516456141,0.006461870997225554,0.0001759811564978649,0.7839082871168214,-0.2051892231259653,5.591904942357573e-07,-1.0565364925567184e-07,-7.340642102852186e-07,-0.016205035533224135,0.00015669786196145585,5.626444781032445e-06,-0.0008909004678760184,0.0,322.39196825027466
-0.008552317861171601,0.006466056311003147,0.00017637187988849598,0.7837323818597294,-0.20524998121885915,1.0692084753592758e-06,-2.0207644519938895e-07,-3.390077326742828e-07,-0.01620499457553144,0.00015632359872232954,5.636983111982085e-06,-0.0008917280637690068,-0.005,337.7709848880768
-0.008545656036497195,0.006464740506484695,0.0001759910826437505,0.783553269745347,-0.2053682167141813,-3.7997748313579124e-06,7.185570727729312e-07,-4.297756370480632e-07,-0.016206144281588335,0.00015642429493435478,5.647093061769276e-06,-0.0008922937270257916,-0.01,353.16096448898315
-0.008550659522257045,0.0064645666067637015,0.0001758540156410565,0.78378865836648,-0.20524249935741867,-3.3821491004668613e-06,6.391903633326555e-07,-1.1741738819580958e-07,-0.01620718086882991,0.0001564095063817652,5.641867078133616e-06,-0.0008917738734723207,-0.015,368.5129728317261
-0.008552610866970782,0.0064663441592960925,0.00017628908494022244,0.7837334984720858,-0.20525208490662578,-2.298671325503498e-06,4.3444482695641804e-07,2.3989038860133356e-07,-0.01621145183750797,0.00015647948055738398,5.6284170934124824e-06,-0.0008932472601129873,-0.02,383.85798621177673
-0.00854433826603624,0.00645736723172477,0.00017643366232033774,0.7838913946471646,-0.20516563012376005,-5.565366485179259e-06,1.0514014012904771e-06,-3.2597181739600196e-07,-0.01621688509667268,0.0001564042460864482,5.612841021054985e-06,-0.0008928327720007343,-0.025,399.1999695301056
-0.00854562304857883,0.00645728962366428,0.00017579554221215608,0.7839950849566221,-0.2051323132921231,-3.969135880782372e-06,7.497219383017094e-07,-9.603952362581778e-07,-0.016215699148029342,0.00015638053502311255,5.590792439812081e-06,-0.000893426308977727,-0.03,414.53098487854004
-0.008535905151148774,0.0064554754474644635,0.0001753964678368058,0.7836245573372463,-0.20530819877881615,-9.154558207741385e-06,1.7306683759182421e-06,5.817969615863923e-07,-0.016221792874638232,0.0001563902104538127,5.613313658967776e-06,-0.000893161718497216,-0.035,429.88598585128784
-0.00853265006009949,0.0064534078490229,0.0001747347980090698,0.7836447367478377,-0.20532075387463808,-1.017482168126676e-05,1.9236667202004633e-06,-7.217795057047775e-07,-0.01622727190485274,0.00015628986304458032,5.649843645367281e-06,-0.0008941938815771683,-0.04,445.2299816608429
