#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 0.3 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.05 T
#	Lockin AC Gain: 40 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 07:38pm 2021-05-27
#	Sample Name: PHE
#	First Harmonic Lockin Sensitivity: 0.001 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.1 s
#	Second Harmonic Lockin Time Constant: 0.1 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
-3.48e-05,-2.5e-08,-1.31e-05,1.05e-07,0.0,0.0,0.386000394821167
-3.98e-05,1e-08,-1.3e-05,1.4e-07,1.0,1.0,2.2299997806549072
-4.45e-05,-1.5e-08,-1.3e-05,1.2e-07,1.9995,2.0,4.073000192642212
-4.92e-05,0.0,-1.31e-05,7e-08,3.0,3.0,5.9540112018585205
-5.42e-05,-5e-09,-1.31e-05,4.5e-08,3.9995,4.0,7.821000576019287
-5.84e-05,-2e-08,-1.32e-05,3e-08,5.0,5.0,9.679000616073608
-6.37e-05,-1e-08,-1.32e-05,1e-08,5.9995,6.0,11.522000312805176
-6.81e-05,-2e-08,-1.32e-05,1e-08,6.9995,7.0,13.367005586624146
-7.33e-05,-2e-08,-1.32e-05,1e-08,7.999,8.0,15.20900583267212
-7.82e-05,-3.5e-08,-1.32e-05,1e-08,8.9995,9.0,17.05199933052063
-8.21e-05,-1.5e-08,-1.33e-05,-1e-08,9.999,10.0,18.895005464553833
-8.7e-05,-4.5e-08,-1.32e-05,-1e-08,10.999,11.0,20.73800277709961
-9.18e-05,-4e-08,-1.33e-05,-5.5e-08,11.9995,12.0,22.601003170013428
-9.63e-05,-3.5e-08,-1.33e-05,-5.5e-08,12.9995,13.0,24.445001125335693
-0.0001016,-2.5e-08,-1.33e-05,-8e-08,13.999,14.0,26.287006855010986
-0.000106,-3e-08,-1.33e-05,-1.2e-07,15.0025,15.0,28.131006479263306
-0.0001099,-2.5e-08,-1.34e-05,-1.2e-07,15.999,16.0,29.993000507354736
-0.0001143,-2.5e-08,-1.34e-05,-1.65e-07,17.0,17.0,31.836005449295044
-0.0001185,-4e-08,-1.34e-05,-1.95e-07,17.9995,18.0,33.67900609970093
-0.0001231,-1.5e-08,-1.34e-05,-2.2e-07,18.9995,19.0,35.522005558013916
-0.0001275,-5e-08,-1.35e-05,-2.55e-07,19.9995,20.0,37.366004943847656
-0.0001316,-2.5e-08,-1.35e-05,-2.4e-07,21.0,21.0,39.2090060710907
-0.0001349,-3e-08,-1.35e-05,-2.7e-07,21.999,22.0,41.07099962234497
-0.0001387,-2e-08,-1.35e-05,-2.85e-07,22.999,23.0,42.94200587272644
-0.0001426,-4.5e-08,-1.35e-05,-3.05e-07,23.9995,24.0,44.79600548744202
-0.000146,-5e-08,-1.36e-05,-3.2e-07,24.9995,25.0,46.658005714416504
-0.0001496,-3.5e-08,-1.36e-05,-3.3e-07,25.999,26.0,48.5020055770874
-0.0001528,-4e-08,-1.36e-05,-3.6e-07,26.9995,27.0,50.36500096321106
-0.0001561,-5.5e-08,-1.36e-05,-3.8e-07,27.9995,28.0,52.211005449295044
-0.0001593,-5e-08,-1.36e-05,-3.8e-07,28.9995,29.0,54.08899974822998
-0.0001614,-4.5e-08,-1.36e-05,-3.9e-07,29.999,30.0,55.93500566482544
-0.0001651,-4.5e-08,-1.37e-05,-4.25e-07,30.9995,31.0,57.77800917625427
-0.0001674,-4.5e-08,-1.37e-05,-4.3e-07,31.9995,32.0,59.61900329589844
-0.0001697,-2.5e-08,-1.37e-05,-4.4e-07,33.0,33.0,61.48199987411499
-0.0001722,-6.5e-08,-1.37e-05,-4.8e-07,33.999,34.0,63.32500600814819
-0.0001745,-7e-08,-1.37e-05,-4.8e-07,34.999,35.0,65.16800594329834
-0.0001773,-6e-08,-1.37e-05,-5.3e-07,35.999,36.0,67.0310001373291
-0.000179,-4.5e-08,-1.37e-05,-5.6e-07,37.0,37.0,68.87399959564209
-0.0001808,-5.5e-08,-1.37e-05,-5.45e-07,38.0,38.0,70.72100162506104
-0.0001827,-4.5e-08,-1.38e-05,-5.7e-07,39.0,39.0,72.56000542640686
-0.0001839,-5e-08,-1.38e-05,-5.75e-07,39.999,40.0,74.40300679206848
-0.0001853,-4e-08,-1.38e-05,-6.05e-07,40.9995,41.0,76.26600551605225
-0.000186,-6e-08,-1.38e-05,-6e-07,41.999,42.0,78.11000537872314
-0.0001872,-6e-08,-1.38e-05,-6.35e-07,42.9995,43.0,79.95300579071045
-0.0001876,-5e-08,-1.38e-05,-6.4e-07,44.0,44.0,81.79500651359558
-0.000188,-6.5e-08,-1.38e-05,-6.75e-07,44.9995,45.0,83.63900542259216
-0.0001887,-7.5e-08,-1.38e-05,-6.85e-07,45.9995,46.0,85.48300576210022
-0.0001892,-7.5e-08,-1.38e-05,-6.85e-07,46.9995,47.0,87.32599997520447
-0.0001899,-7.5e-08,-1.38e-05,-6.8e-07,47.9995,48.0,89.17200565338135
-0.0001892,-6.5e-08,-1.38e-05,-7.1e-07,48.9995,49.0,91.03300762176514
-0.0001901,-5.5e-08,-1.38e-05,-7.05e-07,49.9995,50.0,92.87400484085083
-0.0001897,-7.5e-08,-1.38e-05,-7.6e-07,50.999,51.0,94.72400617599487
-0.0001894,-6.5e-08,-1.38e-05,-7.75e-07,51.9995,52.0,96.56000018119812
-0.0001881,-5e-08,-1.38e-05,-7.75e-07,53.0,53.0,98.4040060043335
-0.0001876,-6.5e-08,-1.37e-05,-7.85e-07,53.9995,54.0,100.24700546264648
-0.0001867,-6e-08,-1.37e-05,-8.1e-07,54.999,55.0,102.10900044441223
-0.0001854,-6.5e-08,-1.37e-05,-8.05e-07,55.999,56.0,103.95600605010986
-0.0001845,-6e-08,-1.37e-05,-8.45e-07,56.9995,57.0,105.79800224304199
-0.0001835,-5e-08,-1.37e-05,-8.25e-07,57.9995,58.0,107.65800023078918
-0.0001814,-6.5e-08,-1.36e-05,-8.65e-07,58.999,59.0,109.50100541114807
-0.0001799,-6.5e-08,-1.36e-05,-8.75e-07,60.0,60.0,111.34900259971619
-0.000178,-6.5e-08,-1.36e-05,-8.6e-07,60.9995,61.0,113.18700289726257
-0.0001762,-6e-08,-1.36e-05,-9e-07,61.9995,62.0,115.03300309181213
-0.0001743,-4.5e-08,-1.36e-05,-9.1e-07,62.9995,63.0,116.87400674819946
-0.0001725,-6.5e-08,-1.36e-05,-9.2e-07,63.9995,64.0,118.735999584198
-0.0001704,-6e-08,-1.36e-05,-9.1e-07,64.9995,65.0,120.58300137519836
-0.0001678,-7e-08,-1.36e-05,-9.35e-07,65.999,66.0,122.42300605773926
-0.0001659,-7e-08,-1.36e-05,-9.4e-07,66.999,67.0,124.26600551605225
-0.000163,-7e-08,-1.36e-05,-9.65e-07,67.9995,68.0,126.11100387573242
-0.0001604,-7.5e-08,-1.36e-05,-9.55e-07,68.9995,69.0,127.95300102233887
-0.0001573,-4.5e-08,-1.36e-05,-9.6e-07,69.999,70.0,129.8170027732849
-0.0001549,-6e-08,-1.35e-05,-9.7e-07,70.9995,71.0,131.66600275039673
-0.0001517,-7e-08,-1.35e-05,-9.7e-07,71.9995,72.0,133.52100610733032
