#Procedure: <daedalus.procedures.Hall2HarmProcedure.Hall2DualHarmAngProcedure>
#Parameters:
#	Applied Sample Voltage: 1 V
#	Magnet Calibration Filename: ./calibrations/daedalus
#	Delay: 0.3 s
#	End Azimuthal Field: 360 deg
#	Start Azimuthal Field: 0 deg
#	Azimuthal Field Step: 1 deg
#	Magnetic Field Polar Angle: 0 deg
#	Field Strength: 0.01 T
#	Lockin AC Gain: 40 dB
#	Lockin Frequency: 3137.17 Hz
#	First Harmonic Lockin Phase Offset: 0 deg
#	Second Harmonic Lockin Phase Offset: 0 deg
#	Lockin Sense Mode: A-B
#	Time Queued: 02:44pm 2021-05-27
#	Sample Name: PHE
#	First Harmonic Lockin Sensitivity: 0.001 V
#	Second Harmonic Lockin Sensitivity: 5e-05 V
#	Probe Station Name: daedalus
#	First Harmonic Lockin Time Constant: 0.1 s
#	Second Harmonic Lockin Time Constant: 0.1 s
#Data:
X1,X2,Y1,Y2,field_azimuth_measured,field_azimuth,elapsed_time
-0.0002293,2.5e-08,-1.38e-05,7e-08,0.0,0.0,0.36400556564331055
-0.0002298,-3.5e-08,-1.39e-05,6.5e-08,1.0,1.0,2.2260000705718994
-0.0002302,-3.5e-08,-1.39e-05,6.5e-08,1.9995,2.0,4.089000701904297
-0.0002311,-2e-08,-1.39e-05,7e-08,2.999,3.0,5.950999975204468
-0.0002317,-3e-08,-1.39e-05,7e-08,3.9995,4.0,7.814005136489868
-0.0002322,-1.5e-08,-1.39e-05,6.5e-08,5.0,5.0,9.675999879837036
-0.000233,-2.5e-08,-1.39e-05,6e-08,5.9995,6.0,11.51900577545166
-0.0002334,-2e-08,-1.39e-05,5.5e-08,6.9995,7.0,13.362006187438965
-0.0002339,-2.5e-08,-1.39e-05,4.5e-08,7.999,8.0,15.206002235412598
-0.0002343,-2.5e-08,-1.39e-05,4.5e-08,8.9995,9.0,17.04900050163269
-0.000235,-2.5e-08,-1.39e-05,5.5e-08,9.999,10.0,18.8919997215271
-0.0002354,-3.5e-08,-1.39e-05,4.5e-08,10.9995,11.0,20.738000631332397
-0.0002361,-2e-08,-1.39e-05,5.5e-08,11.999,12.0,22.578006267547607
