#Procedure: <sagnac.procedures.PHEProcedure.sagnacPHEProcedure>
#Parameters:
#	Applied Magnetic Field: 0.1 T
#	Applied Sample Voltage: 1 V
#	Applied Sample Voltage frequency: 3137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Field Azimuth stop: 170 deg
#	Field Azimuth start: 0 deg
#	Field Azimuth step: 1 deg
#	Field Polar: 0 deg
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 0.2 s
#	50 Ohm Input Impedance: True
#	input range: 2 V
#	Time Queued: 09:43pm 2021-05-23
#	Sample Name: C5R4
#	Saturate First?: True
#	Saturating Magnetic Field: 0.2 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 0.2 s
#	Settling: 0.6 s
#Data:
ThetaK,Ratio,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,field_azimuth,elapsed_time
-0.00020725485014061847,-0.0007633696574978908,-0.0002887401521489483,-0.0011200890612907929,-0.12804980124287346,0.37824420883501786,2.6301270260095567e-06,3.664200059258133e-06,-1.567836742263383e-07,-0.0005339295202499739,8.487613086765294e-05,1.635865201285228e-07,-2.2076070117938366e-07,0.0,0.8069596290588379
-0.00020692749423843832,-0.0007621639265279568,-0.00028831936906331993,-0.0011210190168770198,-0.12807158665304635,0.3782904950340025,9.563014508323837e-07,1.3324484318125866e-06,1.6751108794473122e-06,-0.0005337027981540991,8.482924495975505e-05,1.1001023241770912e-07,-2.0743857243301054e-07,1.0,2.7599644660949707
-0.00020707245902738176,-0.0007626978669102398,-0.00028855721832188346,-0.0011206242439498503,-0.12808330525924203,0.37833751848665276,1.4619088990375794e-06,2.0371822656185353e-06,-3.5401210404132884e-07,-0.0005342416348885126,8.48417142820057e-05,1.025825088875242e-07,-1.5517042089261512e-07,2.0,4.628965854644775
-0.00020655268283627487,-0.0007607834054736531,-0.00028787240278963335,-0.0011223796995380117,-0.12809931393507076,0.37838943478322584,5.595658618314032e-07,7.79866704170804e-07,8.301696497439879e-07,-0.0005343472364954967,8.486116868273068e-05,1.5289028125787323e-07,-1.9134364531995847e-07,3.0,6.598962068557739
-0.00020842135759631853,-0.0007676661866222282,-0.00029054157958238193,-0.001121385462797552,-0.12812771168566855,0.3784738531480464,1.0331526154084582e-06,1.4402256031072592e-06,-3.462143290825862e-07,-0.000534498048695593,8.487017554022945e-05,1.3190998099773964e-07,-2.1418735371180493e-07,4.0,8.548985481262207
-0.00020799275337462513,-0.0007660875335982367,-0.00028998096423454243,-0.0011212898417748334,-0.12814643388291805,0.3785219723815773,-1.0212968822052992e-06,-1.423879595725618e-06,5.209520360781052e-07,-0.0005344042633158738,8.490590093088091e-05,1.5868210716303553e-07,-2.334665951178286e-07,5.0,10.434984683990479
-0.0002060731685513652,-0.0007590172383776979,-0.0002873950121911893,-0.0011218595298030979,-0.1281850304232062,0.3786409552508443,1.8244408813125907e-07,2.5444126633476667e-07,2.219703832483272e-07,-0.0005341989071628887,8.488017678815493e-05,1.4019998175084307e-07,-2.2230248986371918e-07,6.0,12.387092590332031
-0.00020660555588936715,-0.0007609781497171806,-0.0002882471761213022,-0.0011222338361086186,-0.12823402301256234,0.3787850889390582,-1.663161232620889e-06,-2.3203708118537643e-06,-2.3506394138681379e-07,-0.0005351993973178516,8.489851715256337e-05,1.5066070635053396e-07,-2.726105859030637e-07,7.0,14.342090368270874
-0.00020669929193852877,-0.0007613234022592569,-0.00028843700022118847,-0.0011241959829887097,-0.12826135940570157,0.3788626480747084,7.801205677069168e-07,1.0886134220957175e-06,-2.0263238889234093e-06,-0.0005352120796201947,8.487369244410929e-05,1.0392090668717545e-07,-1.6571511083214065e-07,8.0,16.200148105621338
-0.0002079500511817467,-0.0007659302510926518,-0.00029022564119430535,-0.00112200479305347,-0.1282803045776162,0.3789191519466409,1.0172365491336727e-06,1.4197068527692772e-06,-1.856175624106662e-07,-0.0005358479173463378,8.490765210922348e-05,6.873483403518622e-08,-1.565655275038883e-07,9.0,18.159147262573242
