#Procedure: <sagnac.procedures.HeterodyneProcedure.sagnacOpticsXportProcedure>
#Parameters:
#	Amp Gain: 0 x
#	Applied Sample Voltage: 5.5 V
#	Apply a Bias Field?: False
#	Number of Averages: 6
#	Bias Field x: 0 T
#	Bias Field y: 0 T
#	Bias Field z: 0 T
#	Applied Sample Current frequency: 3.137 kHz
#	Output Voltage: 0.65 V
#	EOM Frequency: 3.3477e+06 MHz
#	Filter Order First Harmonic: 8
#	Lockin Time Constant First Harmonic: 2 s
#	Hysteresis Sweep?: False
#	50 Ohm Input Impedance: True
#	input range: 1 V
#	Time Queued: 11:12am 2021-05-19
#	Reverse?: False
#	Sample Name: C5R5_M-
#	Saturate First?: True
#	Saturating Magnetic Field: -0.1 T
#	Saturating Magnetic Field Azimuth: 0 deg
#	Saturating Magnetic Field Polar: 90 deg
#	Filter Order Second Harmonic: 8
#	Lockin Time Constant Second Harmonic: 2 s
#	Settling: 30 s
#	Bias Magnetic Field: 0.08 T
#	Bias Magnetic Field Azimuth: 0 deg
#	Bias Magnetic Field Polar: 0 deg
#	Bias Magnetic Field step: 0.01 T
#	Pre Measurement Wait Time: 0 s
#Data:
ThetaK,X1,Y1,X2,Y2,DeltaThetaK,DeltaX1,DeltaY1,TX1,TY1,TX2,TY2,sweep_field,elapsed_time
-0.0007160169762189892,0.0009636428003224649,-6.382864077641972e-06,0.38423775869170007,-0.3653947464016238,-3.168829054099387e-07,1.0661818495513285e-07,1.1023604839714201e-07,-0.002665415575701114,0.001113020729788755,-3.336502113064494e-06,0.0003872411691490157,0.08,181.21799898147583
-0.0007213605675154608,0.0009696750540146948,-5.91414274179691e-06,0.38377602540857647,-0.3649583944037064,5.577756982174431e-07,-1.8744468071716787e-07,2.0800461337744888e-07,-0.002683696134742355,0.0011130635261201293,-3.277357796291744e-06,0.00038456357992160806,0.07,362.55552434921265
-0.000726154057628836,0.000974991671498911,-5.873601403232529e-06,0.3833224836595808,-0.36453704268686526,-1.739488685295846e-07,5.838932422882237e-08,2.9316767781516208e-08,-0.002702570683868853,0.0011131039200926475,-3.246658328674267e-06,0.00038290542477548536,0.06,543.882518529892
-0.0007303662497386503,0.0009798762240933896,-6.19985191737067e-06,0.38301537118701834,-0.3642504095980286,1.0439394632514813e-06,-3.5014307282218985e-07,8.626125276921461e-08,-0.002719655140287877,0.001113177490556505,-3.2324904769757817e-06,0.0003815260093038318,0.05,725.1846475601196
-0.0007338332083852158,0.000984072727298028,-6.81354171725456e-06,0.3828558242243632,-0.36408212461948125,3.882286862286216e-07,-1.3015389035022696e-07,1.6923050331558413e-07,-0.0027346555709916224,0.0011132521728864908,-3.2179631861620133e-06,0.0003800395880650457,0.04,906.5216453075409
-0.0007376409789546369,0.000988988040653117,-6.381924722613067e-06,0.38277341057082387,-0.3640118511548675,-3.62010550150797e-07,1.2134081997972707e-07,-2.9670371779158584e-07,-0.002747878237071466,0.0011132608028529155,-3.1851267474059638e-06,0.0003791654267571633,0.03,1087.836641073227
-0.000738774457101317,0.000990388219278566,-6.322795325391291e-06,0.3827249806424616,-0.3639679245449714,-9.114857299115203e-07,3.054802664532729e-07,5.193583039015049e-08,-0.0027574270458612556,0.0011132760940109983,-3.173775605243354e-06,0.00037801649367169717,0.02,1269.142718076706
-0.0007421028826436666,0.0009943891159425685,-6.483710894693869e-06,0.38254426123781893,-0.36379921578495417,1.1794990922529e-06,-3.9512048322345334e-07,3.8270908036616415e-07,-0.0027653647152779096,0.001113274876165195,-3.1360448655727994e-06,0.00037772558087719685,0.01,1450.4617161750793
-0.0007411879761534579,0.000992893811867768,-6.65533886493497e-06,0.382437876332084,-0.36370054714874533,2.66960041734509e-08,-8.940470832936723e-09,2.1880427813829074e-07,-0.0027699294102348187,0.00111327238550699,-3.1940234163006468e-06,0.0003772958373542037,0.0,1631.7847201824188
-0.0007415948512967825,0.0009932533289982663,-6.057448245438566e-06,0.3823715329481805,-0.36363262313383277,1.092046225658445e-06,-3.656571211966683e-07,4.838769056852668e-07,-0.002772017510500041,0.0011132628866600302,-3.1904825519382488e-06,0.00037737470971005996,-0.01,1813.1497189998627
-0.0007410073554656208,0.000992315991256776,-6.387330309574095e-06,0.38231928937837295,-0.36357749001423695,-8.176897305355676e-07,2.737509943264635e-07,-2.309530816787525e-07,-0.0027705516169751134,0.001113262286311035,-3.2034507320788748e-06,0.000377149579375942,-0.02,1994.5107929706573
-0.0007400834178726681,0.0009909352711712715,-6.604796265899951e-06,0.3822704944179705,-0.3635248718553002,-3.1683804148815336e-07,1.0605755840779487e-07,2.9619756955743857e-08,-0.002766759685824022,0.0011132401376292604,-3.2004204257617026e-06,0.0003778174089288027,-0.03,2175.79679107666
-0.0007365811832611139,0.0009867210538378895,-6.78268905442818e-06,0.3824527961720454,-0.36369999452763785,1.2776979996295377e-06,-4.2789940651310924e-07,2.988331120928436e-07,-0.0027592027211847422,0.001113216151382429,-3.2003976615217145e-06,0.00037809858092765716,-0.04,2357.1547977924347
-0.0007336872253020331,0.000982882948545074,-6.458733160591693e-06,0.38245754562935397,-0.3637142910483427,-2.0127667161091214e-08,6.740994651890699e-09,1.8256989326150303e-07,-0.0027486570143096813,0.0011132165392113652,-3.1643878952421468e-06,0.0003789419793709408,-0.05,2538.4708700180054
-0.0007300324212130712,0.000977960157020098,-7.1206259379116645e-06,0.38245428533130194,-0.3637043866009049,-3.329366496186819e-07,1.1150139956401758e-07,-9.384056489027253e-08,-0.0027363440772425617,0.0011131871580866565,-3.211205999588913e-06,0.00038045480244320575,-0.06,2719.7808616161346
-0.0007261845692959223,0.0009728567950917842,-7.020207059879291e-06,0.38246640517798625,-0.3637235564045966,-5.21194052062231e-08,1.745585213563509e-08,-1.459171685851898e-07,-0.002720957385508376,0.0011131290984813548,-3.2527607729495595e-06,0.0003819990218420059,-0.07,2901.073856830597
-0.0007207377494654448,0.000965647597061805,-7.088928349256617e-06,0.3825067378215887,-0.3637566385428668,2.2858556114891086e-06,-7.656493125503014e-07,2.1157050438764403e-07,-0.002702970012991345,0.0011130641165058247,-3.2554044293455535e-06,0.000383843998275025,-0.08,3082.3618552684784
